Row,Coefficient,Percent_Total
Unique_ED,0.00028353839288664,0.0369211143343039
Unique_MRR,0.077117664652365,10.0419209012122
Common_ED_and_MRR,0.69055609726624,89.9211579844534
Total,0.767957300311492,100
