r2,r2_ceiled,nat_ed,eco_ed,model_ed,data_ed,eco_alignment,eco_alignment_strength,model_alignment,model_alignment_strength,data_alignment,data_alignment_strength,ambient,n_samples,resolution,alignment
0.4712642355704281,0.8050934173302905,2,2,3.9176368299615554,100,nat,1,nat,1,,,100,1000,0.1,high
0.5241905605436428,0.8900817679894747,2,2,4.33162575393821,100,nat,1,nat,1,,,100,1000,0.1,high
0.49564472032480517,0.8386283122067573,2,2,4.822893530207084,100,nat,1,nat,1,,,100,1000,0.1,high
0.5177395038945811,0.8699319781188362,2,2,4.469190570124685,100,nat,1,nat,1,,,100,1000,0.1,high
0.5215381753207873,0.8823450094558729,2,2,3.5182037561539428,100,nat,1,nat,1,,,100,1000,0.1,high
0.5329346523369566,0.9049541540317482,2,2,3.232597507541609,100,nat,1,nat,1,,,100,1000,0.1,high
0.5346132256169266,0.8913214240456016,2,2,3.372362104292976,100,nat,1,nat,1,,,100,1000,0.1,high
0.5140278166562274,0.8758768994479484,2,2,4.224225740957593,100,nat,1,nat,1,,,100,1000,0.1,high
0.44405539959282647,0.7632668504430803,2,2,3.00412870649331,100,nat,1,nat,1,,,100,1000,0.1,high
0.4849902648770221,0.8182235493768976,2,2,3.3980797909107854,100,nat,1,nat,1,,,100,1000,0.1,high
0.5296127530554198,0.8833953755082501,2,2,3.7449121764290063,100,nat,1,nat,1,,,100,1000,0.1,high
0.4657377663344338,0.7905298939076416,2,2,3.5443984531174575,100,nat,1,nat,1,,,100,1000,0.1,high
0.5057253087840737,0.862016481926952,2,2,4.6340859873926075,100,nat,1,nat,1,,,100,1000,0.1,high
0.5027292906496889,0.8376764289231002,2,2,3.8772905969878786,100,nat,1,nat,1,,,100,1000,0.1,high
0.4946846278193646,0.8435814122397428,2,2,3.7645110804188047,100,nat,1,nat,1,,,100,1000,0.1,high
0.4937723119302934,0.8234415327003697,2,2,4.800570138006152,100,nat,1,nat,1,,,100,1000,0.1,high
0.5286263417266772,0.8699968033359647,2,2,4.5537775385654475,100,nat,1,nat,1,,,100,1000,0.1,high
0.5112049598834182,0.8571092772933422,2,2,3.9581505948460087,100,nat,1,nat,1,,,100,1000,0.1,high
0.5502112984134665,0.9176314367014137,2,2,3.3096218018201213,100,nat,1,nat,1,,,100,1000,0.1,high
0.4906795801914118,0.8352026777345337,2,2,3.5715521742035348,100,nat,1,nat,1,,,100,1000,0.1,high
0.5003522050156154,0.8361602673200957,2,2,3.2821737661015136,100,nat,1,nat,1,,,100,1000,0.1,high
