,architecture,task,kind,source,layer,ED,SNR,MRR,Encoding score
47,ResNet50,Object Classification,Supervised,PyTorch,layer4.2.relu,117.46197100229904,3.649102191468177,0.8958013014900109,0.4465505700316
48,ResNet18,Object Classification,Supervised,VVS,layer1.0.relu,6.9094760133387405,1.8125440227533385,0.3664798469226773,0.2909968683469121
49,ResNet18,Object Classification,Supervised,VVS,layer1.1.relu,8.635258538516837,2.393362007119893,0.4072648420752758,0.3065279319753131
50,ResNet18,Object Classification,Supervised,VVS,layer2.0.relu,11.58842961707604,2.3677691775927108,0.46321753953351646,0.3677651017437526
51,ResNet18,Object Classification,Supervised,VVS,layer2.1.relu,15.06921822162886,2.6585701333019065,0.5298278828696199,0.3975070476768962
52,ResNet18,Object Classification,Supervised,VVS,layer3.0.relu,22.39236572133137,2.6079501115276766,0.637617688712387,0.5085014109143847
53,ResNet18,Object Classification,Supervised,VVS,layer3.1.relu,35.55454818365181,2.734215177410249,0.6888660546811186,0.5108053040358835
54,ResNet18,Object Classification,Supervised,VVS,layer4.0.relu,49.37182747979218,2.769680175726864,0.7624516020185319,0.528498152506743
55,ResNet18,Object Classification,Supervised,VVS,layer4.1.relu,113.24011605939246,3.2081322294098715,0.874620940851815,0.4751504479512549
56,ResNet18,Local Aggregation,Self-Supervised,VVS,layer1.0.relu,3.8282232469848343,1.6030283098289555,0.3145741120861026,0.2784571887879943
57,ResNet18,Local Aggregation,Self-Supervised,VVS,layer1.1.relu,8.572646457036017,2.2340632237410065,0.3518279652700599,0.2954826650429449
58,ResNet18,Local Aggregation,Self-Supervised,VVS,layer2.0.relu,11.48186129373114,2.114304356290128,0.3857575435975472,0.3670378171763552
59,ResNet18,Local Aggregation,Self-Supervised,VVS,layer2.1.relu,13.225563072327326,2.303834678915269,0.4215404497474201,0.3828531618309747
60,ResNet18,Local Aggregation,Self-Supervised,VVS,layer3.0.relu,19.18216668127709,1.9994120384196192,0.5133592432438299,0.4813216585353691
61,ResNet18,Local Aggregation,Self-Supervised,VVS,layer3.1.relu,26.41622473132419,1.6360656694784288,0.5674689490663812,0.4932014422277155
62,ResNet18,Local Aggregation,Self-Supervised,VVS,layer4.0.relu,35.24780653909002,1.5244036755392385,0.6209631575617331,0.5456523249126303
63,ResNet18,Local Aggregation,Self-Supervised,VVS,layer4.1.relu,74.28303398428034,2.1929046954026576,0.681541255112022,0.5474080353599766
64,ResNet18,Instance Recognition,Self-Supervised,VVS,layer1.0.relu,5.605546330900406,1.6623984167589092,0.3283034957019964,0.2768992362334462
65,ResNet18,Instance Recognition,Self-Supervised,VVS,layer1.1.relu,8.0638089854442,2.2396509722421936,0.34009265027960484,0.2957970791216637
66,ResNet18,Instance Recognition,Self-Supervised,VVS,layer2.0.relu,10.12983807191686,2.1083805283424946,0.37499169855658554,0.3623082978279175
67,ResNet18,Instance Recognition,Self-Supervised,VVS,layer2.1.relu,12.79200286879901,2.390304456685663,0.40725332318860347,0.3712556631294403
68,ResNet18,Instance Recognition,Self-Supervised,VVS,layer3.0.relu,18.764354284193328,2.0236770043996537,0.4903442005530148,0.469229355164504
69,ResNet18,Instance Recognition,Self-Supervised,VVS,layer3.1.relu,28.764033476061773,1.907160400463819,0.5548520707805108,0.4864512972142484
70,ResNet18,Instance Recognition,Self-Supervised,VVS,layer4.0.relu,32.041569147825626,1.710364397951475,0.5833038236659571,0.5293548615869648
71,ResNet18,Instance Recognition,Self-Supervised,VVS,layer4.1.relu,60.04625265129327,2.186392186876269,0.6398071591206168,0.5278096527261126
72,ResNet18,Auto-Encoder,Self-Supervised,VVS,layer1.0.relu,1.804610227136158,0.8865819690967549,0.15485462238797534,0.225927071647908
