r2,r2_ceiled,nat_ed,eco_ed,model_ed,data_ed,eco_alignment,eco_alignment_strength,model_alignment,model_alignment_strength,data_alignment,data_alignment_strength,ambient,n_samples,resolution,alignment
0.47024828474866004,0.8025545894511362,100,2,3.1698994918127426,100,,,eco,1,,,100,1000,0.1,high
0.48463016023375877,0.829566218349758,100,2,4.59831370480329,100,,,eco,1,,,100,1000,0.1,high
0.5044880594572767,0.8554941037233325,100,2,3.2628355576762615,100,,,eco,1,,,100,1000,0.1,high
0.5207452118702962,0.8713218440818409,100,2,3.2287343512179794,100,,,eco,1,,,100,1000,0.1,high
0.5236569465713268,0.8793694853323919,100,2,4.503566679510855,100,,,eco,1,,,100,1000,0.1,high
0.503488226052479,0.8502213484640063,100,2,4.349787277625261,100,,,eco,1,,,100,1000,0.1,high
0.49486781970475047,0.8462496192322864,100,2,4.737787666269004,100,,,eco,1,,,100,1000,0.1,high
0.4904133000389905,0.8410081834642235,100,2,4.956688900509494,100,,,eco,1,,,100,1000,0.1,high
0.5527326333294993,0.9161457761573608,100,2,4.161500919891462,100,,,eco,1,,,100,1000,0.1,high
0.48750533843038313,0.8190350200658101,100,2,4.129966611209849,100,,,eco,1,,,100,1000,0.1,high
0.4977972889996828,0.8241471363310661,100,2,3.2959425785619896,100,,,eco,1,,,100,1000,0.1,high
0.5076599641889924,0.846166483781457,100,2,4.828004926966239,100,,,eco,1,,,100,1000,0.1,high
0.4806935505901156,0.8264990617231937,100,2,3.813725054254894,100,,,eco,1,,,100,1000,0.1,high
0.4831568943059432,0.8126006494197653,100,2,4.880948593190052,100,,,eco,1,,,100,1000,0.1,high
0.48516944036544274,0.8004196912822209,100,2,4.53634677275835,100,,,eco,1,,,100,1000,0.1,high
0.5176648468280047,0.8714062546918049,100,2,4.686195250740095,100,,,eco,1,,,100,1000,0.1,high
0.5185468536601406,0.8791622147442941,100,2,4.44597985813013,100,,,eco,1,,,100,1000,0.1,high
0.5146379843754278,0.8587029355614108,100,2,3.772330066965395,100,,,eco,1,,,100,1000,0.1,high
0.5040090021329277,0.8497065030899459,100,2,4.0210937586953746,100,,,eco,1,,,100,1000,0.1,high
0.5034201061294405,0.8457801671358435,100,2,4.992131777251865,100,,,eco,1,,,100,1000,0.1,high
0.5152220718279704,0.8630656362450574,100,2,4.185122882937448,100,,,eco,1,,,100,1000,0.1,high
0.4878035612442775,0.8440013130118533,100,2,4.792977271094237,100,,,eco,1,,,100,1000,0.1,high
0.5164779084495217,0.8671661474498772,100,2,3.794378399826273,100,,,eco,1,,,100,1000,0.1,high
0.49223783890187006,0.8325992232900831,100,2,3.544810870830041,100,,,eco,1,,,100,1000,0.1,high
0.498314051210749,0.8257992901825876,100,2,3.8381210128462646,100,,,eco,1,,,100,1000,0.1,high
0.45966660320795527,0.7769799962159306,100,2,3.641518671303327,100,,,eco,1,,,100,1000,0.1,high
0.4651140882983367,0.8015631534979261,100,2,4.920887994860758,100,,,eco,1,,,100,1000,0.1,high
0.497505559390399,0.8452305552008342,100,2,4.772665564170597,100,,,eco,1,,,100,1000,0.1,high
0.5204128069307695,0.8648447410416048,100,2,4.377395148556899,100,,,eco,1,,,100,1000,0.1,high
0.4966929551938868,0.8253538635881301,100,2,4.0106281043582435,100,,,eco,1,,,100,1000,0.1,high
0.5147489023831479,0.8700345727773471,100,2,3.6370001535709275,100,,,eco,1,,,100,1000,0.1,high
0.4981668646839876,0.8282263957162013,100,2,3.641787864548566,100,,,eco,1,,,100,1000,0.1,high
0.494789963466664,0.8449657583804636,100,2,3.2733591556557657,100,,,eco,1,,,100,1000,0.1,high
0.49307629103427303,0.8396975013870697,100,2,4.551854763587263,100,,,eco,1,,,100,1000,0.1,high
0.48709953435999404,0.8260377960907741,100,2,4.573014735580994,100,,,eco,1,,,100,1000,0.1,high
0.48100441757648094,0.8114971061159475,100,2,3.1519519927078345,100,,,eco,1,,,100,1000,0.1,high
0.503091754707416,0.8566535727650951,100,2,4.612252450150001,100,,,eco,1,,,100,1000,0.1,high
0.494863885703599,0.8270212304521178,100,2,3.1278832631855846,100,,,eco,1,,,100,1000,0.1,high
0.5342511215417103,0.8972214268460676,100,2,3.6869345963164566,100,,,eco,1,,,100,1000,0.1,high
0.5043925623005887,0.8517390666306588,100,2,4.698248866960402,100,,,eco,1,,,100,1000,0.1,high
0.511723443858056,0.8505346399891464,100,2,3.6490855988771003,100,,,eco,1,,,100,1000,0.1,high
0.49021158996544156,0.8397950502263576,100,2,3.2783190214080156,100,,,eco,1,,,100,1000,0.1,high
