accuracy (top 1),accuracy (top 5),MRR,log likelihood,n_train,i_repeat,layer,architecture,task,kind,source
0.0364,0.2048,0.14129653221555893,-15.608391257601554,20,1,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0436,0.2424,0.15903998470831954,-11.864456244884522,50,1,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.036,0.1436,0.1159637811100264,-5.072720473819603,1,2,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0488,0.1748,0.13791248238586923,-6.225917288987393,5,2,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0404,0.214,0.14913552072578523,-15.554944900755281,20,2,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.036,0.2356,0.15158589263192654,-17.336873015905695,50,2,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0356,0.1512,0.11945933010684591,-4.903895861223463,1,3,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.044,0.1716,0.13140857304355652,-5.871009404924338,5,3,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0476,0.2188,0.15132271310236578,-8.674323377145475,20,3,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0396,0.228,0.15277188437669748,-11.963775530251187,50,3,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.034,0.1336,0.11094044408937732,-5.1887153717631715,1,4,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0412,0.1756,0.13113405973015618,-5.8682914698085265,5,4,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0416,0.2092,0.1441022950549152,-14.983607191871881,20,4,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0332,0.2276,0.1485984845275797,-13.104941685132852,50,4,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.036,0.152,0.11698018298644645,-5.0928505741842365,1,5,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0504,0.1904,0.1420524959640593,-5.9305003055587635,5,5,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0464,0.208,0.14832298080128295,-16.746727342913097,20,5,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.026,0.2268,0.14321493246797087,-9.88861119569076,50,5,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0336,0.144,0.11471273012508186,-5.066247193447096,1,6,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0404,0.18,0.1324166034255158,-6.077364152784383,5,6,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.042,0.2016,0.144689134287033,-13.490791750713441,20,6,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0368,0.2328,0.15166366598317485,-11.508657394292872,50,6,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0376,0.148,0.11656542789389378,-4.839333155915561,1,7,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0412,0.1748,0.13183218378014555,-13.177919278947922,5,7,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0404,0.2204,0.15007323018579743,-16.900901798625423,20,7,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0424,0.2452,0.15938433043550457,-11.688862734916583,50,7,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0456,0.1596,0.12997665281071807,-4.955650868265235,1,8,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0336,0.1608,0.12085342969304497,-6.00456578628276,5,8,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0428,0.214,0.1465315589570368,-17.65195740075324,20,8,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0316,0.2244,0.14760614323377513,-11.24940593018271,50,8,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.024,0.1332,0.10215655352701551,-4.981800661072612,1,9,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0424,0.186,0.13494810817523303,-5.971783504013031,5,9,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0432,0.2184,0.14940468078746902,-15.68581518382945,20,9,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0308,0.226,0.14771675747614893,-12.469422564468742,50,9,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0444,0.1536,0.12483322051922555,-4.768961134817223,1,0,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0524,0.1912,0.1426095910435657,-5.723911688866111,5,0,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0456,0.2132,0.14895321609707574,-8.481953540718546,20,0,layer2.0.relu,ResNet18,None,Untrained,PyTorch
