accuracy (top 1),accuracy (top 5),MRR,log likelihood,n_train,i_repeat,layer,architecture,task,kind,source
0.116,0.3356,0.23673843498297756,-3.5794234812454437,5,1,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.1732,0.4384,0.30891125515044143,-3.289670553561138,20,1,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.2148,0.5008,0.3569474638847742,-3.087997112500509,50,1,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0652,0.2448,0.17064553932734278,-4.096966653779983,1,2,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.1164,0.336,0.24047067408153439,-3.5496071705248724,5,2,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.1672,0.4268,0.303172825603251,-3.307828174295657,20,2,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.2284,0.5036,0.3639699466461475,-3.0596022692099356,50,2,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0588,0.1988,0.15156510276344207,-4.167888398375818,1,3,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.1172,0.3392,0.2374252680729535,-3.5727406651520344,5,3,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.184,0.4504,0.3174636256781525,-3.2572149923541187,20,3,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.2248,0.5088,0.362459261919519,-3.075343388678311,50,3,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.068,0.224,0.16512069978397778,-4.0902135713152346,1,4,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.1332,0.3648,0.25927499946847804,-3.4939519694282652,5,4,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.1868,0.4604,0.3257446619162328,-3.224331256456983,20,4,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.2328,0.5048,0.36651042677421686,-3.0715273727670818,50,4,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.06,0.2108,0.1531959049841816,-4.279706349316948,1,5,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.1312,0.3556,0.25255215458226987,-3.577015032018291,5,5,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.1916,0.4456,0.3212773122243357,-3.2690792960271575,20,5,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.2148,0.5012,0.35607760305589636,-3.0759890234953695,50,5,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0636,0.1976,0.15501188048305864,-4.157949716007124,1,6,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.1256,0.3476,0.24797788004000063,-3.5499772019803153,5,6,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.1904,0.4576,0.32564772065685715,-3.23096574682154,20,6,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.2144,0.492,0.3550865220700234,-3.0791628347806177,50,6,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0652,0.2304,0.16641466890376613,-4.063578493051399,1,7,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.1184,0.348,0.24425163523028942,-3.599271661599507,5,7,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.1864,0.44,0.3171254088830451,-3.2582651777977,20,7,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.2284,0.4984,0.3634331941991007,-3.0587990763463284,50,7,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0688,0.2108,0.16144625095425727,-4.184475825023679,1,8,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.1188,0.35,0.24594533942222538,-3.524809067080573,5,8,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.1824,0.4424,0.31716368544971413,-3.2252870325059577,20,8,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.2292,0.5136,0.3676631425873571,-3.0599197856176477,50,8,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0656,0.2216,0.1601661978948317,-4.2006842203149555,1,9,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.1276,0.3516,0.24997845670620505,-3.5200986063933013,5,9,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.176,0.4484,0.31503172360171594,-3.257407887744891,20,9,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.2212,0.5056,0.360477153592451,-3.067384647884785,50,9,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0868,0.2316,0.1800499518172858,-4.089411536947856,1,0,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.1396,0.3652,0.2628690260978537,-3.4656963294213345,5,0,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.1944,0.4804,0.33454830783167283,-3.1829567271673302,20,0,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.2388,0.5372,0.3842842369543486,-2.9905494433351896,50,0,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0828,0.232,0.18038934193851394,-4.051291102892984,1,1,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.1456,0.3704,0.26865613106349306,-3.4927290415148695,5,1,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.2044,0.4728,0.3393559148856952,-3.20775569681537,20,1,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.2616,0.5348,0.39554662508232596,-2.984569120464208,50,1,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0728,0.256,0.18114592949352307,-4.0852503660750665,1,2,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.138,0.386,0.26714716434494556,-3.4075411617802325,5,2,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.198,0.4804,0.33769887668605864,-3.1469263741920477,20,2,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.2356,0.5272,0.3791377608449638,-2.9981881026035815,50,2,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0644,0.2144,0.16005690266469855,-4.125983868241942,1,3,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.1224,0.3552,0.24924324972010517,-3.527175833506274,5,3,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.2004,0.476,0.3372249393574959,-3.180183603289235,20,3,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.2384,0.5464,0.3866859812808656,-2.971508746219371,50,3,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.066,0.2392,0.16974419548999461,-4.067984249517276,1,4,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.1436,0.3636,0.2660129582115689,-3.43560643416784,5,4,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.1884,0.4652,0.33116478785351344,-3.1842167353867383,20,4,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.2368,0.5476,0.38405342095038253,-2.9796279763550175,50,4,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0664,0.2116,0.16196270671818375,-4.238539472566916,1,5,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.1452,0.374,0.27011227233927176,-3.4711871691003777,5,5,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.204,0.474,0.3403772285650377,-3.1707473605773506,20,5,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.2404,0.5272,0.3850463790740418,-2.9539161608444773,50,5,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0676,0.212,0.16246553718150944,-4.153259470809088,1,6,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.1308,0.3568,0.2556184094580296,-3.487171456467855,5,6,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.2032,0.4828,0.34186764908665757,-3.159297902700293,20,6,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.2284,0.5364,0.3792754752771555,-2.9580294078196765,50,6,layer2.0.relu,ResNet18,None,Untrained,PyTorch
