accuracy (top 1),accuracy (top 5),MRR,n_train,i_repeat,layer,architecture,task,kind,source
0.1404,0.366,0.26326963195983055,20,3,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.1492,0.394,0.2756237995287629,50,3,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.054,0.1944,0.1450807168893109,1,4,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.1136,0.2836,0.21898153363335174,5,4,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.142,0.3584,0.2594400902192889,20,4,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.1488,0.3868,0.27570584211670696,50,4,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0628,0.19,0.14955567933131284,1,5,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.1016,0.3116,0.21757715382944365,5,5,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.1408,0.3636,0.2610777908671243,20,5,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.1488,0.3916,0.27582101596865477,50,5,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0636,0.2116,0.15673059434126557,1,6,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.112,0.2976,0.21930614007014296,5,6,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.142,0.3836,0.2690387940386905,20,6,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.154,0.3996,0.284512093771855,50,6,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0792,0.2012,0.16321460125117387,1,7,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.106,0.2988,0.2199259338229441,5,7,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.1404,0.368,0.26243524434207904,20,7,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.1464,0.398,0.2793465356200262,50,7,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0708,0.2068,0.15978474613486274,1,8,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0976,0.2936,0.20812811693546276,5,8,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.1492,0.3672,0.26818333419619916,20,8,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.1524,0.3992,0.2807253478245987,50,8,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.06,0.1804,0.14429316193324007,1,9,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0868,0.2884,0.1998522276293344,5,9,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.1308,0.3656,0.2556000885120165,20,9,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.1488,0.3888,0.27817496272083414,50,9,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0616,0.1936,0.15010938388055653,1,0,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.1052,0.2856,0.21009980984089222,5,0,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.1356,0.358,0.25965831570504727,20,0,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.1508,0.4008,0.280413655753912,50,0,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0652,0.1912,0.15039882723148296,1,1,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0928,0.2596,0.19355666935095583,5,1,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.1264,0.3424,0.2454326234166702,20,1,layer2.0.relu,ResNet18,None,Untrained,PyTorch
