accuracy (top 1),accuracy (top 5),n_train,i_repeat,layer,architecture,task,kind,source,MRR
0.1016,0.278,20,3,layer1.1.relu,ResNet18,None,Untrained,PyTorch,0.208797670056671
0.1072,0.2968,50,3,layer1.1.relu,ResNet18,None,Untrained,PyTorch,0.2168677036982128
0.0464,0.1732,1,4,layer1.1.relu,ResNet18,None,Untrained,PyTorch,0.1327585126425334
0.0876,0.256,5,4,layer1.1.relu,ResNet18,None,Untrained,PyTorch,0.1905216924099934
0.1076,0.2796,20,4,layer1.1.relu,ResNet18,None,Untrained,PyTorch,0.2119458504504895
0.1036,0.2856,50,4,layer1.1.relu,ResNet18,None,Untrained,PyTorch,0.215024492432423
0.0408,0.1668,1,5,layer1.1.relu,ResNet18,None,Untrained,PyTorch,0.1276044264211749
0.0804,0.2324,5,5,layer1.1.relu,ResNet18,None,Untrained,PyTorch,0.177257628687222
0.0952,0.274,20,5,layer1.1.relu,ResNet18,None,Untrained,PyTorch,0.202971240622817
0.1036,0.2952,50,5,layer1.1.relu,ResNet18,None,Untrained,PyTorch,0.2128994049783116
0.054,0.1788,1,6,layer1.1.relu,ResNet18,None,Untrained,PyTorch,0.1394850214337852
0.092,0.2416,5,6,layer1.1.relu,ResNet18,None,Untrained,PyTorch,0.1878742840905916
0.1032,0.2848,20,6,layer1.1.relu,ResNet18,None,Untrained,PyTorch,0.211123043505149
0.1128,0.3012,50,6,layer1.1.relu,ResNet18,None,Untrained,PyTorch,0.2232218403859933
0.0508,0.1804,1,7,layer1.1.relu,ResNet18,None,Untrained,PyTorch,0.141240362848796
0.0968,0.2604,5,7,layer1.1.relu,ResNet18,None,Untrained,PyTorch,0.1954012410202517
0.1144,0.294,20,7,layer1.1.relu,ResNet18,None,Untrained,PyTorch,0.2229203125766445
0.1172,0.3136,50,7,layer1.1.relu,ResNet18,None,Untrained,PyTorch,0.2283149921337131
0.064,0.18,1,8,layer1.1.relu,ResNet18,None,Untrained,PyTorch,0.1462705493186938
0.0916,0.244,5,8,layer1.1.relu,ResNet18,None,Untrained,PyTorch,0.1879895714897453
0.106,0.2956,20,8,layer1.1.relu,ResNet18,None,Untrained,PyTorch,0.2151448636120731
0.1168,0.3108,50,8,layer1.1.relu,ResNet18,None,Untrained,PyTorch,0.2251293693813034
0.0444,0.1832,1,9,layer1.1.relu,ResNet18,None,Untrained,PyTorch,0.1386441680331964
0.0868,0.2368,5,9,layer1.1.relu,ResNet18,None,Untrained,PyTorch,0.1840016345136428
0.1052,0.29,20,9,layer1.1.relu,ResNet18,None,Untrained,PyTorch,0.2137973673780472
0.1112,0.3048,50,9,layer1.1.relu,ResNet18,None,Untrained,PyTorch,0.2223327040790249
0.0572,0.1904,1,0,layer2.0.relu,ResNet18,None,Untrained,PyTorch,0.1471947569740184
0.0928,0.258,5,0,layer2.0.relu,ResNet18,None,Untrained,PyTorch,0.1924243496235563
0.114,0.3072,20,0,layer2.0.relu,ResNet18,None,Untrained,PyTorch,0.22670634955189
0.1208,0.3312,50,0,layer2.0.relu,ResNet18,None,Untrained,PyTorch,0.2370524764701116
0.0564,0.194,1,1,layer2.0.relu,ResNet18,None,Untrained,PyTorch,0.1462985773497508
0.0752,0.2388,5,1,layer2.0.relu,ResNet18,None,Untrained,PyTorch,0.1780867661615248
0.0984,0.2908,20,1,layer2.0.relu,ResNet18,None,Untrained,PyTorch,0.2115746852321203
0.1136,0.3092,50,1,layer2.0.relu,ResNet18,None,Untrained,PyTorch,0.2265952144419471
0.0716,0.2132,1,2,layer2.0.relu,ResNet18,None,Untrained,PyTorch,0.1635418545897896
0.0832,0.2532,5,2,layer2.0.relu,ResNet18,None,Untrained,PyTorch,0.1873544936992874
0.1048,0.286,20,2,layer2.0.relu,ResNet18,None,Untrained,PyTorch,0.212871709399625
0.1144,0.316,50,2,layer2.0.relu,ResNet18,None,Untrained,PyTorch,0.2276490604871321
0.058,0.188,1,3,layer2.0.relu,ResNet18,None,Untrained,PyTorch,0.1445250750305687
0.0852,0.2628,5,3,layer2.0.relu,ResNet18,None,Untrained,PyTorch,0.1913208503581813
0.1048,0.2936,20,3,layer2.0.relu,ResNet18,None,Untrained,PyTorch,0.2178849293121561
0.112,0.306,50,3,layer2.0.relu,ResNet18,None,Untrained,PyTorch,0.2245560338935249
0.0488,0.1712,1,4,layer2.0.relu,ResNet18,None,Untrained,PyTorch,0.1357593815766159
0.1008,0.2664,5,4,layer2.0.relu,ResNet18,None,Untrained,PyTorch,0.2020572330296115
0.1048,0.3044,20,4,layer2.0.relu,ResNet18,None,Untrained,PyTorch,0.2189311291480608
0.1088,0.3176,50,4,layer2.0.relu,ResNet18,None,Untrained,PyTorch,0.2255780789403175
0.0504,0.1736,1,5,layer2.0.relu,ResNet18,None,Untrained,PyTorch,0.1366294729615342
0.0932,0.2448,5,5,layer2.0.relu,ResNet18,None,Untrained,PyTorch,0.1877153851740319
0.1084,0.2944,20,5,layer2.0.relu,ResNet18,None,Untrained,PyTorch,0.2164937737720341
0.1132,0.3124,50,5,layer2.0.relu,ResNet18,None,Untrained,PyTorch,0.2262274659881665
0.0576,0.1772,1,6,layer2.0.relu,ResNet18,None,Untrained,PyTorch,0.1424511810595508
0.0848,0.2508,5,6,layer2.0.relu,ResNet18,None,Untrained,PyTorch,0.18474864406579
0.1088,0.3004,20,6,layer2.0.relu,ResNet18,None,Untrained,PyTorch,0.2199000368724288
0.1212,0.3168,50,6,layer2.0.relu,ResNet18,None,Untrained,PyTorch,0.2353180267396343
0.0472,0.1796,1,7,layer2.0.relu,ResNet18,None,Untrained,PyTorch,0.1361269821378204
0.0928,0.2516,5,7,layer2.0.relu,ResNet18,None,Untrained,PyTorch,0.192830436445654
0.1164,0.3124,20,7,layer2.0.relu,ResNet18,None,Untrained,PyTorch,0.2289235004346231
0.1224,0.334,50,7,layer2.0.relu,ResNet18,None,Untrained,PyTorch,0.2377998283925864
0.0632,0.198,1,8,layer2.0.relu,ResNet18,None,Untrained,PyTorch,0.150772639689081
0.0828,0.2528,5,8,layer2.0.relu,ResNet18,None,Untrained,PyTorch,0.1866569719464861
0.1072,0.3156,20,8,layer2.0.relu,ResNet18,None,Untrained,PyTorch,0.2235805164997508
0.1136,0.3264,50,8,layer2.0.relu,ResNet18,None,Untrained,PyTorch,0.2321204946292839
0.0544,0.1768,1,9,layer2.0.relu,ResNet18,None,Untrained,PyTorch,0.141242925902736
0.0904,0.258,5,9,layer2.0.relu,ResNet18,None,Untrained,PyTorch,0.1934269493183923
0.1172,0.324,20,9,layer2.0.relu,ResNet18,None,Untrained,PyTorch,0.2293496714902543
0.1188,0.3156,50,9,layer2.0.relu,ResNet18,None,Untrained,PyTorch,0.2326697681299797
0.056,0.184,1,0,layer2.1.relu,ResNet18,None,Untrained,PyTorch,0.1442503773372247
0.0852,0.2456,5,0,layer2.1.relu,ResNet18,None,Untrained,PyTorch,0.1823141461986059
0.1036,0.2868,20,0,layer2.1.relu,ResNet18,None,Untrained,PyTorch,0.2108416938183647
0.1092,0.304,50,0,layer2.1.relu,ResNet18,None,Untrained,PyTorch,0.2217952895073664
0.056,0.1784,1,1,layer2.1.relu,ResNet18,None,Untrained,PyTorch,0.142530764450292
0.0796,0.226,5,1,layer2.1.relu,ResNet18,None,Untrained,PyTorch,0.1769367723428258
0.096,0.276,20,1,layer2.1.relu,ResNet18,None,Untrained,PyTorch,0.2034925560378786
0.1056,0.2948,50,1,layer2.1.relu,ResNet18,None,Untrained,PyTorch,0.2158361482714113
0.064,0.2088,1,2,layer2.1.relu,ResNet18,None,Untrained,PyTorch,0.1573054594796444
