accuracy (top 1),accuracy (top 5),n_train,i_repeat,layer,architecture,task,kind,source,MRR
0.2152,0.5156,50,6,encode_4,ResNet18,Depth Prediction,Supervised,VVS,0.3593416613828059
0.0804,0.2608,1,7,encode_4,ResNet18,Depth Prediction,Supervised,VVS,0.1887133078676048
0.1568,0.4064,5,7,encode_4,ResNet18,Depth Prediction,Supervised,VVS,0.2852626996136468
0.2136,0.4844,20,7,encode_4,ResNet18,Depth Prediction,Supervised,VVS,0.3476823177087837
0.2284,0.5188,50,7,encode_4,ResNet18,Depth Prediction,Supervised,VVS,0.3729744870834616
0.07,0.228,1,8,encode_4,ResNet18,Depth Prediction,Supervised,VVS,0.1721037484278792
0.1596,0.4096,5,8,encode_4,ResNet18,Depth Prediction,Supervised,VVS,0.2904421734256362
0.1992,0.4848,20,8,encode_4,ResNet18,Depth Prediction,Supervised,VVS,0.3408614224403468
0.2244,0.5072,50,8,encode_4,ResNet18,Depth Prediction,Supervised,VVS,0.3642223253992809
0.0708,0.2416,1,9,encode_4,ResNet18,Depth Prediction,Supervised,VVS,0.1735625015429256
0.1332,0.3832,5,9,encode_4,ResNet18,Depth Prediction,Supervised,VVS,0.266110304014189
0.2028,0.49,20,9,encode_4,ResNet18,Depth Prediction,Supervised,VVS,0.3438181989716531
0.2224,0.5164,50,9,encode_4,ResNet18,Depth Prediction,Supervised,VVS,0.3646145371891871
0.0744,0.2484,1,0,encode_5,ResNet18,Depth Prediction,Supervised,VVS,0.1793159516048788
0.1352,0.4028,5,0,encode_5,ResNet18,Depth Prediction,Supervised,VVS,0.2727075719425431
0.2048,0.474,20,0,encode_5,ResNet18,Depth Prediction,Supervised,VVS,0.3422292399387326
0.2308,0.508,50,0,encode_5,ResNet18,Depth Prediction,Supervised,VVS,0.3693642810079976
0.056,0.2296,1,1,encode_5,ResNet18,Depth Prediction,Supervised,VVS,0.1626999581182051
0.1396,0.3748,5,1,encode_5,ResNet18,Depth Prediction,Supervised,VVS,0.2656927112937139
0.192,0.4648,20,1,encode_5,ResNet18,Depth Prediction,Supervised,VVS,0.3304491093687795
0.2208,0.5076,50,1,encode_5,ResNet18,Depth Prediction,Supervised,VVS,0.3607570957647772
0.0764,0.2468,1,2,encode_5,ResNet18,Depth Prediction,Supervised,VVS,0.1810770199268744
0.1504,0.4028,5,2,encode_5,ResNet18,Depth Prediction,Supervised,VVS,0.2800560218681798
0.1988,0.4644,20,2,encode_5,ResNet18,Depth Prediction,Supervised,VVS,0.3308777050191143
0.232,0.5052,50,2,encode_5,ResNet18,Depth Prediction,Supervised,VVS,0.3665129174139355
0.0724,0.2248,1,3,encode_5,ResNet18,Depth Prediction,Supervised,VVS,0.1694279774242683
0.1496,0.3876,5,3,encode_5,ResNet18,Depth Prediction,Supervised,VVS,0.275970817373681
0.1912,0.4676,20,3,encode_5,ResNet18,Depth Prediction,Supervised,VVS,0.3308273295603254
0.224,0.51,50,3,encode_5,ResNet18,Depth Prediction,Supervised,VVS,0.3680003389963517
0.07,0.2308,1,4,encode_5,ResNet18,Depth Prediction,Supervised,VVS,0.1724489661162083
0.154,0.3828,5,4,encode_5,ResNet18,Depth Prediction,Supervised,VVS,0.2783617478263336
0.202,0.488,20,4,encode_5,ResNet18,Depth Prediction,Supervised,VVS,0.3426004210798197
0.2124,0.4976,50,4,encode_5,ResNet18,Depth Prediction,Supervised,VVS,0.3551178896983869
0.066,0.2184,1,5,encode_5,ResNet18,Depth Prediction,Supervised,VVS,0.1622816926881359
0.1344,0.3832,5,5,encode_5,ResNet18,Depth Prediction,Supervised,VVS,0.2645650355818332
0.1976,0.4708,20,5,encode_5,ResNet18,Depth Prediction,Supervised,VVS,0.33539548679218
0.222,0.5128,50,5,encode_5,ResNet18,Depth Prediction,Supervised,VVS,0.3638027173588478
0.0756,0.2564,1,6,encode_5,ResNet18,Depth Prediction,Supervised,VVS,0.181521032283984
0.1276,0.35,5,6,encode_5,ResNet18,Depth Prediction,Supervised,VVS,0.2528172862705621
0.186,0.4672,20,6,encode_5,ResNet18,Depth Prediction,Supervised,VVS,0.3255287288916934
0.2176,0.5024,50,6,encode_5,ResNet18,Depth Prediction,Supervised,VVS,0.357604870500656
0.0756,0.2452,1,7,encode_5,ResNet18,Depth Prediction,Supervised,VVS,0.1789138180110003
0.1292,0.368,5,7,encode_5,ResNet18,Depth Prediction,Supervised,VVS,0.2555794316984333
0.1964,0.4784,20,7,encode_5,ResNet18,Depth Prediction,Supervised,VVS,0.3359503769245008
0.2296,0.5284,50,7,encode_5,ResNet18,Depth Prediction,Supervised,VVS,0.3724357447951559
0.0732,0.2364,1,8,encode_5,ResNet18,Depth Prediction,Supervised,VVS,0.1751756914970945
0.1416,0.3932,5,8,encode_5,ResNet18,Depth Prediction,Supervised,VVS,0.2726423599483791
0.2008,0.482,20,8,encode_5,ResNet18,Depth Prediction,Supervised,VVS,0.3410950836375582
0.2224,0.5132,50,8,encode_5,ResNet18,Depth Prediction,Supervised,VVS,0.3643557330914903
0.0592,0.2312,1,9,encode_5,ResNet18,Depth Prediction,Supervised,VVS,0.1644931401437249
0.1256,0.3744,5,9,encode_5,ResNet18,Depth Prediction,Supervised,VVS,0.2561785369017734
0.198,0.4664,20,9,encode_5,ResNet18,Depth Prediction,Supervised,VVS,0.3337134597695748
0.2288,0.5156,50,9,encode_5,ResNet18,Depth Prediction,Supervised,VVS,0.3668849944692923
0.0924,0.2552,1,0,encode_6,ResNet18,Depth Prediction,Supervised,VVS,0.1953021416586216
0.1752,0.4412,5,0,encode_6,ResNet18,Depth Prediction,Supervised,VVS,0.3108346869198427
0.24,0.5392,20,0,encode_6,ResNet18,Depth Prediction,Supervised,VVS,0.3858194938206005
0.2712,0.5704,50,0,encode_6,ResNet18,Depth Prediction,Supervised,VVS,0.4144387378666651
0.0812,0.2576,1,1,encode_6,ResNet18,Depth Prediction,Supervised,VVS,0.1881085786445901
0.188,0.4492,5,1,encode_6,ResNet18,Depth Prediction,Supervised,VVS,0.3198174637398572
0.2376,0.5368,20,1,encode_6,ResNet18,Depth Prediction,Supervised,VVS,0.3819871328475922
0.2684,0.5668,50,1,encode_6,ResNet18,Depth Prediction,Supervised,VVS,0.4119455319166206
0.0976,0.3048,1,2,encode_6,ResNet18,Depth Prediction,Supervised,VVS,0.2127888981396492
0.1932,0.4468,5,2,encode_6,ResNet18,Depth Prediction,Supervised,VVS,0.3239762989256966
0.2412,0.536,20,2,encode_6,ResNet18,Depth Prediction,Supervised,VVS,0.3848370911148533
0.272,0.5716,50,2,encode_6,ResNet18,Depth Prediction,Supervised,VVS,0.4145400346124355
0.0768,0.2608,1,3,encode_6,ResNet18,Depth Prediction,Supervised,VVS,0.1840584001772377
0.1884,0.4732,5,3,encode_6,ResNet18,Depth Prediction,Supervised,VVS,0.3278206005838079
0.2512,0.5412,20,3,encode_6,ResNet18,Depth Prediction,Supervised,VVS,0.3926576936645843
0.276,0.5916,50,3,encode_6,ResNet18,Depth Prediction,Supervised,VVS,0.4205639168245279
0.0936,0.2572,1,4,encode_6,ResNet18,Depth Prediction,Supervised,VVS,0.193566864670916
0.1912,0.436,5,4,encode_6,ResNet18,Depth Prediction,Supervised,VVS,0.3182291004381186
0.248,0.5472,20,4,encode_6,ResNet18,Depth Prediction,Supervised,VVS,0.3906906508264728
0.2604,0.556,50,4,encode_6,ResNet18,Depth Prediction,Supervised,VVS,0.4030157535197626
0.096,0.2788,1,5,encode_6,ResNet18,Depth Prediction,Supervised,VVS,0.2023291616633178
0.1664,0.4416,5,5,encode_6,ResNet18,Depth Prediction,Supervised,VVS,0.3072068653680357
0.2556,0.5424,20,5,encode_6,ResNet18,Depth Prediction,Supervised,VVS,0.3955781448686986
0.2772,0.5748,50,5,encode_6,ResNet18,Depth Prediction,Supervised,VVS,0.4189357673313926
0.0884,0.2724,1,6,encode_6,ResNet18,Depth Prediction,Supervised,VVS,0.197088233945704
0.1772,0.4452,5,6,encode_6,ResNet18,Depth Prediction,Supervised,VVS,0.311657662890267
0.238,0.5476,20,6,encode_6,ResNet18,Depth Prediction,Supervised,VVS,0.3886672756571553
0.272,0.578,50,6,encode_6,ResNet18,Depth Prediction,Supervised,VVS,0.414899454897869
0.0808,0.2568,1,7,encode_6,ResNet18,Depth Prediction,Supervised,VVS,0.1848418554434732
0.1692,0.4384,5,7,encode_6,ResNet18,Depth Prediction,Supervised,VVS,0.3070145216635718
0.2488,0.5364,20,7,encode_6,ResNet18,Depth Prediction,Supervised,VVS,0.3890174936598745
0.282,0.5704,50,7,encode_6,ResNet18,Depth Prediction,Supervised,VVS,0.4215281066505151
0.0816,0.2524,1,8,encode_6,ResNet18,Depth Prediction,Supervised,VVS,0.1868402631073353
0.1832,0.432,5,8,encode_6,ResNet18,Depth Prediction,Supervised,VVS,0.3106451258902163
0.2432,0.5368,20,8,encode_6,ResNet18,Depth Prediction,Supervised,VVS,0.3875776946197963
0.27,0.5848,50,8,encode_6,ResNet18,Depth Prediction,Supervised,VVS,0.4157259467185868
0.0824,0.2432,1,9,encode_6,ResNet18,Depth Prediction,Supervised,VVS,0.181566769389925
0.1808,0.4428,5,9,encode_6,ResNet18,Depth Prediction,Supervised,VVS,0.3151167667948432
0.2492,0.56,20,9,encode_6,ResNet18,Depth Prediction,Supervised,VVS,0.3955172725104315
0.2664,0.5736,50,9,encode_6,ResNet18,Depth Prediction,Supervised,VVS,0.4136872723673105
0.0884,0.24,1,0,encode_7,ResNet18,Depth Prediction,Supervised,VVS,0.1864209850712463
0.1704,0.4364,5,0,encode_7,ResNet18,Depth Prediction,Supervised,VVS,0.3049167284564713
0.2356,0.5432,20,0,encode_7,ResNet18,Depth Prediction,Supervised,VVS,0.382688445779714
0.2692,0.568,50,0,encode_7,ResNet18,Depth Prediction,Supervised,VVS,0.4122789835694971
0.0772,0.25,1,1,encode_7,ResNet18,Depth Prediction,Supervised,VVS,0.182896494060336
0.1804,0.4324,5,1,encode_7,ResNet18,Depth Prediction,Supervised,VVS,0.3123059835745282
0.2356,0.5332,20,1,encode_7,ResNet18,Depth Prediction,Supervised,VVS,0.3819419965667936
0.272,0.5792,50,1,encode_7,ResNet18,Depth Prediction,Supervised,VVS,0.416425272699944
0.094,0.28,1,2,encode_7,ResNet18,Depth Prediction,Supervised,VVS,0.202058644706117
0.1956,0.45,5,2,encode_7,ResNet18,Depth Prediction,Supervised,VVS,0.324529314164516
0.2508,0.5488,20,2,encode_7,ResNet18,Depth Prediction,Supervised,VVS,0.3937141516151093
0.272,0.576,50,2,encode_7,ResNet18,Depth Prediction,Supervised,VVS,0.4156371164108117
0.0796,0.2452,1,3,encode_7,ResNet18,Depth Prediction,Supervised,VVS,0.1803558748820907
0.176,0.4492,5,3,encode_7,ResNet18,Depth Prediction,Supervised,VVS,0.3136336237055164
0.254,0.5484,20,3,encode_7,ResNet18,Depth Prediction,Supervised,VVS,0.3934451781404736
0.2712,0.5964,50,3,encode_7,ResNet18,Depth Prediction,Supervised,VVS,0.4199581370455215
0.08,0.2512,1,4,encode_7,ResNet18,Depth Prediction,Supervised,VVS,0.1841553077509059
0.182,0.4356,5,4,encode_7,ResNet18,Depth Prediction,Supervised,VVS,0.30978181221618
0.2484,0.548,20,4,encode_7,ResNet18,Depth Prediction,Supervised,VVS,0.393331692807668
0.264,0.5728,50,4,encode_7,ResNet18,Depth Prediction,Supervised,VVS,0.4120543274968248
0.0896,0.2628,1,5,encode_7,ResNet18,Depth Prediction,Supervised,VVS,0.1942290670683765
0.1608,0.4448,5,5,encode_7,ResNet18,Depth Prediction,Supervised,VVS,0.3013303405131654
0.248,0.5348,20,5,encode_7,ResNet18,Depth Prediction,Supervised,VVS,0.3909201622822152
0.2808,0.57,50,5,encode_7,ResNet18,Depth Prediction,Supervised,VVS,0.4216407943664301
0.0864,0.266,1,6,encode_7,ResNet18,Depth Prediction,Supervised,VVS,0.192405851946921
0.1716,0.4436,5,6,encode_7,ResNet18,Depth Prediction,Supervised,VVS,0.3065158600746798
0.2368,0.5576,20,6,encode_7,ResNet18,Depth Prediction,Supervised,VVS,0.3870307722983852
0.266,0.584,50,6,encode_7,ResNet18,Depth Prediction,Supervised,VVS,0.4156679695012256
0.0928,0.2592,1,7,encode_7,ResNet18,Depth Prediction,Supervised,VVS,0.1946403504274143
0.1632,0.4372,5,7,encode_7,ResNet18,Depth Prediction,Supervised,VVS,0.3044851688324242
0.2388,0.5408,20,7,encode_7,ResNet18,Depth Prediction,Supervised,VVS,0.3838086926028454
0.2768,0.5884,50,7,encode_7,ResNet18,Depth Prediction,Supervised,VVS,0.4218637317274039
0.088,0.2432,1,8,encode_7,ResNet18,Depth Prediction,Supervised,VVS,0.1870744931761349
0.188,0.4348,5,8,encode_7,ResNet18,Depth Prediction,Supervised,VVS,0.3144425590609395
0.2372,0.5408,20,8,encode_7,ResNet18,Depth Prediction,Supervised,VVS,0.3849910158384595
0.2728,0.5896,50,8,encode_7,ResNet18,Depth Prediction,Supervised,VVS,0.420849775984744
0.0788,0.2392,1,9,encode_7,ResNet18,Depth Prediction,Supervised,VVS,0.1788963503486748
0.1744,0.44,5,9,encode_7,ResNet18,Depth Prediction,Supervised,VVS,0.312249245712372
0.2452,0.5556,20,9,encode_7,ResNet18,Depth Prediction,Supervised,VVS,0.3917865179293611
0.2696,0.58,50,9,encode_7,ResNet18,Depth Prediction,Supervised,VVS,0.4161985388748061
0.0688,0.2052,1,0,encode_8,ResNet18,Depth Prediction,Supervised,VVS,0.1585507386100829
0.1272,0.3472,5,0,encode_8,ResNet18,Depth Prediction,Supervised,VVS,0.251494807779201
0.1888,0.484,20,0,encode_8,ResNet18,Depth Prediction,Supervised,VVS,0.33515649201294
0.2148,0.52,50,0,encode_8,ResNet18,Depth Prediction,Supervised,VVS,0.3586418846485668
0.0684,0.2324,1,1,encode_8,ResNet18,Depth Prediction,Supervised,VVS,0.1651076673109606
0.142,0.358,5,1,encode_8,ResNet18,Depth Prediction,Supervised,VVS,0.2598760443846522
0.182,0.472,20,1,encode_8,ResNet18,Depth Prediction,Supervised,VVS,0.3242808712596059
0.2084,0.4996,50,1,encode_8,ResNet18,Depth Prediction,Supervised,VVS,0.3539445517213972
0.0964,0.2616,1,2,encode_8,ResNet18,Depth Prediction,Supervised,VVS,0.1971547825844467
0.1656,0.3932,5,2,encode_8,ResNet18,Depth Prediction,Supervised,VVS,0.2845530137627782
0.2068,0.4752,20,2,encode_8,ResNet18,Depth Prediction,Supervised,VVS,0.3401990631455008
0.2216,0.5144,50,2,encode_8,ResNet18,Depth Prediction,Supervised,VVS,0.3635689867904221
0.0744,0.2484,1,3,encode_8,ResNet18,Depth Prediction,Supervised,VVS,0.1757926840734603
0.1552,0.386,5,3,encode_8,ResNet18,Depth Prediction,Supervised,VVS,0.2799057025847026
0.1948,0.4676,20,3,encode_8,ResNet18,Depth Prediction,Supervised,VVS,0.3311624737819976
0.2156,0.5184,50,3,encode_8,ResNet18,Depth Prediction,Supervised,VVS,0.3611057582246355
0.0748,0.2404,1,4,encode_8,ResNet18,Depth Prediction,Supervised,VVS,0.1758833768873406
0.152,0.3468,5,4,encode_8,ResNet18,Depth Prediction,Supervised,VVS,0.264417984469096
0.1964,0.4748,20,4,encode_8,ResNet18,Depth Prediction,Supervised,VVS,0.3325336472793058
0.2128,0.5036,50,4,encode_8,ResNet18,Depth Prediction,Supervised,VVS,0.3526439740375067
0.076,0.2144,1,5,encode_8,ResNet18,Depth Prediction,Supervised,VVS,0.167322643424521
0.1212,0.3832,5,5,encode_8,ResNet18,Depth Prediction,Supervised,VVS,0.256932087860922
0.192,0.4776,20,5,encode_8,ResNet18,Depth Prediction,Supervised,VVS,0.3321607491288815
0.218,0.5048,50,5,encode_8,ResNet18,Depth Prediction,Supervised,VVS,0.3583679007791844
0.0716,0.206,1,6,encode_8,ResNet18,Depth Prediction,Supervised,VVS,0.1625011876665998
0.1356,0.3692,5,6,encode_8,ResNet18,Depth Prediction,Supervised,VVS,0.2596187439310576
0.19,0.4716,20,6,encode_8,ResNet18,Depth Prediction,Supervised,VVS,0.3317477074301176
0.2068,0.5108,50,6,encode_8,ResNet18,Depth Prediction,Supervised,VVS,0.3527525971911601
0.0864,0.236,1,7,encode_8,ResNet18,Depth Prediction,Supervised,VVS,0.1812841974379968
0.1392,0.3716,5,7,encode_8,ResNet18,Depth Prediction,Supervised,VVS,0.2655579458533328
0.196,0.4724,20,7,encode_8,ResNet18,Depth Prediction,Supervised,VVS,0.3333782195173715
0.2244,0.508,50,7,encode_8,ResNet18,Depth Prediction,Supervised,VVS,0.3623263198951852
0.0772,0.2288,1,8,encode_8,ResNet18,Depth Prediction,Supervised,VVS,0.1724644488949393
0.1524,0.388,5,8,encode_8,ResNet18,Depth Prediction,Supervised,VVS,0.2785173508500477
0.2048,0.4804,20,8,encode_8,ResNet18,Depth Prediction,Supervised,VVS,0.3398464636786649
0.212,0.5168,50,8,encode_8,ResNet18,Depth Prediction,Supervised,VVS,0.3569426870276191
0.0604,0.2176,1,9,encode_8,ResNet18,Depth Prediction,Supervised,VVS,0.1565209917658737
0.142,0.3744,5,9,encode_8,ResNet18,Depth Prediction,Supervised,VVS,0.2652720339228772
0.196,0.4764,20,9,encode_8,ResNet18,Depth Prediction,Supervised,VVS,0.3342319801470944
0.218,0.5052,50,9,encode_8,ResNet18,Depth Prediction,Supervised,VVS,0.3614387243094091
0.072,0.2032,1,0,encode_9,ResNet18,Depth Prediction,Supervised,VVS,0.1590762142072882
0.1324,0.3436,5,0,encode_9,ResNet18,Depth Prediction,Supervised,VVS,0.2501330859479049
0.1868,0.4856,20,0,encode_9,ResNet18,Depth Prediction,Supervised,VVS,0.3340741600507166
0.2172,0.5168,50,0,encode_9,ResNet18,Depth Prediction,Supervised,VVS,0.3642130260451021
0.0588,0.2188,1,1,encode_9,ResNet18,Depth Prediction,Supervised,VVS,0.1549644022233873
0.1368,0.3444,5,1,encode_9,ResNet18,Depth Prediction,Supervised,VVS,0.2568574356977379
0.1816,0.4836,20,1,encode_9,ResNet18,Depth Prediction,Supervised,VVS,0.3267839069148048
0.2164,0.5028,50,1,encode_9,ResNet18,Depth Prediction,Supervised,VVS,0.3596582904176762
0.0904,0.2444,1,2,encode_9,ResNet18,Depth Prediction,Supervised,VVS,0.1873325705058114
0.1488,0.3864,5,2,encode_9,ResNet18,Depth Prediction,Supervised,VVS,0.2733460868902255
0.202,0.4708,20,2,encode_9,ResNet18,Depth Prediction,Supervised,VVS,0.3366817335612008
0.2236,0.5204,50,2,encode_9,ResNet18,Depth Prediction,Supervised,VVS,0.3655416579322554
0.0704,0.2392,1,3,encode_9,ResNet18,Depth Prediction,Supervised,VVS,0.1690793679504573
0.1516,0.3868,5,3,encode_9,ResNet18,Depth Prediction,Supervised,VVS,0.2750452995697983
0.1988,0.4716,20,3,encode_9,ResNet18,Depth Prediction,Supervised,VVS,0.3355439501313449
0.2164,0.5248,50,3,encode_9,ResNet18,Depth Prediction,Supervised,VVS,0.3649695811225684
0.0736,0.2252,1,4,encode_9,ResNet18,Depth Prediction,Supervised,VVS,0.1690912143004482
0.1436,0.3476,5,4,encode_9,ResNet18,Depth Prediction,Supervised,VVS,0.2598558347262726
0.1968,0.4776,20,4,encode_9,ResNet18,Depth Prediction,Supervised,VVS,0.3342695910362735
0.2208,0.4996,50,4,encode_9,ResNet18,Depth Prediction,Supervised,VVS,0.359260647172553
0.066,0.2168,1,5,encode_9,ResNet18,Depth Prediction,Supervised,VVS,0.1589465088709578
0.128,0.3708,5,5,encode_9,ResNet18,Depth Prediction,Supervised,VVS,0.25635599505153
0.196,0.4736,20,5,encode_9,ResNet18,Depth Prediction,Supervised,VVS,0.3343525563599295
0.2128,0.5104,50,5,encode_9,ResNet18,Depth Prediction,Supervised,VVS,0.3576329395055632
0.0624,0.1936,1,6,encode_9,ResNet18,Depth Prediction,Supervised,VVS,0.1497781571838498
0.132,0.3532,5,6,encode_9,ResNet18,Depth Prediction,Supervised,VVS,0.2550562933596942
0.196,0.4716,20,6,encode_9,ResNet18,Depth Prediction,Supervised,VVS,0.3360240467289288
0.2172,0.5076,50,6,encode_9,ResNet18,Depth Prediction,Supervised,VVS,0.360525656897897
0.0812,0.2268,1,7,encode_9,ResNet18,Depth Prediction,Supervised,VVS,0.1722455737681232
0.144,0.3592,5,7,encode_9,ResNet18,Depth Prediction,Supervised,VVS,0.2627712940469513
0.1964,0.4624,20,7,encode_9,ResNet18,Depth Prediction,Supervised,VVS,0.3318053614115931
0.2172,0.504,50,7,encode_9,ResNet18,Depth Prediction,Supervised,VVS,0.3612564826890164
0.072,0.2064,1,8,encode_9,ResNet18,Depth Prediction,Supervised,VVS,0.1611957880997569
0.1488,0.3692,5,8,encode_9,ResNet18,Depth Prediction,Supervised,VVS,0.2705089948770096
0.2,0.4836,20,8,encode_9,ResNet18,Depth Prediction,Supervised,VVS,0.3379611733743818
0.2076,0.5144,50,8,encode_9,ResNet18,Depth Prediction,Supervised,VVS,0.3568889605195199
0.0572,0.184,1,9,encode_9,ResNet18,Depth Prediction,Supervised,VVS,0.14599005258546
0.1384,0.3588,5,9,encode_9,ResNet18,Depth Prediction,Supervised,VVS,0.2594820599939775
0.196,0.48,20,9,encode_9,ResNet18,Depth Prediction,Supervised,VVS,0.3355599345892875
0.2172,0.5212,50,9,encode_9,ResNet18,Depth Prediction,Supervised,VVS,0.3633826294089825
0.0796,0.248,1,0,encode_2,ResNet18,SimCLR,Self-Supervised,VVS,0.180032608097953
0.1304,0.3432,5,0,encode_2,ResNet18,SimCLR,Self-Supervised,VVS,0.2482879665316674
0.1656,0.4108,20,0,encode_2,ResNet18,SimCLR,Self-Supervised,VVS,0.2938007013034414
0.1828,0.4404,50,0,encode_2,ResNet18,SimCLR,Self-Supervised,VVS,0.3132142356166589
0.062,0.2292,1,1,encode_2,ResNet18,SimCLR,Self-Supervised,VVS,0.1622994769002098
0.124,0.328,5,1,encode_2,ResNet18,SimCLR,Self-Supervised,VVS,0.2385537036227049
0.1832,0.4032,20,1,encode_2,ResNet18,SimCLR,Self-Supervised,VVS,0.3028439375386841
0.1988,0.4256,50,1,encode_2,ResNet18,SimCLR,Self-Supervised,VVS,0.3213425218144377
0.078,0.246,1,2,encode_2,ResNet18,SimCLR,Self-Supervised,VVS,0.1804409286945299
0.1344,0.3484,5,2,encode_2,ResNet18,SimCLR,Self-Supervised,VVS,0.250775161255776
0.1648,0.4148,20,2,encode_2,ResNet18,SimCLR,Self-Supervised,VVS,0.2947892249720025
0.1864,0.4352,50,2,encode_2,ResNet18,SimCLR,Self-Supervised,VVS,0.3177853827799864
0.0616,0.2132,1,3,encode_2,ResNet18,SimCLR,Self-Supervised,VVS,0.1571330122459882
0.1224,0.34,5,3,encode_2,ResNet18,SimCLR,Self-Supervised,VVS,0.2412312624211449
0.1676,0.4048,20,3,encode_2,ResNet18,SimCLR,Self-Supervised,VVS,0.2942556022372846
0.1856,0.4312,50,3,encode_2,ResNet18,SimCLR,Self-Supervised,VVS,0.3137307651786099
0.0644,0.2096,1,4,encode_2,ResNet18,SimCLR,Self-Supervised,VVS,0.1579604887199096
0.1336,0.35,5,4,encode_2,ResNet18,SimCLR,Self-Supervised,VVS,0.2542553378845637
0.1652,0.404,20,4,encode_2,ResNet18,SimCLR,Self-Supervised,VVS,0.2899503140761665
0.1812,0.4216,50,4,encode_2,ResNet18,SimCLR,Self-Supervised,VVS,0.3086915605995865
0.0684,0.202,1,5,encode_2,ResNet18,SimCLR,Self-Supervised,VVS,0.1564757067699711
0.1284,0.3392,5,5,encode_2,ResNet18,SimCLR,Self-Supervised,VVS,0.243481271428854
0.1688,0.3964,20,5,encode_2,ResNet18,SimCLR,Self-Supervised,VVS,0.2909086151049044
0.1852,0.4056,50,5,encode_2,ResNet18,SimCLR,Self-Supervised,VVS,0.3096222327882833
0.0616,0.2224,1,6,encode_2,ResNet18,SimCLR,Self-Supervised,VVS,0.1641426671572362
0.118,0.3164,5,6,encode_2,ResNet18,SimCLR,Self-Supervised,VVS,0.2311270897534557
0.1748,0.41,20,6,encode_2,ResNet18,SimCLR,Self-Supervised,VVS,0.2993501559377363
0.188,0.4332,50,6,encode_2,ResNet18,SimCLR,Self-Supervised,VVS,0.3180230205158475
0.07,0.2248,1,7,encode_2,ResNet18,SimCLR,Self-Supervised,VVS,0.1665560270594675
0.1384,0.3488,5,7,encode_2,ResNet18,SimCLR,Self-Supervised,VVS,0.2565251852328961
0.1772,0.4128,20,7,encode_2,ResNet18,SimCLR,Self-Supervised,VVS,0.3042111255041594
0.1944,0.4444,50,7,encode_2,ResNet18,SimCLR,Self-Supervised,VVS,0.3241716424960117
0.0668,0.206,1,8,encode_2,ResNet18,SimCLR,Self-Supervised,VVS,0.159118801304477
0.1296,0.3484,5,8,encode_2,ResNet18,SimCLR,Self-Supervised,VVS,0.2510910115297322
0.1704,0.4192,20,8,encode_2,ResNet18,SimCLR,Self-Supervised,VVS,0.2985627549261452
0.1796,0.4412,50,8,encode_2,ResNet18,SimCLR,Self-Supervised,VVS,0.312280001677295
0.0596,0.2132,1,9,encode_2,ResNet18,SimCLR,Self-Supervised,VVS,0.158138176789424
0.1104,0.3384,5,9,encode_2,ResNet18,SimCLR,Self-Supervised,VVS,0.23157582235421
0.1684,0.4192,20,9,encode_2,ResNet18,SimCLR,Self-Supervised,VVS,0.2970008283112318
0.1888,0.4448,50,9,encode_2,ResNet18,SimCLR,Self-Supervised,VVS,0.3170433605115477
0.0704,0.2104,1,0,encode_3,ResNet18,SimCLR,Self-Supervised,VVS,0.1620019616405647
0.1244,0.3284,5,0,encode_3,ResNet18,SimCLR,Self-Supervised,VVS,0.2371016782627034
0.1508,0.3864,20,0,encode_3,ResNet18,SimCLR,Self-Supervised,VVS,0.2750514435321936
0.176,0.4084,50,0,encode_3,ResNet18,SimCLR,Self-Supervised,VVS,0.2988790119423171
0.0672,0.204,1,1,encode_3,ResNet18,SimCLR,Self-Supervised,VVS,0.1585775718855836
0.1156,0.312,5,1,encode_3,ResNet18,SimCLR,Self-Supervised,VVS,0.2284627252331331
0.1708,0.3956,20,1,encode_3,ResNet18,SimCLR,Self-Supervised,VVS,0.290137017650721
0.1852,0.4204,50,1,encode_3,ResNet18,SimCLR,Self-Supervised,VVS,0.3076735007316768
0.0692,0.2296,1,2,encode_3,ResNet18,SimCLR,Self-Supervised,VVS,0.1656795217015002
0.1108,0.3124,5,2,encode_3,ResNet18,SimCLR,Self-Supervised,VVS,0.2272903545379323
0.1488,0.3888,20,2,encode_3,ResNet18,SimCLR,Self-Supervised,VVS,0.2737137909023569
0.1796,0.4228,50,2,encode_3,ResNet18,SimCLR,Self-Supervised,VVS,0.3077046124471477
0.0492,0.19,1,3,encode_3,ResNet18,SimCLR,Self-Supervised,VVS,0.1407664777918774
0.1092,0.3164,5,3,encode_3,ResNet18,SimCLR,Self-Supervised,VVS,0.2247379895347685
0.158,0.3872,20,3,encode_3,ResNet18,SimCLR,Self-Supervised,VVS,0.2812403339657064
0.174,0.4196,50,3,encode_3,ResNet18,SimCLR,Self-Supervised,VVS,0.3025938948109709
0.052,0.1992,1,4,encode_3,ResNet18,SimCLR,Self-Supervised,VVS,0.1457491544454677
0.1128,0.3216,5,4,encode_3,ResNet18,SimCLR,Self-Supervised,VVS,0.2306343473129606
0.162,0.3856,20,4,encode_3,ResNet18,SimCLR,Self-Supervised,VVS,0.2854142985775569
0.1748,0.4184,50,4,encode_3,ResNet18,SimCLR,Self-Supervised,VVS,0.3007108578873662
0.0728,0.2052,1,5,encode_3,ResNet18,SimCLR,Self-Supervised,VVS,0.1612294915038207
0.1176,0.3088,5,5,encode_3,ResNet18,SimCLR,Self-Supervised,VVS,0.2265803187508234
