layer,score,score_error,model,benchmark,effective_dimensionality_dataset,effective_dimensionality_imagenet,model_type,region
block2,0.33456016464660787,0.0012765671913132627,base=resnet50-type=supervised-1000components,bonner.Object2Vec.regression=lin,13.80932245783822,55.59662547984754,supervised,reliable
block3,0.3622289418197479,0.0012426763213013881,base=resnet50-type=supervised-1000components,bonner.Object2Vec.regression=lin,34.794391605130535,114.69687913791196,supervised,reliable
block4,0.3483923147526372,0.0010953600947783016,base=resnet50-type=supervised-1000components,bonner.Object2Vec.regression=lin,53.067644020972565,182.26800494561527,supervised,reliable
block1,0.2980423327350559,0.0012105174390502336,base=resnet18-type=supervised-1000components,bonner.Object2Vec.regression=lin,13.287526487094574,23.12907609403569,supervised,reliable
block2,0.34099613116574334,0.0011880471444822487,base=resnet18-type=supervised-1000components,bonner.Object2Vec.regression=lin,22.553229365599933,56.05575421323803,supervised,reliable
block3,0.343567125244976,0.0011994729644278028,base=resnet18-type=supervised-1000components,bonner.Object2Vec.regression=lin,41.50772265366491,67.89410151786119,supervised,reliable
block4,0.32695424318527966,0.0010499046165188095,base=resnet18-type=supervised-1000components,bonner.Object2Vec.regression=lin,60.67427156811946,163.75875080664545,supervised,reliable
conv1,0.17916274337012197,0.0010321383949345702,base=alexnet (untrained)-type=supervised-1000components,bonner.Object2Vec.regression=lin,12.517086507383818,14.84222331904795,supervised,reliable
conv3,0.22865443746313746,0.0010304918244233537,base=alexnet (untrained)-type=supervised-1000components,bonner.Object2Vec.regression=lin,6.662043566717231,10.09265257212421,supervised,reliable
conv5,0.21680049001221052,0.0010728729180436323,base=alexnet (untrained)-type=supervised-1000components,bonner.Object2Vec.regression=lin,5.892561252981324,8.233365857645616,supervised,reliable
fc7,0.2079204475259463,0.0011005978836164628,base=alexnet (untrained)-type=supervised-1000components,bonner.Object2Vec.regression=lin,8.578913403257891,11.89220551473817,supervised,reliable
block1,0.2255552400345784,0.0010605857338000819,base=resnet50 (untrained)-type=supervised-1000components,bonner.Object2Vec.regression=lin,7.052530122457591,8.252314307063202,supervised,reliable
block2,0.224473622218615,0.0010843707875593785,base=resnet50 (untrained)-type=supervised-1000components,bonner.Object2Vec.regression=lin,4.795079277945793,4.299677831350609,supervised,reliable
block3,0.21269116281232767,0.001023831292177763,base=resnet50 (untrained)-type=supervised-1000components,bonner.Object2Vec.regression=lin,2.549093766485306,2.3045946620221507,supervised,reliable
block4,0.20163152091972833,0.0010096183515055624,base=resnet50 (untrained)-type=supervised-1000components,bonner.Object2Vec.regression=lin,1.9605802800478407,1.9151193044196406,supervised,reliable
block1,0.23772537975823485,0.001070271605369203,base=resnet18 (untrained)-type=supervised-1000components,bonner.Object2Vec.regression=lin,7.4972829290134415,8.667985483061925,supervised,reliable
block2,0.250476104454247,0.001085805888763815,base=resnet18 (untrained)-type=supervised-1000components,bonner.Object2Vec.regression=lin,5.948969182239369,6.034078865576757,supervised,reliable
block3,0.217414796189905,0.0009886382234072558,base=resnet18 (untrained)-type=supervised-1000components,bonner.Object2Vec.regression=lin,5.418235165576911,4.014160126918305,supervised,reliable
block4,0.1941163024711835,0.001083493994327118,base=resnet18 (untrained)-type=supervised-1000components,bonner.Object2Vec.regression=lin,4.345521992708137,3.693635748180003,supervised,reliable
block1,0.32466063963671216,0.0012285807016926141,base=resnet50 simclr-type=unsupervised-zscore-1000components,bonner.Object2Vec.regression=lin,9.444567584102641,59.488059369553305,unsupervised,reliable
