between-concept dimensionality,between-concept radius,bias (mean),bias (std),layer,other signal-noise-overlap (mean),other signal-noise-overlap (std),self signal-noise-overlap (mean),self signal-noise-overlap (std),signal (mean),signal (std),signal-noise-ratio (mean),signal-noise-ratio (std),within-concept dimensionality (mean),within-concept dimensionality (std),within-concept radius (mean),within-concept radius (std),architecture,task,kind,source
2.901174105814179,0.09230267256498337,0.033625196665525436,0.26845216751098633,features.1,16.51177215576172,9.82403564453125,16.445337295532227,9.575957298278809,4.262196063995361,1.8478941917419434,0.60347098450017,0.2991936817695171,1.9474855602593084,0.36289795041591366,0.2073652595281601,0.03815000504255295,AlexNet,None,Untrained,PyTorch
3.2980699158540774,0.07254339009523392,0.022011317312717438,0.21443423628807068,features.4,15.739046096801758,7.751029968261719,15.710762023925781,7.656080722808838,4.625664234161377,1.8301466703414917,0.7157936559165543,0.3220333851120227,2.5243591342916276,0.43175795617687657,0.14975403249263763,0.02169717103242874,AlexNet,None,Untrained,PyTorch
2.736505779370194,0.052105508744716644,0.017291851341724396,0.1894766241312027,features.7,16.919540405273438,8.725605010986328,16.901578903198242,8.699501991271973,4.783257961273193,1.9799613952636719,0.706293672603183,0.2963415629377094,2.7834741702565573,0.3273877831691763,0.10320688039064407,0.01311463862657547,AlexNet,None,Untrained,PyTorch
2.886963676081115,0.013933813199400902,0.015729358419775963,0.18044500052928925,features.9,16.210554122924805,8.304926872253418,16.188676834106445,8.266742706298828,4.654300212860107,1.8701457977294922,0.7019349400721545,0.29143306000097374,2.9025240431815984,0.332284154710906,0.02842750959098339,0.0034433125983923674,AlexNet,None,Untrained,PyTorch
2.7400435196617954,0.005316455382853746,0.015239625237882137,0.17752470076084137,features.11,16.512189865112305,8.588862419128418,16.488256454467773,8.524234771728516,4.683789253234863,1.921432375907898,0.696931170527174,0.29454841015854905,2.9196521468044527,0.315927981786513,0.010740225203335285,0.0012803938006982207,AlexNet,None,Untrained,PyTorch
4.168892345288614,0.2904323637485504,0.08794500678777695,0.45665183663368225,features.1,22.67690086364746,16.339385986328125,20.634130477905273,9.325373649597168,6.507483959197998,2.8594236373901367,1.1193769523361314,0.7846345805219059,3.7302167222072864,1.114477654226774,0.42898789048194885,0.13139596581459045,AlexNet,Object Classification,Supervised,PyTorch
6.554460320307767,0.545944094657898,0.034266866743564606,0.27188119292259216,features.4,11.888453483581543,7.0849480628967285,11.337437629699707,4.931581497192383,5.794910907745361,1.88322913646698,1.5907006816596791,0.7710367048623661,9.481308004577745,2.1070245239996503,0.9204151034355164,0.16263577342033386,AlexNet,Object Classification,Supervised,PyTorch
8.334245715880442,0.8028155565261841,0.021259194239974022,0.2109704464673996,features.7,9.460230827331543,4.529764652252197,9.18932056427002,3.486865282058716,5.745616912841797,1.575348138809204,1.9146216544329178,0.8232489452186362,13.044626184298853,3.013101030492587,1.376378059387207,0.19467639923095703,AlexNet,Object Classification,Supervised,PyTorch
7.581426745704834,0.6538985371589661,0.023231608793139458,0.2216000109910965,features.9,12.026311874389648,6.057124137878418,11.65091323852539,4.566249847412109,6.74018669128418,2.002213716506958,2.0657620126428107,0.8860905029516019,12.40667507021083,2.63132082848261,0.9509819149971008,0.14176172018051147,AlexNet,Object Classification,Supervised,PyTorch
9.443853658837643,0.533267617225647,0.03821561112999916,0.289002388715744,features.11,12.287517547607422,7.417778968811035,11.607544898986816,4.933681011199951,7.051729202270508,2.1135072708129883,2.3521117903163122,1.194259259308973,13.012040786415453,3.5474607539344283,0.7425057291984558,0.14287704229354858,AlexNet,Object Classification,Supervised,PyTorch
1.7085833421801568,0.038675904273986816,0.025373850017786026,0.2312772572040558,features.18,19.655010223388672,14.258045196533203,19.620147705078125,14.127823829650879,4.316487789154053,2.2973814010620117,0.5150414908356017,0.21533046714088339,2.0700403336207254,0.3093738694009773,0.08101493865251541,0.012480192817747593,VGG16,None,Untrained,PyTorch
1.5995228933533574,0.036210525780916214,0.025455420836806297,0.23180584609508514,features.20,20.543724060058594,15.260332107543945,20.50463104248047,15.129768371582031,4.327596187591553,2.3912806510925293,0.49811179623740476,0.2149969251736651,1.9348369779016164,0.2994456336961283,0.07500652968883514,0.011596500873565674,VGG16,None,Untrained,PyTorch
1.4986633459705623,0.03599343076348305,0.025402236729860306,0.2316640317440033,features.22,21.480146408081055,16.155353546142578,21.43796157836914,16.015789031982422,4.373468399047852,2.501861810684204,0.4850577403437464,0.21416602459893636,1.8528542984114482,0.27133123091402284,0.07315027713775635,0.011303585022687912,VGG16,None,Untrained,PyTorch
1.3388044710095917,0.040367718786001205,0.025173213332891464,0.23070478439331055,features.25,24.325172424316406,18.491641998291016,24.27334213256836,18.33699607849121,4.600863456726074,2.762404203414917,0.47472582749306946,0.22097283310733976,1.6689267721109389,0.2135152255216701,0.07695045322179794,0.011832821182906628,VGG16,None,Untrained,PyTorch
1.3377656903325625,0.03472588583827019,0.02419165149331093,0.22589869797229767,features.27,24.50409507751465,18.557083129882812,24.446792602539062,18.38787269592285,4.664253234863281,2.7846667766571045,0.4856214598907538,0.22576770492040787,1.7165178936053147,0.2190105331067658,0.06535336375236511,0.009840657003223896,VGG16,None,Untrained,PyTorch
1.3457015579939364,0.030432026833295822,0.02366805635392666,0.2233806550502777,features.29,24.485010147094727,18.6212215423584,24.42011070251465,18.43858528137207,4.667109966278076,2.7905361652374268,0.48865273008106147,0.2280565285715226,1.7139725286258354,0.21942966475564363,0.05727466568350792,0.00855365302413702,VGG16,None,Untrained,PyTorch
