80% variance,alpha,effective dimensionality,layer,architecture,task,kind,source
66.0,1.138590593066997,35.24780653909002,encode_8,ResNet18,Local Aggregation,Self-Supervised,VVS
152.0,0.8734787109513226,74.28303398428034,encode_9,ResNet18,Local Aggregation,Self-Supervised,VVS
6.0,2.0090724371186064,5.605546330900406,encode_2,ResNet18,Instance Recognition,Self-Supervised,VVS
8.0,1.6659619299143447,8.0638089854442,encode_3,ResNet18,Instance Recognition,Self-Supervised,VVS
11.0,1.5959111699748783,10.12983807191686,encode_4,ResNet18,Instance Recognition,Self-Supervised,VVS
16.0,1.366461189498813,12.79200286879901,encode_5,ResNet18,Instance Recognition,Self-Supervised,VVS
28.0,1.3487272879315635,18.764354284193328,encode_6,ResNet18,Instance Recognition,Self-Supervised,VVS
39.0,1.1779174349476378,28.764033476061773,encode_7,ResNet18,Instance Recognition,Self-Supervised,VVS
55.0,1.1997998692600331,32.041569147825626,encode_8,ResNet18,Instance Recognition,Self-Supervised,VVS
136.0,0.9372480362699566,60.046252651293266,encode_9,ResNet18,Instance Recognition,Self-Supervised,VVS
2.0,2.8894109601506393,1.804610227136158,encode_2,ResNet18,Auto-Encoder,Self-Supervised,VVS
2.0,2.660351402827105,1.891739299091937,encode_3,ResNet18,Auto-Encoder,Self-Supervised,VVS
2.0,2.280100662112236,2.3630986497462576,encode_4,ResNet18,Auto-Encoder,Self-Supervised,VVS
2.0,2.2234724210016212,2.309389637424785,encode_5,ResNet18,Auto-Encoder,Self-Supervised,VVS
2.0,2.0278440430939226,2.372926789854322,encode_6,ResNet18,Auto-Encoder,Self-Supervised,VVS
3.0,2.0229932147315575,2.496191063786002,encode_7,ResNet18,Auto-Encoder,Self-Supervised,VVS
3.0,1.8632992147440437,2.372712493913165,encode_8,ResNet18,Auto-Encoder,Self-Supervised,VVS
4.0,1.77819785902901,3.697825102396482,encode_9,ResNet18,Auto-Encoder,Self-Supervised,VVS
4.0,2.075919598288702,4.088192345342197,encode_2,ResNet18,Contrastive Predictive Coding,Self-Supervised,VVS
5.0,1.9730042059563278,4.521863101073222,encode_3,ResNet18,Contrastive Predictive Coding,Self-Supervised,VVS
7.0,1.821076326124321,5.707336990764843,encode_4,ResNet18,Contrastive Predictive Coding,Self-Supervised,VVS
8.0,1.7366780971165547,5.801326925841886,encode_5,ResNet18,Contrastive Predictive Coding,Self-Supervised,VVS
18.0,1.5224714988995718,14.127616931385928,encode_6,ResNet18,Contrastive Predictive Coding,Self-Supervised,VVS
24.0,1.3861985102194636,20.26285104692773,encode_7,ResNet18,Contrastive Predictive Coding,Self-Supervised,VVS
2.0,1.7690953011687556,1.7340620321479656,encode_8,ResNet18,Contrastive Predictive Coding,Self-Supervised,VVS
1.0,2.7154841180001243,1.0628878723726842,encode_9,ResNet18,Contrastive Predictive Coding,Self-Supervised,VVS
3.0,2.3289115951842114,3.6901660123230102,encode_2,ResNet18,Colorization,Self-Supervised,VVS
4.0,2.0990343296029392,4.309730312452269,encode_3,ResNet18,Colorization,Self-Supervised,VVS
7.0,1.7738514499402334,6.876992919099837,encode_4,ResNet18,Colorization,Self-Supervised,VVS
15.0,1.508480550779655,12.065277963381304,encode_5,ResNet18,Colorization,Self-Supervised,VVS
24.0,1.3221253361232732,10.022406709183542,encode_6,ResNet18,Colorization,Self-Supervised,VVS
45.0,1.1370090924162581,26.130271767023405,encode_7,ResNet18,Colorization,Self-Supervised,VVS
26.0,1.3617957567539345,7.644626228142322,encode_8,ResNet18,Colorization,Self-Supervised,VVS
35.0,1.3567398116673246,12.647268458647119,encode_9,ResNet18,Colorization,Self-Supervised,VVS
5.0,2.5447933545730033,5.24702257981579,encode_2,ResNet18,Relative Position,Self-Supervised,VVS
