accuracy (top 1),accuracy (top 5),MRR,n_train,i_repeat,layer,architecture,task,kind,source
0.0604,0.2084,0.15674707668530305,1,5,features.4,AlexNet,None,Untrained,PyTorch
0.078,0.2604,0.18844128048807696,5,5,features.4,AlexNet,None,Untrained,PyTorch
0.108,0.3384,0.23201594840597822,20,5,features.4,AlexNet,None,Untrained,PyTorch
0.11,0.3692,0.24214063758926882,50,5,features.4,AlexNet,None,Untrained,PyTorch
0.0468,0.172,0.13589264645083982,1,6,features.4,AlexNet,None,Untrained,PyTorch
0.0936,0.2508,0.19417181148360918,5,6,features.4,AlexNet,None,Untrained,PyTorch
0.0992,0.3188,0.22155140263001466,20,6,features.4,AlexNet,None,Untrained,PyTorch
0.1116,0.3432,0.23644960928508835,50,6,features.4,AlexNet,None,Untrained,PyTorch
0.0544,0.1884,0.14507388342102562,1,7,features.4,AlexNet,None,Untrained,PyTorch
0.0876,0.2712,0.1977855506230081,5,7,features.4,AlexNet,None,Untrained,PyTorch
0.0984,0.3192,0.22038787861231407,20,7,features.4,AlexNet,None,Untrained,PyTorch
0.1072,0.348,0.2337972128225956,50,7,features.4,AlexNet,None,Untrained,PyTorch
0.0652,0.208,0.15576663929978943,1,8,features.4,AlexNet,None,Untrained,PyTorch
0.0888,0.2908,0.2048729135491893,5,8,features.4,AlexNet,None,Untrained,PyTorch
0.1024,0.3348,0.23012672137114268,20,8,features.4,AlexNet,None,Untrained,PyTorch
0.1132,0.3436,0.2377947722492981,50,8,features.4,AlexNet,None,Untrained,PyTorch
0.0512,0.2224,0.1520889539934924,1,9,features.4,AlexNet,None,Untrained,PyTorch
0.0884,0.276,0.19838473150091812,5,9,features.4,AlexNet,None,Untrained,PyTorch
0.1036,0.3212,0.22296939233002705,20,9,features.4,AlexNet,None,Untrained,PyTorch
0.1028,0.3328,0.22745785901235704,50,9,features.4,AlexNet,None,Untrained,PyTorch
0.0536,0.1904,0.14402546587639176,1,0,features.7,AlexNet,None,Untrained,PyTorch
0.0848,0.2672,0.1940608776974851,5,0,features.7,AlexNet,None,Untrained,PyTorch
0.0932,0.326,0.21838948969109606,20,0,features.7,AlexNet,None,Untrained,PyTorch
0.1128,0.3368,0.2354115407784423,50,0,features.7,AlexNet,None,Untrained,PyTorch
0.0536,0.2068,0.14889595636578126,1,1,features.7,AlexNet,None,Untrained,PyTorch
0.0844,0.2764,0.19510913608033614,5,1,features.7,AlexNet,None,Untrained,PyTorch
0.104,0.3184,0.22634976062833734,20,1,features.7,AlexNet,None,Untrained,PyTorch
0.1088,0.3376,0.23408653807923935,50,1,features.7,AlexNet,None,Untrained,PyTorch
0.0492,0.172,0.13555819429557503,1,2,features.7,AlexNet,None,Untrained,PyTorch
0.0944,0.262,0.1992422743123895,5,2,features.7,AlexNet,None,Untrained,PyTorch
0.1068,0.3176,0.2270130417016308,20,2,features.7,AlexNet,None,Untrained,PyTorch
0.1108,0.33,0.23389877732761297,50,2,features.7,AlexNet,None,Untrained,PyTorch
0.0596,0.2,0.14856839216138065,1,3,features.7,AlexNet,None,Untrained,PyTorch
0.0884,0.2804,0.19957122774417993,5,3,features.7,AlexNet,None,Untrained,PyTorch
0.1212,0.3504,0.24384408370808291,20,3,features.7,AlexNet,None,Untrained,PyTorch
0.1156,0.3556,0.24431593781537958,50,3,features.7,AlexNet,None,Untrained,PyTorch
0.0484,0.1952,0.14309208820810318,1,4,features.7,AlexNet,None,Untrained,PyTorch
0.0808,0.2668,0.19129874575608785,5,4,features.7,AlexNet,None,Untrained,PyTorch
0.1104,0.3144,0.2286586348790261,20,4,features.7,AlexNet,None,Untrained,PyTorch
0.1164,0.3336,0.24078569407391281,50,4,features.7,AlexNet,None,Untrained,PyTorch
0.0644,0.206,0.15609095919949226,1,5,features.7,AlexNet,None,Untrained,PyTorch
0.0812,0.2596,0.18972994816985958,5,5,features.7,AlexNet,None,Untrained,PyTorch
0.1072,0.328,0.23019139724985563,20,5,features.7,AlexNet,None,Untrained,PyTorch
0.1112,0.3536,0.2398573370502058,50,5,features.7,AlexNet,None,Untrained,PyTorch
0.0404,0.1668,0.12903618518897086,1,6,features.7,AlexNet,None,Untrained,PyTorch
0.0904,0.2596,0.1918832590273493,5,6,features.7,AlexNet,None,Untrained,PyTorch
0.0956,0.318,0.21810356340668968,20,6,features.7,AlexNet,None,Untrained,PyTorch
0.114,0.3408,0.23634986477883413,50,6,features.7,AlexNet,None,Untrained,PyTorch
0.0592,0.1932,0.15012851003858857,1,7,features.7,AlexNet,None,Untrained,PyTorch
0.086,0.27,0.19546811332253564,5,7,features.7,AlexNet,None,Untrained,PyTorch
0.092,0.3084,0.21355641713416307,20,7,features.7,AlexNet,None,Untrained,PyTorch
0.1068,0.3424,0.2340451545466993,50,7,features.7,AlexNet,None,Untrained,PyTorch
0.0528,0.2016,0.14800444839725058,1,8,features.7,AlexNet,None,Untrained,PyTorch
0.0888,0.2976,0.20673057036774925,5,8,features.7,AlexNet,None,Untrained,PyTorch
0.1112,0.3304,0.2331257106597022,20,8,features.7,AlexNet,None,Untrained,PyTorch
0.1196,0.344,0.24252921192092827,50,8,features.7,AlexNet,None,Untrained,PyTorch
0.0556,0.2136,0.15202918120649192,1,9,features.7,AlexNet,None,Untrained,PyTorch
0.0816,0.2712,0.19210470834634427,5,9,features.7,AlexNet,None,Untrained,PyTorch
0.1048,0.3156,0.22247290282711496,20,9,features.7,AlexNet,None,Untrained,PyTorch
0.1116,0.3304,0.23257896982796278,50,9,features.7,AlexNet,None,Untrained,PyTorch
0.0552,0.1916,0.1453181823113184,1,0,features.9,AlexNet,None,Untrained,PyTorch
0.0816,0.27,0.19254309046273294,5,0,features.9,AlexNet,None,Untrained,PyTorch
0.096,0.3228,0.21953288118592076,20,0,features.9,AlexNet,None,Untrained,PyTorch
0.1156,0.3288,0.2366140318172136,50,0,features.9,AlexNet,None,Untrained,PyTorch
