architecture,task,kind,source,layer,80% variance,alpha,effective dimensionality
ResNet50,Jigsaw,Self-Supervised,Taskonomy,layer3.3.relu,13.0,1.149333944871093,5.155145160290639
ResNet50,Jigsaw,Self-Supervised,Taskonomy,layer3.4.relu,12.0,1.1501605633391472,4.861237676845217
ResNet50,Jigsaw,Self-Supervised,Taskonomy,layer3.5.relu,18.0,1.1317997192883882,5.792662968884384
ResNet50,Jigsaw,Self-Supervised,Taskonomy,layer4.0.relu,6.0,1.4156773938124867,3.735700934774597
ResNet50,Jigsaw,Self-Supervised,Taskonomy,layer4.1.relu,5.0,1.3705964724004958,3.3747735975035598
ResNet50,Jigsaw,Self-Supervised,Taskonomy,layer4.2.relu,5.0,1.3541180658499041,3.312122366300965
ResNet50,Keypoint Detection (2D),Supervised,Taskonomy,layer1.0.relu,7.0,1.1716230414052067,2.5919471389120337
ResNet50,Keypoint Detection (2D),Supervised,Taskonomy,layer1.1.relu,8.0,1.1234288029290116,2.544549095398414
ResNet50,Keypoint Detection (2D),Supervised,Taskonomy,layer1.2.relu,18.0,1.0612507887024505,3.0847082320782
ResNet50,Keypoint Detection (2D),Supervised,Taskonomy,layer2.0.relu,2.0,1.1325690094032033,2.286779462250792
ResNet50,Keypoint Detection (2D),Supervised,Taskonomy,layer2.1.relu,2.0,1.0930330489571556,1.5883101909940194
ResNet50,Keypoint Detection (2D),Supervised,Taskonomy,layer2.2.relu,1.0,1.083415525068861,1.3190195797663304
ResNet50,Keypoint Detection (2D),Supervised,Taskonomy,layer2.3.relu,1.0,1.0487991988667098,1.2558972835668032
ResNet50,Keypoint Detection (2D),Supervised,Taskonomy,layer3.0.relu,1.0,1.2187925978144427,1.020504027473322
ResNet50,Keypoint Detection (2D),Supervised,Taskonomy,layer3.1.relu,1.0,1.2620056598969505,1.0128363627562602
ResNet50,Keypoint Detection (2D),Supervised,Taskonomy,layer3.2.relu,1.0,1.241439680012162,1.0219282586571763
ResNet50,Keypoint Detection (2D),Supervised,Taskonomy,layer3.3.relu,1.0,1.277509057202348,1.030229835099781
ResNet50,Keypoint Detection (2D),Supervised,Taskonomy,layer3.4.relu,1.0,1.224409399442717,1.0811665887646065
ResNet50,Keypoint Detection (2D),Supervised,Taskonomy,layer3.5.relu,1.0,1.2370023123398755,1.216904063871081
ResNet50,Keypoint Detection (2D),Supervised,Taskonomy,layer4.0.relu,1.0,1.5214165571745664,1.0722382939412565
ResNet50,Keypoint Detection (2D),Supervised,Taskonomy,layer4.1.relu,1.0,1.5772701155257092,1.0796276666050186
ResNet50,Keypoint Detection (2D),Supervised,Taskonomy,layer4.2.relu,1.0,1.6335602759199968,1.0728651392137118
ResNet50,Keypoint Detection (3D),Supervised,Taskonomy,layer1.0.relu,25.0,0.9812673044118966,3.448954796347837
ResNet50,Keypoint Detection (3D),Supervised,Taskonomy,layer1.1.relu,33.0,0.9431832935490781,3.662186999817974
ResNet50,Keypoint Detection (3D),Supervised,Taskonomy,layer1.2.relu,53.0,0.8916352873687079,4.689126780410623
ResNet50,Keypoint Detection (3D),Supervised,Taskonomy,layer2.0.relu,78.0,0.8815053912729915,5.184083404890513
ResNet50,Keypoint Detection (3D),Supervised,Taskonomy,layer2.1.relu,56.0,0.8944733131915,4.283148248992871
ResNet50,Keypoint Detection (3D),Supervised,Taskonomy,layer2.2.relu,53.0,0.8913701134290472,4.066106429127866
ResNet50,Keypoint Detection (3D),Supervised,Taskonomy,layer2.3.relu,79.0,0.866040011198601,4.865167258689134
ResNet50,Keypoint Detection (3D),Supervised,Taskonomy,layer3.0.relu,11.0,0.9350524627628872,2.3597925313859305
ResNet50,Keypoint Detection (3D),Supervised,Taskonomy,layer3.1.relu,13.0,0.9280920849556862,2.481480954450901
ResNet50,Keypoint Detection (3D),Supervised,Taskonomy,layer3.2.relu,13.0,0.9276002695527098,2.559233658446834
ResNet50,Keypoint Detection (3D),Supervised,Taskonomy,layer3.3.relu,15.0,0.9256296959771068,2.6543746213081394
ResNet50,Keypoint Detection (3D),Supervised,Taskonomy,layer3.4.relu,22.0,0.9182302128228215,2.9280990113784733
ResNet50,Keypoint Detection (3D),Supervised,Taskonomy,layer3.5.relu,38.0,0.9042271153442036,3.445156900437703
ResNet50,Keypoint Detection (3D),Supervised,Taskonomy,layer4.0.relu,76.0,0.9157014868316784,5.2050986549173945
ResNet50,Keypoint Detection (3D),Supervised,Taskonomy,layer4.1.relu,109.0,0.9102619851756167,7.333228910631222
ResNet50,Keypoint Detection (3D),Supervised,Taskonomy,layer4.2.relu,85.0,0.9249115276391975,7.568591841921273
ResNet50,Non-Fixated Pose Estimation,Supervised,Taskonomy,layer1.0.relu,14.0,1.071148173825093,3.483962177851844
ResNet50,Non-Fixated Pose Estimation,Supervised,Taskonomy,layer1.1.relu,13.0,1.082495744932261,3.392402566659629
ResNet50,Non-Fixated Pose Estimation,Supervised,Taskonomy,layer1.2.relu,19.0,1.0726513550522516,3.843047117854773
ResNet50,Non-Fixated Pose Estimation,Supervised,Taskonomy,layer2.0.relu,20.0,0.9984400543298455,3.5822232633417466
ResNet50,Non-Fixated Pose Estimation,Supervised,Taskonomy,layer2.1.relu,16.0,1.0383183433529786,3.3332822174166536
ResNet50,Non-Fixated Pose Estimation,Supervised,Taskonomy,layer2.2.relu,15.0,1.0605616381086986,3.2894823381668763
ResNet50,Non-Fixated Pose Estimation,Supervised,Taskonomy,layer2.3.relu,25.0,1.051010203340844,3.95757252892188
ResNet50,Non-Fixated Pose Estimation,Supervised,Taskonomy,layer3.0.relu,38.0,0.975571263578694,4.281942800141973
ResNet50,Non-Fixated Pose Estimation,Supervised,Taskonomy,layer3.1.relu,38.0,0.9717061297104123,3.940274500445129
ResNet50,Non-Fixated Pose Estimation,Supervised,Taskonomy,layer3.2.relu,32.0,0.9824700224747737,3.4599572669871965
ResNet50,Non-Fixated Pose Estimation,Supervised,Taskonomy,layer3.3.relu,21.0,1.001011611167622,2.962043934907009
ResNet50,Non-Fixated Pose Estimation,Supervised,Taskonomy,layer3.4.relu,16.0,1.0124756177398708,2.6447333614073982
ResNet50,Non-Fixated Pose Estimation,Supervised,Taskonomy,layer3.5.relu,9.0,1.0296549984692263,2.249423197690014
ResNet50,Non-Fixated Pose Estimation,Supervised,Taskonomy,layer4.0.relu,2.0,1.0975557093965405,1.7171557469770338
ResNet50,Non-Fixated Pose Estimation,Supervised,Taskonomy,layer4.1.relu,3.0,1.1097197867849447,1.8273954535667447
ResNet50,Non-Fixated Pose Estimation,Supervised,Taskonomy,layer4.2.relu,7.0,1.1102870641801605,2.5560900067677617
ResNet50,Point Matching,Supervised,Taskonomy,layer1.0.relu,17.0,1.0011609265624286,3.4138693876641915
ResNet50,Point Matching,Supervised,Taskonomy,layer1.1.relu,16.0,1.0085543122307856,3.4275816747797614
ResNet50,Point Matching,Supervised,Taskonomy,layer1.2.relu,28.0,0.9546423322573554,4.034908139812374
ResNet50,Point Matching,Supervised,Taskonomy,layer2.0.relu,42.0,0.8850134782348693,3.9503250782907777
ResNet50,Point Matching,Supervised,Taskonomy,layer2.1.relu,46.0,0.8791135111159364,4.117966865410402
ResNet50,Point Matching,Supervised,Taskonomy,layer2.2.relu,31.0,0.921395370934838,3.52752847514969
ResNet50,Point Matching,Supervised,Taskonomy,layer2.3.relu,56.0,0.914698843609537,4.369342479020604
ResNet50,Point Matching,Supervised,Taskonomy,layer3.0.relu,26.0,0.9321383334468942,3.1882413165670846
ResNet50,Point Matching,Supervised,Taskonomy,layer3.1.relu,24.0,0.9419329496535288,3.153670480706112
ResNet50,Point Matching,Supervised,Taskonomy,layer3.2.relu,25.0,0.9526674013880484,3.310083594076102
ResNet50,Point Matching,Supervised,Taskonomy,layer3.3.relu,28.0,0.9638174191642476,3.4877925288856195
ResNet50,Point Matching,Supervised,Taskonomy,layer3.4.relu,19.0,0.9943425824723254,3.077933230877436
ResNet50,Point Matching,Supervised,Taskonomy,layer3.5.relu,33.0,0.9937915335212995,3.724255195876144
ResNet50,Point Matching,Supervised,Taskonomy,layer4.0.relu,21.0,1.226777324766801,4.741119983544216
ResNet50,Point Matching,Supervised,Taskonomy,layer4.1.relu,20.0,1.231087289672707,4.564970973542381
ResNet50,Point Matching,Supervised,Taskonomy,layer4.2.relu,24.0,1.2137945168716266,5.27682227139413
ResNet50,Reshading,Supervised,Taskonomy,layer1.0.relu,23.0,0.9877092112405581,3.3131209012358247
ResNet50,Reshading,Supervised,Taskonomy,layer1.1.relu,26.0,0.9672271556539711,3.387422314398933
ResNet50,Reshading,Supervised,Taskonomy,layer1.2.relu,43.0,0.9330121735597589,4.194432143950595
ResNet50,Reshading,Supervised,Taskonomy,layer2.0.relu,68.0,0.9033670608259355,4.582392723538419
ResNet50,Reshading,Supervised,Taskonomy,layer2.1.relu,73.0,0.8947877534047484,4.564930078745008
ResNet50,Reshading,Supervised,Taskonomy,layer2.2.relu,76.0,0.8890682240999073,4.643669440956026
ResNet50,Reshading,Supervised,Taskonomy,layer2.3.relu,100.0,0.8777627679956247,5.792025477333949
ResNet50,Reshading,Supervised,Taskonomy,layer3.0.relu,101.0,0.8721579586074336,4.959608267864085
ResNet50,Reshading,Supervised,Taskonomy,layer3.1.relu,126.0,0.8557778466111134,5.497462357441605
ResNet50,Reshading,Supervised,Taskonomy,layer3.2.relu,149.0,0.8417202599393172,6.097165069315069
ResNet50,Reshading,Supervised,Taskonomy,layer3.3.relu,170.0,0.8301673309767765,6.7341349104226005
ResNet50,Reshading,Supervised,Taskonomy,layer3.4.relu,191.0,0.82125712601564,7.644861968876313
ResNet50,Reshading,Supervised,Taskonomy,layer3.5.relu,211.0,0.8113755313546726,8.326510304463131
ResNet50,Reshading,Supervised,Taskonomy,layer4.0.relu,256.0,0.8248145402648479,11.389399030498351
ResNet50,Reshading,Supervised,Taskonomy,layer4.1.relu,86.0,0.8273742869309714,4.573936093152617
ResNet50,Reshading,Supervised,Taskonomy,layer4.2.relu,64.0,0.8374303587409662,4.039808494548562
ResNet50,Depth Estimation (Z-Buffer),Supervised,Taskonomy,layer1.0.relu,24.0,0.9796672206555069,3.276940414109644
ResNet50,Depth Estimation (Z-Buffer),Supervised,Taskonomy,layer1.1.relu,26.0,0.9850252888015749,3.403831220212407
ResNet50,Depth Estimation (Z-Buffer),Supervised,Taskonomy,layer1.2.relu,41.0,0.9379162692444839,4.125479624695629
ResNet50,Depth Estimation (Z-Buffer),Supervised,Taskonomy,layer2.0.relu,63.0,0.9199238220398964,4.791232058972365
ResNet50,Depth Estimation (Z-Buffer),Supervised,Taskonomy,layer2.1.relu,61.0,0.9143739422542693,4.601430818406231
ResNet50,Depth Estimation (Z-Buffer),Supervised,Taskonomy,layer2.2.relu,54.0,0.9316192697640724,4.510693878526516
ResNet50,Depth Estimation (Z-Buffer),Supervised,Taskonomy,layer2.3.relu,76.0,0.9204327320686686,5.855734039328704
ResNet50,Depth Estimation (Z-Buffer),Supervised,Taskonomy,layer3.0.relu,12.0,1.012344508939953,3.186339972122852
ResNet50,Depth Estimation (Z-Buffer),Supervised,Taskonomy,layer3.1.relu,12.0,1.0030675388681873,3.2120845661389694
ResNet50,Depth Estimation (Z-Buffer),Supervised,Taskonomy,layer3.2.relu,10.0,0.9985465398603852,2.959003630371071
ResNet50,Depth Estimation (Z-Buffer),Supervised,Taskonomy,layer3.3.relu,10.0,0.9881133445817237,2.89147764568494
ResNet50,Depth Estimation (Z-Buffer),Supervised,Taskonomy,layer3.4.relu,7.0,0.9871144892934356,2.56901458979761
ResNet50,Depth Estimation (Z-Buffer),Supervised,Taskonomy,layer3.5.relu,2.0,0.9939219237532625,1.8342864542868047
ResNet50,Depth Estimation (Z-Buffer),Supervised,Taskonomy,layer4.0.relu,1.0,1.1093461946868002,1.0343130190993766
ResNet50,Depth Estimation (Z-Buffer),Supervised,Taskonomy,layer4.1.relu,1.0,1.2363970937119262,1.0114135346649094
ResNet50,Depth Estimation (Z-Buffer),Supervised,Taskonomy,layer4.2.relu,1.0,1.3794600803394135,1.024524643768431
ResNet50,Depth Estimation,Supervised,Taskonomy,layer1.0.relu,25.0,0.9745261849128259,3.3106693768788618
ResNet50,Depth Estimation,Supervised,Taskonomy,layer1.1.relu,30.0,0.9586148671514826,3.553508695778839
ResNet50,Depth Estimation,Supervised,Taskonomy,layer1.2.relu,46.0,0.9309795536344401,4.574450638634752
ResNet50,Depth Estimation,Supervised,Taskonomy,layer2.0.relu,59.0,0.9165100642128917,4.514380626927748
ResNet50,Depth Estimation,Supervised,Taskonomy,layer2.1.relu,58.0,0.9196379653098086,4.333425845497805
ResNet50,Depth Estimation,Supervised,Taskonomy,layer2.2.relu,63.0,0.9223697305722984,4.541184275304548
ResNet50,Depth Estimation,Supervised,Taskonomy,layer2.3.relu,98.0,0.8937998483879294,6.430950630489964
ResNet50,Depth Estimation,Supervised,Taskonomy,layer3.0.relu,36.0,0.9823270899861093,3.749366962403209
ResNet50,Depth Estimation,Supervised,Taskonomy,layer3.1.relu,36.0,0.9836334657736118,3.713472896496759
ResNet50,Depth Estimation,Supervised,Taskonomy,layer3.2.relu,53.0,0.9707472865021854,4.419810664227625
ResNet50,Depth Estimation,Supervised,Taskonomy,layer3.3.relu,69.0,0.9591130011925164,5.0481273669682745
ResNet50,Depth Estimation,Supervised,Taskonomy,layer3.4.relu,103.0,0.9447894549374515,6.84012097803214
ResNet50,Depth Estimation,Supervised,Taskonomy,layer3.5.relu,116.0,0.9391701968182437,7.40951735989433
ResNet50,Depth Estimation,Supervised,Taskonomy,layer4.0.relu,141.0,1.000182464828989,13.248978098632012
ResNet50,Depth Estimation,Supervised,Taskonomy,layer4.1.relu,156.0,0.9977354800316414,13.896385411290964
ResNet50,Depth Estimation,Supervised,Taskonomy,layer4.2.relu,166.0,0.9975843974425381,14.902873837649
ResNet50,Surface Normals Estimation,Supervised,Taskonomy,layer1.0.relu,26.0,0.9874971677371611,3.4245969990937843
ResNet50,Surface Normals Estimation,Supervised,Taskonomy,layer1.1.relu,30.0,0.9669526469402095,3.444665625788181
ResNet50,Surface Normals Estimation,Supervised,Taskonomy,layer1.2.relu,49.0,0.9298643477798988,4.625341569447673
ResNet50,Surface Normals Estimation,Supervised,Taskonomy,layer2.0.relu,85.0,0.8633062358533725,5.2924156344572495
ResNet50,Surface Normals Estimation,Supervised,Taskonomy,layer2.1.relu,83.0,0.8559202653383434,5.269266117710982
ResNet50,Surface Normals Estimation,Supervised,Taskonomy,layer2.2.relu,97.0,0.8432327303635407,6.143254156848504
ResNet50,Surface Normals Estimation,Supervised,Taskonomy,layer2.3.relu,135.0,0.8025218510221475,8.761696539411393
ResNet50,Surface Normals Estimation,Supervised,Taskonomy,layer3.0.relu,100.0,0.853698419838673,5.591332649604855
ResNet50,Surface Normals Estimation,Supervised,Taskonomy,layer3.1.relu,146.0,0.8312123673819959,7.065051124685088
ResNet50,Surface Normals Estimation,Supervised,Taskonomy,layer3.2.relu,150.0,0.8216766642511902,7.083116481398119
ResNet50,Surface Normals Estimation,Supervised,Taskonomy,layer3.3.relu,74.0,0.8296155952704605,4.480127406316146
ResNet50,Surface Normals Estimation,Supervised,Taskonomy,layer3.4.relu,2.0,0.8512588574060619,1.698489203150861
ResNet50,Surface Normals Estimation,Supervised,Taskonomy,layer3.5.relu,1.0,0.8763280025638283,1.1577645683569764
ResNet50,Surface Normals Estimation,Supervised,Taskonomy,layer4.0.relu,1.0,0.9578713935512204,1.0182749520628762
ResNet50,Surface Normals Estimation,Supervised,Taskonomy,layer4.1.relu,1.0,1.004188317220235,1.0056444512392209
ResNet50,Surface Normals Estimation,Supervised,Taskonomy,layer4.2.relu,1.0,1.2376084109158874,1.0139779934955555
ResNet50,Room Layout,Supervised,Taskonomy,layer1.0.relu,21.0,1.0178000542271821,3.405185396786893
ResNet50,Room Layout,Supervised,Taskonomy,layer1.1.relu,21.0,1.0165413295593704,3.4877819071723533
ResNet50,Room Layout,Supervised,Taskonomy,layer1.2.relu,38.0,0.9679081730527682,4.51343496162202
ResNet50,Room Layout,Supervised,Taskonomy,layer2.0.relu,54.0,0.9188258580760782,4.253215635577671
ResNet50,Room Layout,Supervised,Taskonomy,layer2.1.relu,59.0,0.9056291978677994,4.350370593275907
ResNet50,Room Layout,Supervised,Taskonomy,layer2.2.relu,56.0,0.9150168837434016,4.320965214368915
ResNet50,Room Layout,Supervised,Taskonomy,layer2.3.relu,73.0,0.9071679638632361,4.922391566525807
ResNet50,Room Layout,Supervised,Taskonomy,layer3.0.relu,56.0,0.9258826255303756,4.623536725681692
ResNet50,Room Layout,Supervised,Taskonomy,layer3.1.relu,77.0,0.9016476363854885,5.073461410957727
ResNet50,Room Layout,Supervised,Taskonomy,layer3.2.relu,106.0,0.885082698949792,6.017802565175854
ResNet50,Room Layout,Supervised,Taskonomy,layer3.3.relu,135.0,0.8722462600336056,7.000025464970994
ResNet50,Room Layout,Supervised,Taskonomy,layer3.4.relu,167.0,0.855522531533887,8.234384328100699
ResNet50,Room Layout,Supervised,Taskonomy,layer3.5.relu,196.0,0.8440720351051217,9.783384888390437
ResNet50,Room Layout,Supervised,Taskonomy,layer4.0.relu,274.0,0.9103474972355025,19.01990104437742
ResNet50,Room Layout,Supervised,Taskonomy,layer4.1.relu,119.0,0.9360657096727105,7.205115618079664
ResNet50,Room Layout,Supervised,Taskonomy,layer4.2.relu,5.0,0.9753303151854004,1.9539556586360327
ResNet50,Unsupervised Segmentation (25D),Self-Supervised,Taskonomy,layer1.0.relu,21.0,1.0247655579181114,3.689764263259325
ResNet50,Unsupervised Segmentation (25D),Self-Supervised,Taskonomy,layer1.1.relu,22.0,1.0178802351648812,3.573622973135877
ResNet50,Unsupervised Segmentation (25D),Self-Supervised,Taskonomy,layer1.2.relu,39.0,0.9736416671440197,4.580071566842853
ResNet50,Unsupervised Segmentation (25D),Self-Supervised,Taskonomy,layer2.0.relu,46.0,0.9597877363497808,4.417322638931524
ResNet50,Unsupervised Segmentation (25D),Self-Supervised,Taskonomy,layer2.1.relu,48.0,0.9557743932304713,4.476833395707978
ResNet50,Unsupervised Segmentation (25D),Self-Supervised,Taskonomy,layer2.2.relu,53.0,0.9456730855141441,4.740304186021879
ResNet50,Unsupervised Segmentation (25D),Self-Supervised,Taskonomy,layer2.3.relu,82.0,0.9185737345730748,6.254909846954345
ResNet50,Unsupervised Segmentation (25D),Self-Supervised,Taskonomy,layer3.0.relu,32.0,0.9628241930999366,4.128216517405635
ResNet50,Unsupervised Segmentation (25D),Self-Supervised,Taskonomy,layer3.1.relu,27.0,0.963001064366321,3.6926630878756215
ResNet50,Unsupervised Segmentation (25D),Self-Supervised,Taskonomy,layer3.2.relu,38.0,0.9487777914586998,4.249506912541906
ResNet50,Unsupervised Segmentation (25D),Self-Supervised,Taskonomy,layer3.3.relu,48.0,0.9359028303720658,4.5978431771497
ResNet50,Unsupervised Segmentation (25D),Self-Supervised,Taskonomy,layer3.4.relu,63.0,0.9207808201738056,5.0069237912371385
ResNet50,Unsupervised Segmentation (25D),Self-Supervised,Taskonomy,layer3.5.relu,90.0,0.9073621902935818,6.265884841494994
ResNet50,Unsupervised Segmentation (25D),Self-Supervised,Taskonomy,layer4.0.relu,135.0,0.963624157861495,10.773140926503256
ResNet50,Unsupervised Segmentation (25D),Self-Supervised,Taskonomy,layer4.1.relu,45.0,0.9667023093227549,4.854583432463692
ResNet50,Unsupervised Segmentation (25D),Self-Supervised,Taskonomy,layer4.2.relu,18.0,0.9728806562579775,3.077470637642356
ResNet50,Unsupervised Segmentation (2D),Self-Supervised,Taskonomy,layer1.0.relu,16.0,1.0406423468882149,3.219701323715134
ResNet50,Unsupervised Segmentation (2D),Self-Supervised,Taskonomy,layer1.1.relu,18.0,1.0238347175780866,3.173046019948618
ResNet50,Unsupervised Segmentation (2D),Self-Supervised,Taskonomy,layer1.2.relu,41.0,0.9504546910996472,4.297363675525996
ResNet50,Unsupervised Segmentation (2D),Self-Supervised,Taskonomy,layer2.0.relu,42.0,0.9399348648178752,3.49194741700649
ResNet50,Unsupervised Segmentation (2D),Self-Supervised,Taskonomy,layer2.1.relu,43.0,0.9351017593288964,3.4381551010284457
ResNet50,Unsupervised Segmentation (2D),Self-Supervised,Taskonomy,layer2.2.relu,52.0,0.9290704881296147,3.717725291830916
ResNet50,Unsupervised Segmentation (2D),Self-Supervised,Taskonomy,layer2.3.relu,94.0,0.8899359500071846,5.700516188647008
ResNet50,Unsupervised Segmentation (2D),Self-Supervised,Taskonomy,layer3.0.relu,26.0,1.0608111979524566,4.668245734393335
ResNet50,Unsupervised Segmentation (2D),Self-Supervised,Taskonomy,layer3.1.relu,29.0,1.0354317910074586,4.622779449077558
ResNet50,Unsupervised Segmentation (2D),Self-Supervised,Taskonomy,layer3.2.relu,22.0,1.0268588326415578,3.9187076961807934
ResNet50,Unsupervised Segmentation (2D),Self-Supervised,Taskonomy,layer3.3.relu,10.0,1.064673678915217,2.6973436252121528
ResNet50,Unsupervised Segmentation (2D),Self-Supervised,Taskonomy,layer3.4.relu,4.0,1.0985388035080959,2.2457394732673484
ResNet50,Unsupervised Segmentation (2D),Self-Supervised,Taskonomy,layer3.5.relu,3.0,1.1294031156345368,2.6471195556621536
ResNet50,Unsupervised Segmentation (2D),Self-Supervised,Taskonomy,layer4.0.relu,1.0,1.3162362242193058,1.0536460472666325
ResNet50,Unsupervised Segmentation (2D),Self-Supervised,Taskonomy,layer4.1.relu,1.0,1.4406373933892265,1.0112954390967432
ResNet50,Unsupervised Segmentation (2D),Self-Supervised,Taskonomy,layer4.2.relu,1.0,1.5003726899326137,1.0148051623311642
ResNet50,Semantic Segmentation,Supervised,Taskonomy,layer1.0.relu,23.0,1.015014255010954,3.849332213665474
ResNet50,Semantic Segmentation,Supervised,Taskonomy,layer1.1.relu,28.0,0.9908187302760609,4.000026105088925
ResNet50,Semantic Segmentation,Supervised,Taskonomy,layer1.2.relu,43.0,0.9535810830655184,5.196100337228364
ResNet50,Semantic Segmentation,Supervised,Taskonomy,layer2.0.relu,80.0,0.8886284428299778,6.191498400890067
ResNet50,Semantic Segmentation,Supervised,Taskonomy,layer2.1.relu,92.0,0.8647696356717127,6.5003314248665
ResNet50,Semantic Segmentation,Supervised,Taskonomy,layer2.2.relu,106.0,0.8536953373442836,7.39414911890707
ResNet50,Semantic Segmentation,Supervised,Taskonomy,layer2.3.relu,143.0,0.8193068903815764,10.740086999909757
ResNet50,Semantic Segmentation,Supervised,Taskonomy,layer3.0.relu,209.0,0.8468188353037042,13.602242326970591
ResNet50,Semantic Segmentation,Supervised,Taskonomy,layer3.1.relu,225.0,0.8361882292650029,15.943982280870218
ResNet50,Semantic Segmentation,Supervised,Taskonomy,layer3.2.relu,240.0,0.8279259837881282,16.25184829894619
ResNet50,Semantic Segmentation,Supervised,Taskonomy,layer3.3.relu,253.0,0.8177177251059057,16.420186167421317
ResNet50,Semantic Segmentation,Supervised,Taskonomy,layer3.4.relu,269.0,0.8074397419197648,17.145233395421105
ResNet50,Semantic Segmentation,Supervised,Taskonomy,layer3.5.relu,289.0,0.7925715047493189,17.95645661924554
ResNet50,Semantic Segmentation,Supervised,Taskonomy,layer4.0.relu,166.0,0.9965161242985155,11.796947561262996
ResNet50,Semantic Segmentation,Supervised,Taskonomy,layer4.1.relu,135.0,1.0290294896670462,11.007433889118168
ResNet50,Semantic Segmentation,Supervised,Taskonomy,layer4.2.relu,107.0,1.034187718404877,7.415588472571782
ResNet50,Object Classification,Supervised,Taskonomy,layer1.0.relu,22.0,1.0092919962146696,3.686923687097001
ResNet50,Object Classification,Supervised,Taskonomy,layer1.1.relu,24.0,0.9932191604345539,3.8781604035824646
ResNet50,Object Classification,Supervised,Taskonomy,layer1.2.relu,42.0,0.9459340776401443,5.098698894841897
ResNet50,Object Classification,Supervised,Taskonomy,layer2.0.relu,84.0,0.8808600318939399,6.225349179632466
ResNet50,Object Classification,Supervised,Taskonomy,layer2.1.relu,97.0,0.8633973771398703,6.812785063047657
ResNet50,Object Classification,Supervised,Taskonomy,layer2.2.relu,105.0,0.8611194083495661,7.376114786838233
ResNet50,Object Classification,Supervised,Taskonomy,layer2.3.relu,141.0,0.8386243675159656,12.48768161704743
ResNet50,Object Classification,Supervised,Taskonomy,layer3.0.relu,192.0,0.8713448576170879,15.09817374308962
ResNet50,Object Classification,Supervised,Taskonomy,layer3.1.relu,228.0,0.8498559124780122,18.012427603847083
ResNet50,Object Classification,Supervised,Taskonomy,layer3.2.relu,259.0,0.8303683482023037,21.140961315109983
ResNet50,Object Classification,Supervised,Taskonomy,layer3.3.relu,282.0,0.814894671866415,23.33759623452563
ResNet50,Object Classification,Supervised,Taskonomy,layer3.4.relu,295.0,0.8060426228870377,24.742003352838005
ResNet50,Object Classification,Supervised,Taskonomy,layer3.5.relu,308.0,0.7961553469677004,26.13854022341181
ResNet50,Object Classification,Supervised,Taskonomy,layer4.0.relu,273.0,0.9259969691097336,22.055594542578795
ResNet50,Object Classification,Supervised,Taskonomy,layer4.1.relu,242.0,0.9518318319712274,19.47620216133302
ResNet50,Object Classification,Supervised,Taskonomy,layer4.2.relu,221.0,0.9692062121227013,17.45841131757403
ResNet50,Scene Classification,Supervised,Taskonomy,layer1.0.relu,22.0,1.0179741927447798,3.8106659701258585
ResNet50,Scene Classification,Supervised,Taskonomy,layer1.1.relu,25.0,1.0059231243176392,4.156019957255325
ResNet50,Scene Classification,Supervised,Taskonomy,layer1.2.relu,40.0,0.9523308973246815,5.1722100733576735
ResNet50,Scene Classification,Supervised,Taskonomy,layer2.0.relu,61.0,0.91146088065601,5.756772646937224
ResNet50,Scene Classification,Supervised,Taskonomy,layer2.1.relu,72.0,0.9036201976575351,6.247501107975091
ResNet50,Scene Classification,Supervised,Taskonomy,layer2.2.relu,76.0,0.9048571550482714,6.6742565427859
ResNet50,Scene Classification,Supervised,Taskonomy,layer2.3.relu,114.0,0.871505670108199,10.108446821672318
ResNet50,Scene Classification,Supervised,Taskonomy,layer3.0.relu,142.0,0.9089099817312908,12.367686325939172
ResNet50,Scene Classification,Supervised,Taskonomy,layer3.1.relu,173.0,0.8864486313860461,14.250916678161012
ResNet50,Scene Classification,Supervised,Taskonomy,layer3.2.relu,207.0,0.8657721821943777,16.439970819431906
ResNet50,Scene Classification,Supervised,Taskonomy,layer3.3.relu,231.0,0.8508065354282605,18.2051091912944
ResNet50,Scene Classification,Supervised,Taskonomy,layer3.4.relu,252.0,0.8381013286008128,20.133381787874736
ResNet50,Scene Classification,Supervised,Taskonomy,layer3.5.relu,272.0,0.8257253193960445,22.351016716928907
ResNet50,Scene Classification,Supervised,Taskonomy,layer4.0.relu,277.0,0.9614395412971519,27.064533592978684
ResNet50,Scene Classification,Supervised,Taskonomy,layer4.1.relu,234.0,0.9997949062614616,24.36320723696979
ResNet50,Scene Classification,Supervised,Taskonomy,layer4.2.relu,160.0,1.0244994945860335,13.785879335931016
ResNet50,Inpainting,Self-Supervised,Taskonomy,layer1.0.relu,16.0,1.0618744333099288,3.4539863203492054
ResNet50,Inpainting,Self-Supervised,Taskonomy,layer1.1.relu,15.0,1.0766181532616665,3.5249787429839032
ResNet50,Inpainting,Self-Supervised,Taskonomy,layer1.2.relu,11.0,1.1334778796920952,3.5009686986702446
ResNet50,Inpainting,Self-Supervised,Taskonomy,layer2.0.relu,2.0,1.2283805292961352,2.1732893165482565
ResNet50,Inpainting,Self-Supervised,Taskonomy,layer2.1.relu,2.0,1.3884176832550015,1.6781095866818545
ResNet50,Inpainting,Self-Supervised,Taskonomy,layer2.2.relu,2.0,1.4547569524535902,1.851006523835095
ResNet50,Inpainting,Self-Supervised,Taskonomy,layer2.3.relu,2.0,1.3675696043375782,2.19508063410483
