accuracy (top 1),accuracy (top 5),MRR,log likelihood,n_train,i_repeat,layer,architecture,task,kind,source
0.0448,0.2028,0.14465777409329197,-3.969200673463041,5,1,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0536,0.2508,0.16829552396980307,-3.843127032847636,20,1,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0632,0.2796,0.18250436830232164,-3.7101618726074492,50,1,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.036,0.1556,0.12191269536052969,-4.512622963840119,1,2,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.054,0.1992,0.15230032025813095,-4.041190611335015,5,2,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0568,0.2512,0.16893758581515858,-3.8733882073254264,20,2,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0644,0.2764,0.1850972296539909,-3.7240094547776463,50,2,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0332,0.1388,0.11484044791476188,-4.574227253062502,1,3,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0552,0.2148,0.1552284600062385,-3.982948079964319,5,3,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0512,0.2436,0.16501261362534445,-3.850646893038809,20,3,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0608,0.2748,0.1818987849572208,-3.7854451267377276,50,3,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0324,0.1404,0.11472517915868018,-4.6773319290339606,1,4,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0536,0.1976,0.15132934325634315,-3.992409120788191,5,4,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.058,0.2512,0.17025599640612235,-3.839292051699505,20,4,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0548,0.274,0.18058529044254842,-3.7522207721334575,50,4,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0372,0.1444,0.11843586117195434,-4.634736128733899,1,5,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0484,0.212,0.15154789796124798,-3.9360963328571996,5,5,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0576,0.2452,0.16779627425634772,-3.863886234766038,20,5,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0592,0.2652,0.1787421250128668,-3.749213360982185,50,5,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0344,0.146,0.11816678703679324,-4.620717807421506,1,6,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0448,0.1916,0.1409313324123504,-4.047059019900288,5,6,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.058,0.2276,0.1635604262482072,-3.8715029829133942,20,6,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0568,0.2824,0.17959981328599692,-3.722042758569887,50,6,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0356,0.1468,0.11771725286237252,-4.601903170782593,1,7,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0516,0.2076,0.15093945297704528,-4.007342847821038,5,7,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0588,0.2492,0.1718773807861169,-3.8737368821503,20,7,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0664,0.2896,0.18909364775610596,-3.7152454595650823,50,7,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0356,0.1484,0.11886503600490196,-4.621928583933963,1,8,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.054,0.184,0.14466186908763437,-4.057826033889324,5,8,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0496,0.2368,0.16051376460701247,-3.9282140277569053,20,8,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.06,0.2604,0.17724705594398227,-3.7794547690622697,50,8,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0296,0.1396,0.11056149438036901,-4.604469577681548,1,9,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0492,0.1876,0.1405329317640143,-4.037264064756707,5,9,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0552,0.236,0.1660974176986576,-3.899907145494575,20,9,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0584,0.2728,0.18122520129713024,-3.749577958670462,50,9,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0384,0.1432,0.11761365065666123,-4.636758493361982,1,0,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.048,0.1884,0.1426811053846268,-4.131491595655813,5,0,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0508,0.2308,0.15924557259145308,-4.092274044152605,20,0,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.058,0.2556,0.17410345465038465,-4.012976977273761,50,0,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0336,0.1452,0.11669263900927002,-4.669355823462713,1,1,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0396,0.1884,0.13754273721387325,-4.077393431865095,5,1,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0464,0.2452,0.1620592022920683,-4.047148103189322,20,1,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0564,0.2556,0.1750900213486162,-3.902325799095539,50,1,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.04,0.154,0.12214250066066729,-4.584691388812374,1,2,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0408,0.1944,0.1401506103777791,-4.114918875176779,5,2,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0472,0.2232,0.15421978828745797,-4.218475803248371,20,2,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0536,0.2532,0.17097686585556765,-3.954072024678978,50,2,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.036,0.1492,0.11789315538853695,-4.465757308906718,1,3,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0648,0.222,0.1636627124389727,-4.006920259881938,5,3,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0524,0.2384,0.16195410440453806,-4.093709699155143,20,3,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0596,0.2596,0.177437905928043,-3.981866601334578,50,3,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0276,0.1396,0.10969372871721125,-4.793740355396214,1,4,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0504,0.1912,0.14192915035373582,-4.120397970950952,5,4,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0492,0.232,0.1596358565154747,-4.101468763791524,20,4,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0564,0.2704,0.1770962795596081,-3.885527297551482,50,4,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0324,0.1468,0.11510712245953197,-4.699521383157275,1,5,layer2.0.relu,ResNet18,None,Untrained,PyTorch
