between-concept dimensionality,between-concept radius,bias (mean),bias (std),layer,other signal-noise-overlap (mean),other signal-noise-overlap (std),self signal-noise-overlap (mean),self signal-noise-overlap (std),signal (mean),signal (std),signal-noise-ratio (mean),signal-noise-ratio (std),within-concept dimensionality (mean),within-concept dimensionality (std),within-concept radius (mean),within-concept radius (std),architecture,task,kind,source
2.1155877062637765,0.1272323578596115,0.011437931098043919,0.15412966907024384,layer1.0.relu,14.536091804504395,11.491841316223145,14.560709953308105,11.591552734375,3.831730842590332,2.338778495788574,0.5643430210140634,0.3150364960221295,2.5707852186063676,0.7732652430743554,0.3340580463409424,0.03390990197658539,ResNet18,None,Untrained,PyTorch
1.932054399858332,0.18305790424346924,0.011967401951551437,0.15757609903812408,layer1.1.relu,14.24836254119873,11.587556838989258,14.202520370483398,11.40124225616455,3.5056891441345215,2.209822416305542,0.48506976536889757,0.2704771984437336,2.348567000924402,0.7348437943892168,0.5217301249504089,0.05479804798960686,ResNet18,None,Untrained,PyTorch
1.923010695545284,0.23020100593566895,0.007874630391597748,0.12680964171886444,layer2.0.relu,12.955971717834473,10.017541885375977,12.923985481262207,9.963265419006348,3.3116424083709717,1.9138410091400146,0.4765757636855825,0.23341767944529587,2.613716775229987,0.721284162164347,0.6943920254707336,0.06089083105325699,ResNet18,None,Untrained,PyTorch
1.9166979625914073,0.30158230662345886,0.0077943201176822186,0.12607845664024353,layer2.1.relu,12.668135643005371,9.816821098327637,12.6132230758667,9.661842346191406,3.203526735305786,1.826817274093628,0.45911576035523904,0.22440730142418897,2.6369946091570133,0.7419111309202087,0.941864013671875,0.08312845975160599,ResNet18,None,Untrained,PyTorch
1.9192339924906816,0.3553779721260071,0.006436225026845932,0.1143736019730568,layer3.0.relu,10.66778564453125,7.961271286010742,10.616654396057129,7.828370571136475,2.7799875736236572,1.4916406869888306,0.4109533197567309,0.19336976552766336,2.9745758382599,0.747205051848409,1.2840362787246704,0.10299352556467056,ResNet18,None,Untrained,PyTorch
1.8052603024403924,0.4576658308506012,0.006604601629078388,0.11585864424705505,layer3.1.relu,10.234077453613281,7.82878303527832,10.172406196594238,7.614721298217773,2.575606107711792,1.4032789468765259,0.372499894907213,0.17196878627371806,2.8552807762561603,0.6746273060085142,1.7864904403686523,0.1453181654214859,ResNet18,None,Untrained,PyTorch
1.7856382876391905,0.5734841227531433,0.005374094936996698,0.10430501401424408,layer4.0.relu,8.889494895935059,6.942952632904053,8.848167419433594,6.792889595031738,2.234799861907959,1.187999963760376,0.3315328390122623,0.1456947158621942,2.9775930392564103,0.6697713175676842,2.597867488861084,0.1908956915140152,ResNet18,None,Untrained,PyTorch
1.6527913033030808,0.7999264597892761,0.005562369711697102,0.10611968487501144,layer4.1.relu,9.26115894317627,7.407995223999023,9.231263160705566,7.307394504547119,2.1400787830352783,1.1864207983016968,0.2981858460904538,0.14532314377555375,2.3941867499553426,0.42020056649569376,3.7549633979797363,0.2824075222015381,ResNet18,None,Untrained,PyTorch
2.049764850483837,0.11726577579975128,0.013817121274769306,0.17023853957653046,layer1.0.relu,13.692646026611328,11.227485656738281,13.659825325012207,11.079078674316406,3.6509010791778564,2.260572910308838,0.5554895216972825,0.3126376255314909,2.6687863708336064,0.9354803251845779,0.3240640461444855,0.03571270406246185,ResNet50,None,Untrained,PyTorch
1.9817787033744536,0.1470782607793808,0.013456927612423897,0.1684189736843109,layer1.1.relu,13.350434303283691,11.273016929626465,13.270953178405762,10.888229370117188,3.4009101390838623,2.1632683277130127,0.5013111333159715,0.29804811570329853,2.4393166128826986,0.8934019411591981,0.4346448481082916,0.04697656258940697,ResNet50,None,Untrained,PyTorch
1.7139164666171136,0.1900140643119812,0.013773027807474136,0.16991539299488068,layer1.2.relu,13.655863761901855,11.866294860839844,13.54893970489502,11.423415184020996,3.232605218887329,2.162466287612915,0.4441551501522363,0.26566809402541597,2.3535139351966556,0.8902400279663067,0.5817084312438965,0.06461648643016815,ResNet50,None,Untrained,PyTorch
1.6498794860610095,0.20741215348243713,0.011739927344024181,0.15638169646263123,layer2.0.relu,12.170729637145996,10.840728759765625,12.06389331817627,10.388543128967285,2.8897950649261475,1.9537211656570435,0.40743880925931886,0.24795689831495293,2.503026294248607,1.0432544481573955,0.7047433853149414,0.0727461501955986,ResNet50,None,Untrained,PyTorch
1.499958845145501,0.26886478066444397,0.01093912310898304,0.15038783848285675,layer2.1.relu,12.299798965454102,11.479327201843262,12.196976661682129,11.01169490814209,2.694310188293457,1.9430919885635376,0.3497649073975199,0.21751878323628823,2.062439116256189,0.6213115037908441,0.9636656641960144,0.09706080704927444,ResNet50,None,Untrained,PyTorch
1.4132607364468783,0.35260456800460815,0.01030931156128645,0.1456623077392578,layer2.2.relu,12.067587852478027,11.497536659240723,11.980664253234863,11.106114387512207,2.516474723815918,1.8798861503601074,0.31284525245519856,0.19858223708427775,1.857445929377918,0.4313049320578606,1.336510419845581,0.13203543424606323,ResNet50,None,Untrained,PyTorch
1.2821443549364269,0.5174561738967896,0.010650037787854671,0.14798535406589508,layer2.3.relu,12.777620315551758,12.623051643371582,12.708854675292969,12.312846183776855,2.4241554737091064,1.9605289697647095,0.26897421611411904,0.1819189792512291,1.5604882055572538,0.238677409488998,1.9874452352523804,0.20047594606876373,ResNet50,None,Untrained,PyTorch
