layer,score,model,benchmark,effective_dimensionality_dataset,effective_dimensionality_imagenet,model_type,region
conv1,0.18041578082477439,base=alexnet (untrained)-type=supervised-1000components,bonner.Object2Vec.RSA,12.517086507383818,14.84222331904795,supervised,reliable
conv3,0.1878608341421338,base=alexnet (untrained)-type=supervised-1000components,bonner.Object2Vec.RSA,6.662043566717231,10.09265257212421,supervised,reliable
conv5,0.178107492678758,base=alexnet (untrained)-type=supervised-1000components,bonner.Object2Vec.RSA,5.892561252981324,8.233365857645616,supervised,reliable
fc7,0.18366386596980327,base=alexnet (untrained)-type=supervised-1000components,bonner.Object2Vec.RSA,8.578913403257891,11.89220551473817,supervised,reliable
block1,0.1995000675163206,base=resnet50 (untrained)-type=supervised-1000components,bonner.Object2Vec.RSA,7.052530122457591,8.252314307063202,supervised,reliable
block2,0.16193860068312696,base=resnet50 (untrained)-type=supervised-1000components,bonner.Object2Vec.RSA,4.795079277945793,4.299677831350609,supervised,reliable
block3,0.1578485091545078,base=resnet50 (untrained)-type=supervised-1000components,bonner.Object2Vec.RSA,2.549093766485306,2.3045946620221507,supervised,reliable
block4,0.14957031964766068,base=resnet50 (untrained)-type=supervised-1000components,bonner.Object2Vec.RSA,1.9605802800478407,1.9151193044196406,supervised,reliable
block1,0.2184966733116077,base=resnet18 (untrained)-type=supervised-1000components,bonner.Object2Vec.RSA,7.4972829290134415,8.667985483061925,supervised,reliable
block2,0.19340266160262332,base=resnet18 (untrained)-type=supervised-1000components,bonner.Object2Vec.RSA,5.948969182239369,6.034078865576757,supervised,reliable
block3,0.1636009200417762,base=resnet18 (untrained)-type=supervised-1000components,bonner.Object2Vec.RSA,5.418235165576911,4.014160126918305,supervised,reliable
block4,0.14370598546003324,base=resnet18 (untrained)-type=supervised-1000components,bonner.Object2Vec.RSA,4.345521992708137,3.693635748180003,supervised,reliable
block1,0.2956537555414832,base=resnet50 simclr-type=unsupervised-zscore-1000components,bonner.Object2Vec.RSA,9.444567584102641,59.488059369553305,unsupervised,reliable
block2,0.3071127385273387,base=resnet50 simclr-type=unsupervised-zscore-1000components,bonner.Object2Vec.RSA,14.12919629832828,143.96704249087503,unsupervised,reliable
block3,0.3483693934485683,base=resnet50 simclr-type=unsupervised-zscore-1000components,bonner.Object2Vec.RSA,34.82079696840489,110.57875524211012,unsupervised,reliable
block4,0.2956028547487295,base=resnet50 simclr-type=unsupervised-zscore-1000components,bonner.Object2Vec.RSA,31.037020651884692,207.73351692841365,unsupervised,reliable
block1,0.28284653189461423,base=resnet50 barlowtwins-type=unsupervised-zscore-1000components,bonner.Object2Vec.RSA,9.02321314659274,43.612514662310126,unsupervised,reliable
block2,0.3177066654144579,base=resnet50 barlowtwins-type=unsupervised-zscore-1000components,bonner.Object2Vec.RSA,15.682259471818881,112.93197779882912,unsupervised,reliable
block3,0.3385704319414162,base=resnet50 barlowtwins-type=unsupervised-zscore-1000components,bonner.Object2Vec.RSA,38.369155337391696,117.51407091538088,unsupervised,reliable
block4,0.3321703100694564,base=resnet50 barlowtwins-type=unsupervised-zscore-1000components,bonner.Object2Vec.RSA,46.12970039011117,390.76025581351183,unsupervised,reliable
block1,0.30038167131430793,base=resnet50 simclr-type=unsupervised-1000components,bonner.Object2Vec.RSA,11.14176112403355,37.35552304646143,unsupervised,reliable
block2,0.302282543899377,base=resnet50 simclr-type=unsupervised-1000components,bonner.Object2Vec.RSA,12.55209896739505,73.03678414296142,unsupervised,reliable
block3,0.3348614294952025,base=resnet50 simclr-type=unsupervised-1000components,bonner.Object2Vec.RSA,32.41703370650006,101.75702049250971,unsupervised,reliable
block4,0.3084875314680864,base=resnet50 simclr-type=unsupervised-1000components,bonner.Object2Vec.RSA,33.94944319713839,208.22446397460564,unsupervised,reliable
block1,0.2881088543481511,base=resnet50 barlowtwins-type=unsupervised-1000components,bonner.Object2Vec.RSA,9.592999335399416,29.788398572325004,unsupervised,reliable
block2,0.30875417577408437,base=resnet50 barlowtwins-type=unsupervised-1000components,bonner.Object2Vec.RSA,14.372754078360849,75.82112114569289,unsupervised,reliable
block3,0.33051021864530555,base=resnet50 barlowtwins-type=unsupervised-1000components,bonner.Object2Vec.RSA,35.15478867764124,111.00545268232116,unsupervised,reliable
block4,0.3450702408059991,base=resnet50 barlowtwins-type=unsupervised-1000components,bonner.Object2Vec.RSA,62.823415096329796,356.9351244451548,unsupervised,reliable
