layer,score,score_error,model,benchmark,effective_dimensionality_dataset,effective_dimensionality_imagenet,model_type,region,EBA,EVC,FFA,LOC,OFA,OPA,PFS,PPA,RSC,STS
block2,0.3265354552618173,0.0039419073831817,base=resnet18 (untrained)-type=supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",5.948969182239369,6.034078865576757,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.3192644967735178,0.37278363222454924,0.34595187840778985,0.4593119894472113,0.4134829480700145,0.387213524363396,0.24866272490090485,0.26065337635006647,0.19026764005226227,0.17355944019175418
block3,0.2713435095275523,0.0040081777454369,base=resnet18 (untrained)-type=supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",5.418235165576911,4.014160126918305,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.3066585317759176,0.3208271514285139,0.29887132683302375,0.38929491658955134,0.33990056498677945,0.31047336765731326,0.1791784564231396,0.21057326181045363,0.11794846659756499,0.19126348825248565
block4,0.2449359101012152,0.0043737647045235,base=resnet18 (untrained)-type=supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",4.345521992708137,3.693635748180003,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.30030617112726865,0.28441240218838126,0.26174155968319257,0.3854212822232347,0.32941451754541,0.24926807024560205,0.15289789577948198,0.17626315775652027,0.10258523732034402,0.14695508436328775
block1,0.3911982481987726,0.0045149912780342,base=resnet50 simclr-type=unsupervised-zscore-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",9.44456758410264,59.488059369553305,unsupervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.35360982965546844,0.41872721363397325,0.3484091014595631,0.5148044885090252,0.49453861763830353,0.4464939609772009,0.34216802477586894,0.4244643014862802,0.21792146610358495,0.2869940797023469
block2,0.4314441532644708,0.0047431700896259,base=resnet50 simclr-type=unsupervised-zscore-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",14.12919629832828,143.96704249087503,unsupervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.368479076540153,0.4433144803382637,0.3814630196941937,0.555276598517081,0.5475529141282861,0.5099502621953146,0.38626355300021414,0.5244715675905276,0.23473566461556672,0.25242252336617316
block3,0.4897102991638911,0.004824539867313,base=resnet50 simclr-type=unsupervised-zscore-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",34.82079696840489,110.57875524211012,unsupervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.4423936673242284,0.4361993076673889,0.44587768431939706,0.6530796288298311,0.6050606402551103,0.579385744147843,0.4565204487132445,0.5605925290241103,0.3182114171250101,0.25449511130279484
block4,0.4658687532030008,0.0042173345303293,base=resnet50 simclr-type=unsupervised-zscore-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",31.03702065188469,207.73351692841365,unsupervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.43280316985299383,0.4707515639819847,0.3848024828797527,0.5739803287245098,0.5490791508212916,0.5992455626849027,0.3986088473116588,0.5420309444114422,0.29437227910252617,0.3281630974264834
block1,0.3974216179306241,0.0043654578324235,base=resnet50 simclr-type=unsupervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",11.14176112403355,37.35552304646143,unsupervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.3600559228148318,0.4273835904615308,0.3793464067289931,0.5241433444078634,0.4984286347661507,0.43630759040858036,0.357034081871904,0.4156065601010749,0.23411181426037414,0.252641397650808
block2,0.4311830318326298,0.0046780739696211,base=resnet50 simclr-type=unsupervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",12.55209896739505,73.03678414296142,unsupervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.37842752371931176,0.45229306911847134,0.3885099560484821,0.5526471873507869,0.5511954013157101,0.500308761301266,0.37714441746200217,0.5155212720933128,0.23923358114327734,0.23580467744500586
block3,0.4791366130088401,0.0048456872217291,base=resnet50 simclr-type=unsupervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",32.41703370650006,101.75702049250972,unsupervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.4223885587717043,0.43045154106871364,0.43968975886925127,0.6430743887896524,0.5952633587055352,0.5791265589689654,0.4452586098209722,0.5447753383077885,0.30543347282619454,0.2350104980550113
block4,0.4311706490322361,0.0043215780754691,base=resnet50 simclr-type=unsupervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",33.94944319713839,208.22446397460564,unsupervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.3909427757351921,0.41829509082591343,0.36866225761179805,0.5677450481226178,0.5323275578777014,0.5354515417629119,0.36856981461616534,0.5044260607138976,0.25101922567765084,0.2836207625449878
