layer,score,score_error,model,benchmark,effective_dimensionality_dataset,effective_dimensionality_imagenet,region
encode_8,0.44936883195720567,0.004507402859089457,resnet18-la-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",1.9935412667817416,16.04707199557393,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
encode_9,0.4051950790458553,0.004319216184116117,resnet18-la-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",44.98646120923697,290.50594356437296,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
encode_1,0.3079349873088844,0.003651914353690176,resnet18-ir-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",16.089952809945707,73.82007516352552,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
encode_1.conv,0.2914795765871844,0.003984323928598742,resnet18-ir-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",11.885134713252077,103.61080027603973,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
encode_2,0.34117294374641416,0.003993508938821718,resnet18-ir-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",24.95939721844915,268.551229517882,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
encode_3,0.37429485977801324,0.0041131430851342856,resnet18-ir-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",31.83868299669502,596.3459503478392,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
encode_4,0.38933858116619924,0.004677191501818138,resnet18-ir-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",29.716816596001664,404.5137761286565,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
encode_5,0.39825708573162455,0.004685659083975256,resnet18-ir-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",29.844939950626376,558.6391546108658,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
encode_6,0.41497054655455234,0.004686979853142892,resnet18-ir-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",22.23990340789626,255.18624267231905,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
encode_7,0.4168677767363644,0.004584631991797495,resnet18-ir-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",7.508290678780839,139.03298585860742,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
