num_pcs,scores,ambient_dim,layer,architecture,task,kind,source
45,0.13854869485826185,256,layer3.1.relu,ResNet18,None,Untrained,PyTorch
66,0.14311511167242716,256,layer3.1.relu,ResNet18,None,Untrained,PyTorch
97,0.1505235449481078,256,layer3.1.relu,ResNet18,None,Untrained,PyTorch
142,0.14684800242493276,256,layer3.1.relu,ResNet18,None,Untrained,PyTorch
207,0.14640184864539843,256,layer3.1.relu,ResNet18,None,Untrained,PyTorch
1,0.010185288280444613,512,layer4.0.relu,ResNet18,None,Untrained,PyTorch
2,0.024948796903514953,512,layer4.0.relu,ResNet18,None,Untrained,PyTorch
3,0.03864245551659187,512,layer4.0.relu,ResNet18,None,Untrained,PyTorch
4,0.05662913653693247,512,layer4.0.relu,ResNet18,None,Untrained,PyTorch
6,0.06504604898918533,512,layer4.0.relu,ResNet18,None,Untrained,PyTorch
9,0.08695375981889995,512,layer4.0.relu,ResNet18,None,Untrained,PyTorch
14,0.10517446529874379,512,layer4.0.relu,ResNet18,None,Untrained,PyTorch
21,0.12293819587829025,512,layer4.0.relu,ResNet18,None,Untrained,PyTorch
30,0.1403050113112219,512,layer4.0.relu,ResNet18,None,Untrained,PyTorch
45,0.14943464907975323,512,layer4.0.relu,ResNet18,None,Untrained,PyTorch
66,0.15628746947603753,512,layer4.0.relu,ResNet18,None,Untrained,PyTorch
97,0.15991868088834466,512,layer4.0.relu,ResNet18,None,Untrained,PyTorch
142,0.1566123180522907,512,layer4.0.relu,ResNet18,None,Untrained,PyTorch
207,0.14967845960439696,512,layer4.0.relu,ResNet18,None,Untrained,PyTorch
304,0.14303421316436185,512,layer4.0.relu,ResNet18,None,Untrained,PyTorch
445,0.12962215271632363,512,layer4.0.relu,ResNet18,None,Untrained,PyTorch
1,0.008791814000262382,512,layer4.1.relu,ResNet18,None,Untrained,PyTorch
2,0.024846793630401313,512,layer4.1.relu,ResNet18,None,Untrained,PyTorch
3,0.044882399566754626,512,layer4.1.relu,ResNet18,None,Untrained,PyTorch
4,0.05006599406733346,512,layer4.1.relu,ResNet18,None,Untrained,PyTorch
6,0.06962417538870704,512,layer4.1.relu,ResNet18,None,Untrained,PyTorch
9,0.08834171918311817,512,layer4.1.relu,ResNet18,None,Untrained,PyTorch
14,0.10574762889460645,512,layer4.1.relu,ResNet18,None,Untrained,PyTorch
21,0.11757782714489892,512,layer4.1.relu,ResNet18,None,Untrained,PyTorch
30,0.13521265818562256,512,layer4.1.relu,ResNet18,None,Untrained,PyTorch
45,0.14760668416751616,512,layer4.1.relu,ResNet18,None,Untrained,PyTorch
66,0.15591809171471752,512,layer4.1.relu,ResNet18,None,Untrained,PyTorch
97,0.15935523891299772,512,layer4.1.relu,ResNet18,None,Untrained,PyTorch
142,0.16014374494462208,512,layer4.1.relu,ResNet18,None,Untrained,PyTorch
207,0.15465041089750678,512,layer4.1.relu,ResNet18,None,Untrained,PyTorch
304,0.1480938931811565,512,layer4.1.relu,ResNet18,None,Untrained,PyTorch
445,0.14335591137214995,512,layer4.1.relu,ResNet18,None,Untrained,PyTorch
1,0.010930745324300942,256,layer1.0.relu,ResNet50,None,Untrained,PyTorch
2,0.029406311950121618,256,layer1.0.relu,ResNet50,None,Untrained,PyTorch
3,0.0321616183992965,256,layer1.0.relu,ResNet50,None,Untrained,PyTorch
4,0.035920775198432855,256,layer1.0.relu,ResNet50,None,Untrained,PyTorch
6,0.06001415571309945,256,layer1.0.relu,ResNet50,None,Untrained,PyTorch
9,0.07341263570697416,256,layer1.0.relu,ResNet50,None,Untrained,PyTorch
14,0.09211119890592125,256,layer1.0.relu,ResNet50,None,Untrained,PyTorch
21,0.11014696443595927,256,layer1.0.relu,ResNet50,None,Untrained,PyTorch
30,0.11845922655233977,256,layer1.0.relu,ResNet50,None,Untrained,PyTorch
