ID,inter-ID,intra-ID,intra-ID (std),layer,architecture,task,kind,source
14.552340752099012,7.033157711803949,12.514446230545781,2.6602181559926543,layer1.0.relu,ResNet18,None,Untrained,PyTorch
15.644757381141636,7.473559735128276,12.317224200428583,2.632584160077815,layer1.1.relu,ResNet18,None,Untrained,PyTorch
14.584521956416156,9.518228115968531,14.917963359821721,3.770441273313129,layer2.0.relu,ResNet18,None,Untrained,PyTorch
14.689545566659504,8.052521572220272,13.744501904608404,3.349296516475307,layer2.1.relu,ResNet18,None,Untrained,PyTorch
12.793725348461352,7.526166175142942,15.853015817701092,4.199877389809784,layer3.0.relu,ResNet18,None,Untrained,PyTorch
12.602755139279143,10.048123490399442,14.934010028499701,3.921443980955766,layer3.1.relu,ResNet18,None,Untrained,PyTorch
10.639746304499425,8.710851773016342,17.62110938949396,5.414979288167537,layer4.0.relu,ResNet18,None,Untrained,PyTorch
11.045981113612832,7.909471105986196,16.769650920374662,5.103737371675867,layer4.1.relu,ResNet18,None,Untrained,PyTorch
18.07694457624628,6.291188082913508,13.435792424331714,3.452125552752858,layer1.0.relu,ResNet50,None,Untrained,PyTorch
17.19189820546945,6.272036430481551,14.445460165620782,3.6370178174384993,layer1.1.relu,ResNet50,None,Untrained,PyTorch
16.85189026056669,6.510679095474156,13.432018456866071,3.001260996290441,layer1.2.relu,ResNet50,None,Untrained,PyTorch
17.052564991569135,6.2055067624633455,15.40102580188006,3.9460223197072537,layer2.0.relu,ResNet50,None,Untrained,PyTorch
16.196677965106247,6.565887180824886,14.908953351870718,3.3913396691489304,layer2.1.relu,ResNet50,None,Untrained,PyTorch
15.174618988218908,5.907068195871308,14.240287503778088,3.1182456563648304,layer2.2.relu,ResNet50,None,Untrained,PyTorch
14.968895669169932,6.6138117397619025,13.034807226030818,2.9301279540071716,layer2.3.relu,ResNet50,None,Untrained,PyTorch
13.648682827839503,7.55600887918898,15.11274964822588,4.258078978593935,layer3.0.relu,ResNet50,None,Untrained,PyTorch
12.870308668446462,7.779190542545699,12.285178715975505,3.101517099724497,layer3.1.relu,ResNet50,None,Untrained,PyTorch
12.868164961431694,6.84976438764343,11.615363004972117,3.110210715056558,layer3.2.relu,ResNet50,None,Untrained,PyTorch
12.209037672587437,6.37873023701877,11.29101476260095,3.007539517726768,layer3.3.relu,ResNet50,None,Untrained,PyTorch
12.20824867659866,6.4377896497933715,10.618742925904893,2.816247868396091,layer3.4.relu,ResNet50,None,Untrained,PyTorch
12.121496033828272,6.191004071166353,10.188519943580454,2.709431402141427,layer3.5.relu,ResNet50,None,Untrained,PyTorch
12.040978934721814,7.07202446833336,12.262192864768599,3.4284504863451195,layer4.0.relu,ResNet50,None,Untrained,PyTorch
11.650737644654088,5.430049846474255,11.375675580803689,3.0850957952102878,layer4.1.relu,ResNet50,None,Untrained,PyTorch
11.861226919867903,5.282583963900123,11.14870059452253,3.152218200728307,layer4.2.relu,ResNet50,None,Untrained,PyTorch
16.73959636978255,7.862268229888206,14.076529862551153,3.5801507899754137,layer1.0.relu,ResNet18,Object Classification,Supervised,PyTorch
20.938616725921083,7.42190722678465,15.89577508097482,3.6292877076948913,layer1.1.relu,ResNet18,Object Classification,Supervised,PyTorch
19.484933182021063,9.361202429439269,22.744721898614447,5.841528154994629,layer2.0.relu,ResNet18,Object Classification,Supervised,PyTorch
18.28596337695477,8.47498958204976,23.091330395847102,5.9207515044010774,layer2.1.relu,ResNet18,Object Classification,Supervised,PyTorch
16.771532923899382,9.169389448389724,22.466821461831927,6.741297751738024,layer3.0.relu,ResNet18,Object Classification,Supervised,PyTorch
18.568393198130746,8.07892639094574,23.60533531470385,7.460808927302486,layer3.1.relu,ResNet18,Object Classification,Supervised,PyTorch
18.52514170993065,7.879819201317227,26.65552108511603,9.724831221116936,layer4.0.relu,ResNet18,Object Classification,Supervised,PyTorch
15.934130425828313,7.325826420419865,22.414916811164485,7.754485308540813,layer4.1.relu,ResNet18,Object Classification,Supervised,PyTorch
17.813348674846047,7.439572600032627,15.263449461551932,3.8595078818624304,layer1.0.relu,ResNet50,Object Classification,Supervised,PyTorch
19.874384194181907,6.851354413557125,16.655184851250866,4.295839633166637,layer1.1.relu,ResNet50,Object Classification,Supervised,PyTorch
21.787530059368418,7.771053827433436,19.17466890261243,4.444522679069881,layer1.2.relu,ResNet50,Object Classification,Supervised,PyTorch
22.484470117201887,8.288479794896695,23.639005852031925,6.714006889626572,layer2.0.relu,ResNet50,Object Classification,Supervised,PyTorch
22.595732640864366,8.105905784642692,25.638785178935933,7.766045070680933,layer2.1.relu,ResNet50,Object Classification,Supervised,PyTorch
25.56917792905698,9.008672112531618,28.202201877520828,8.835543389968771,layer2.2.relu,ResNet50,Object Classification,Supervised,PyTorch
24.00851390574904,9.670886506129301,28.74067040204857,8.698742880477027,layer2.3.relu,ResNet50,Object Classification,Supervised,PyTorch
22.287271215412005,10.206070277356243,27.94781714973072,9.13291928192365,layer3.0.relu,ResNet50,Object Classification,Supervised,PyTorch
22.309867698110466,10.20680439604705,28.856141833060587,9.91018617783731,layer3.1.relu,ResNet50,Object Classification,Supervised,PyTorch
21.684227503145923,9.67093627719983,30.320177798404888,10.578794503053482,layer3.2.relu,ResNet50,Object Classification,Supervised,PyTorch
22.426808399742214,8.882205897391863,28.909718010721164,9.38938220328967,layer3.3.relu,ResNet50,Object Classification,Supervised,PyTorch
22.572184229581257,8.513386225189224,29.2470264774315,9.907480796527674,layer3.4.relu,ResNet50,Object Classification,Supervised,PyTorch
