layer,score,score_error,model,benchmark,effective_dimensionality_dataset,effective_dimensionality_imagenet,model_type,region
conv1,0.27256556777854546,0.004213355673949357,base=alexnet (untrained)-type=supervised-zscore-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",9.994299464207312,19.233390590155388,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
conv3,0.30424088069221655,0.004218347659379182,base=alexnet (untrained)-type=supervised-zscore-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",6.967043999267492,13.405601550329044,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
conv5,0.2997800845148894,0.004212453619726558,base=alexnet (untrained)-type=supervised-zscore-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",8.746446265047895,15.875671830021266,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
fc7,0.270436452157991,0.004342230550709637,base=alexnet (untrained)-type=supervised-zscore-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",11.659498524298177,17.32570485951217,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
block1,0.2920600221244195,0.0041866422876112,base=resnet50 (untrained)-type=supervised-zscore-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",7.74487946664832,23.391938779488758,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
block2,0.32625506051426817,0.004216297145973974,base=resnet50 (untrained)-type=supervised-zscore-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",6.563835207299089,33.47223237884626,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
block3,0.3096100788336927,0.004005894597790638,base=resnet50 (untrained)-type=supervised-zscore-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",5.608048544348533,60.919974788027936,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
block4,0.23561060558729569,0.003571241086098709,base=resnet50 (untrained)-type=supervised-zscore-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",5.785929229876039,28.25176587303287,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
block1,0.31690769151068887,0.004064204412287989,base=resnet18 (untrained)-type=supervised-zscore-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",9.763388423139462,19.991783314731073,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
block2,0.35698388674198317,0.004064855815270471,base=resnet18 (untrained)-type=supervised-zscore-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",9.64686908012742,20.608048724224247,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
block3,0.3634128984777556,0.004224589778407935,base=resnet18 (untrained)-type=supervised-zscore-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",12.465565720068852,25.76083100564198,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
block4,0.3315605653286492,0.004224713367600992,base=resnet18 (untrained)-type=supervised-zscore-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",16.92959812664385,51.386119419465906,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
conv1,0.335111338581768,0.00400213230959932,base=alexnet-type=supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",16.99570987652469,27.65924179012877,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
conv3,0.41168868421840077,0.004326403316495555,base=alexnet-type=supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",33.67783005934383,139.34613635536041,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
conv5,0.413577585042992,0.00467139156138045,base=alexnet-type=supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",39.82085255456266,110.6779043447512,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
fc7,0.423288859104701,0.004577439709727403,base=alexnet-type=supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",35.101125529826554,227.13645028334082,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
block1,0.3807762381670193,0.004351339269599172,base=resnet50-type=supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",10.610320216360867,29.529389436605022,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
block2,0.42316837983244837,0.004675424275887144,base=resnet50-type=supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",13.80932245783822,55.59662547984754,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
block3,0.4522099001871206,0.00465682388526162,base=resnet50-type=supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",34.794391605130535,114.69687913791196,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
block4,0.4338617603543346,0.004007416107273749,base=resnet50-type=supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",53.067644020972565,182.26800494561527,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
block1,0.37114511491877733,0.004211174461762366,base=resnet18-type=supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",13.287526487094574,23.12907609403569,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
block2,0.42241969444452077,0.004294700830116389,base=resnet18-type=supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",22.553229365599933,56.05575421323803,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
block3,0.42650086338727544,0.004833323723630774,base=resnet18-type=supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",41.50772265366491,67.89410151786119,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
block4,0.4026343735317184,0.004133901348896902,base=resnet18-type=supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",60.67427156811946,163.75875080664545,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
conv1,0.22839467333111993,0.0039058810841503325,base=alexnet (untrained)-type=supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",12.517086507383818,14.84222331904795,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
