ID,inter-ID,intra-ID,intra-ID (std),layer,architecture,task,kind,source
32.679407213098514,15.644095300222771,18.26402966856906,5.226927583199947,layer1.0.relu,ResNet18,None,Untrained,PyTorch
32.68236745778126,14.997018342177274,17.924839267905995,5.035400405958521,layer1.1.relu,ResNet18,None,Untrained,PyTorch
33.39283557880993,15.118876013142161,18.395369442005588,4.719912027745331,layer2.0.relu,ResNet18,None,Untrained,PyTorch
33.20225847452508,12.407070324833041,17.751816825606078,4.107085857575306,layer2.1.relu,ResNet18,None,Untrained,PyTorch
33.93881018062065,14.07990164871061,18.26269778927694,4.269635293614127,layer3.0.relu,ResNet18,None,Untrained,PyTorch
34.015590253103674,13.442975900518627,17.968928208479817,3.8966989928197417,layer3.1.relu,ResNet18,None,Untrained,PyTorch
34.16551169604818,13.045884997856884,18.44661674591834,4.149512620411495,layer4.0.relu,ResNet18,None,Untrained,PyTorch
34.33133214241938,12.149217215103914,18.517520422073854,4.421792694635801,layer4.1.relu,ResNet18,None,Untrained,PyTorch
32.184143768154314,13.457543221630253,17.3071544294447,5.199672353732521,layer1.0.relu,ResNet50,None,Untrained,PyTorch
33.34035557985743,16.908854775657904,18.473690912674556,5.321148514128883,layer1.1.relu,ResNet50,None,Untrained,PyTorch
32.40867909031918,14.59043219181679,18.498278647276383,5.3457955899883425,layer1.2.relu,ResNet50,None,Untrained,PyTorch
33.73494019603601,15.375869445003925,18.098028253893233,4.937283480486148,layer2.0.relu,ResNet50,None,Untrained,PyTorch
34.811914573311796,15.362694645973178,18.58366580760548,5.168517573108819,layer2.1.relu,ResNet50,None,Untrained,PyTorch
34.49123763350516,13.587571623105497,18.311099999035484,4.925094967878894,layer2.2.relu,ResNet50,None,Untrained,PyTorch
32.74318954931074,12.342992321760002,17.247560861022,4.550932040937455,layer2.3.relu,ResNet50,None,Untrained,PyTorch
32.872658528865045,12.452577815961098,16.946534355194952,4.414928294760179,layer3.0.relu,ResNet50,None,Untrained,PyTorch
31.91580934644716,11.86511315518418,16.76112578674683,4.349554494316349,layer3.1.relu,ResNet50,None,Untrained,PyTorch
30.936611548002887,10.54925453103067,15.67269728082706,4.0410147154248,layer3.2.relu,ResNet50,None,Untrained,PyTorch
30.313640216603353,10.216062542068174,15.413422178513711,3.8094978273025575,layer3.3.relu,ResNet50,None,Untrained,PyTorch
29.346139488196993,9.748856063458453,14.567787047154665,3.644399278129699,layer3.4.relu,ResNet50,None,Untrained,PyTorch
27.22870600041848,9.120557626572982,13.706615291768774,3.230581257097847,layer3.5.relu,ResNet50,None,Untrained,PyTorch
27.676309430605492,8.78067037444859,13.848749060165458,3.2612285885138,layer4.0.relu,ResNet50,None,Untrained,PyTorch
26.46657347313582,8.403095779476478,13.045461440837594,3.012666544478057,layer4.1.relu,ResNet50,None,Untrained,PyTorch
26.383121319685404,8.33546340935879,13.083498987528968,2.9947704893550684,layer4.2.relu,ResNet50,None,Untrained,PyTorch
52.199828227864764,19.799015986167312,33.40493872602557,11.101739636582002,layer1.0.relu,ResNet18,Object Classification,Supervised,PyTorch
72.67358789393316,34.85226559826713,48.14205039597041,15.583388454835791,layer1.1.relu,ResNet18,Object Classification,Supervised,PyTorch
76.88660558934933,26.76295822135521,51.537058826475324,15.249392573550882,layer2.0.relu,ResNet18,Object Classification,Supervised,PyTorch
89.73541785586207,38.037009784880695,52.7042484345467,13.642723215744864,layer2.1.relu,ResNet18,Object Classification,Supervised,PyTorch
62.88787868997361,19.14241576541851,41.75305524736281,11.288578963611828,layer3.0.relu,ResNet18,Object Classification,Supervised,PyTorch
60.60309570482955,17.66669886459939,40.76533706308325,9.762332643511282,layer3.1.relu,ResNet18,Object Classification,Supervised,PyTorch
46.85860848760928,14.748871642571295,35.426030072768846,10.55788513571791,layer4.0.relu,ResNet18,Object Classification,Supervised,PyTorch
30.881381539927915,5.545517004119977,25.87168562305999,5.7730046832712505,layer4.1.relu,ResNet18,Object Classification,Supervised,PyTorch
47.51153185095444,18.01327320567821,30.341388213072648,9.225513467642386,layer1.0.relu,ResNet50,Object Classification,Supervised,PyTorch
57.69313035466785,19.92899008991501,36.925097459068944,11.05786272446032,layer1.1.relu,ResNet50,Object Classification,Supervised,PyTorch
67.54813723164682,22.48503812263643,44.112685642134196,12.863482902144048,layer1.2.relu,ResNet50,Object Classification,Supervised,PyTorch
62.50744543867178,14.577805101723527,37.73455854183631,11.12447983243852,layer2.0.relu,ResNet50,Object Classification,Supervised,PyTorch
75.73301328895016,23.95811186660305,47.18613444326181,14.537470583862163,layer2.1.relu,ResNet50,Object Classification,Supervised,PyTorch
86.14138726986042,30.180159255326274,53.351823530787705,15.96409219939197,layer2.2.relu,ResNet50,Object Classification,Supervised,PyTorch
79.58225440363756,34.19545803810035,55.767213554424046,15.532837548551337,layer2.3.relu,ResNet50,Object Classification,Supervised,PyTorch
69.15960731151668,18.441335336228892,48.508733143941754,14.237087220604877,layer3.0.relu,ResNet50,Object Classification,Supervised,PyTorch
72.96022884187731,19.33490977324262,49.60229229037503,12.456481974170876,layer3.1.relu,ResNet50,Object Classification,Supervised,PyTorch
74.39042339228365,20.50997334338475,50.51864333514127,13.949512473494163,layer3.2.relu,ResNet50,Object Classification,Supervised,PyTorch
70.53392878688254,20.17021781429302,49.4345254440589,13.496585117542846,layer3.3.relu,ResNet50,Object Classification,Supervised,PyTorch
65.88370788781667,19.62148806012813,48.26217181573192,12.62705252230388,layer3.4.relu,ResNet50,Object Classification,Supervised,PyTorch
