num_pcs,scores,layer,architecture,task,kind,source
6,0.055316017389449544,layer1.2.relu,ResNet50,None,Untrained,PyTorch
11,0.08804995207121824,layer1.2.relu,ResNet50,None,Untrained,PyTorch
16,0.09696662666428074,layer1.2.relu,ResNet50,None,Untrained,PyTorch
21,0.11011385713866996,layer1.2.relu,ResNet50,None,Untrained,PyTorch
26,0.11903369027403785,layer1.2.relu,ResNet50,None,Untrained,PyTorch
31,0.1203970647946294,layer1.2.relu,ResNet50,None,Untrained,PyTorch
1,0.007877314754087783,layer2.0.relu,ResNet50,None,Untrained,PyTorch
6,0.045560654500844386,layer2.0.relu,ResNet50,None,Untrained,PyTorch
11,0.08301237121987369,layer2.0.relu,ResNet50,None,Untrained,PyTorch
16,0.09347813823568615,layer2.0.relu,ResNet50,None,Untrained,PyTorch
21,0.10287848998582806,layer2.0.relu,ResNet50,None,Untrained,PyTorch
26,0.10620454938153165,layer2.0.relu,ResNet50,None,Untrained,PyTorch
31,0.11669829542700669,layer2.0.relu,ResNet50,None,Untrained,PyTorch
1,0.006890092352825528,layer2.1.relu,ResNet50,None,Untrained,PyTorch
6,0.04975840640166806,layer2.1.relu,ResNet50,None,Untrained,PyTorch
11,0.0680230471301663,layer2.1.relu,ResNet50,None,Untrained,PyTorch
16,0.07674293466983603,layer2.1.relu,ResNet50,None,Untrained,PyTorch
21,0.08760308084243146,layer2.1.relu,ResNet50,None,Untrained,PyTorch
26,0.0941313213196518,layer2.1.relu,ResNet50,None,Untrained,PyTorch
31,0.10169498510113216,layer2.1.relu,ResNet50,None,Untrained,PyTorch
1,0.006709546853292266,layer2.2.relu,ResNet50,None,Untrained,PyTorch
6,0.04595522729852003,layer2.2.relu,ResNet50,None,Untrained,PyTorch
11,0.06870228486897388,layer2.2.relu,ResNet50,None,Untrained,PyTorch
16,0.08098907762314106,layer2.2.relu,ResNet50,None,Untrained,PyTorch
21,0.09011291311210633,layer2.2.relu,ResNet50,None,Untrained,PyTorch
26,0.09794761111783241,layer2.2.relu,ResNet50,None,Untrained,PyTorch
31,0.10858249864195225,layer2.2.relu,ResNet50,None,Untrained,PyTorch
1,0.005807058842604555,layer2.3.relu,ResNet50,None,Untrained,PyTorch
6,0.037614663680916316,layer2.3.relu,ResNet50,None,Untrained,PyTorch
11,0.0579908980333174,layer2.3.relu,ResNet50,None,Untrained,PyTorch
16,0.07002966335670333,layer2.3.relu,ResNet50,None,Untrained,PyTorch
21,0.07896706856818504,layer2.3.relu,ResNet50,None,Untrained,PyTorch
26,0.08766227627738686,layer2.3.relu,ResNet50,None,Untrained,PyTorch
