between-concept dimensionality,between-concept radius,bias (mean),bias (std),layer,other signal-noise-overlap (mean),other signal-noise-overlap (std),self signal-noise-overlap (mean),self signal-noise-overlap (std),signal (mean),signal (std),signal-noise-ratio (mean),signal-noise-ratio (std),within-concept dimensionality (mean),within-concept dimensionality (std),within-concept radius (mean),within-concept radius (std),architecture,task,kind,source
2.0640506676783716,0.15913143754005432,0.007202434819191694,0.12105262279510498,layer1.0.relu,17.254047393798828,12.142443656921387,17.22349739074707,12.083454132080078,4.410478591918945,2.1000306606292725,0.6333731526535993,0.2525858965864083,3.276119601557058,0.6660344739186318,0.3321436941623688,0.02793733961880207,ResNet18,None,Untrained,PyTorch
1.828974785775728,0.2127315253019333,0.00697115994989872,0.11905452609062195,layer1.1.relu,18.126384735107422,12.972058296203613,18.0928897857666,12.900347709655762,4.418779373168945,2.2268974781036377,0.5999463918268396,0.23839642605982417,3.118595858441284,0.607551782335623,0.4388292729854584,0.03647403046488762,ResNet18,None,Untrained,PyTorch
1.639475219996253,0.2968486249446869,0.007799486629664898,0.1259952187538147,layer2.0.relu,19.025739669799805,13.85755729675293,18.97985076904297,13.776237487792969,4.470673561096191,2.3842947483062744,0.5905765379755175,0.2432340435071036,3.1036216594053054,0.6749740166575581,0.5991832613945007,0.05264395847916603,ResNet18,None,Untrained,PyTorch
1.5314169894216318,0.43110227584838867,0.00883327517658472,0.13420216739177704,layer2.1.relu,20.244586944580078,14.829508781433105,20.18946647644043,14.726064682006836,4.591554641723633,2.535187244415283,0.5825818243963706,0.25091857665118245,2.9446825468637736,0.6525915830930181,0.8453418612480164,0.07856409251689911,ResNet18,None,Untrained,PyTorch
1.4735382609105068,0.5516550540924072,0.008937022648751736,0.13497214019298553,layer3.0.relu,20.06645965576172,14.578788757324219,19.99664306640625,14.446870803833008,4.632761478424072,2.5766139030456543,0.5954594787781685,0.2657194066411298,3.380508397258022,0.9386843562420775,1.066697120666504,0.09898918122053146,ResNet18,None,Untrained,PyTorch
1.3166389827904152,0.7857834696769714,0.010308761149644852,0.14514100551605225,layer3.1.relu,22.427223205566406,16.497295379638672,22.341524124145508,16.332971572875977,4.717254638671875,2.7843716144561768,0.5519129327770227,0.2679462440987794,2.7778393190315023,0.774631103670146,1.471401572227478,0.14616259932518005,ResNet18,None,Untrained,PyTorch
1.2557646527338062,1.1352311372756958,0.010794001631438732,0.14857275784015656,layer4.0.relu,22.788127899169922,16.973827362060547,22.688039779663086,16.80428123474121,4.776796817779541,2.892488718032837,0.5551486103838592,0.2741715467217169,2.972136261613488,1.0752712484182045,2.078953504562378,0.20974600315093994,ResNet18,None,Untrained,PyTorch
1.161369820025374,1.7070472240447998,0.013985022902488708,0.16962502896785736,layer4.1.relu,26.494171142578125,20.078582763671875,26.367067337036133,19.847143173217773,5.030341148376465,3.261047601699829,0.5202380242018007,0.28214567863461765,2.3059391765123105,0.7697987404863491,2.926469326019287,0.33262544870376587,ResNet18,None,Untrained,PyTorch
2.613887181317048,0.13252417743206024,0.00960714090615511,0.13990265130996704,layer1.0.relu,15.440217018127441,10.505386352539062,15.359436988830566,10.236223220825195,4.267233848571777,1.8897815942764282,0.6591494346198055,0.27066926833548066,3.4138145733431684,0.6973293756934669,0.29059353470802307,0.027929110452532768,ResNet50,None,Untrained,PyTorch
1.953625239532129,0.17993959784507751,0.009428596124053001,0.1385660171508789,layer1.1.relu,16.635833740234375,12.843427658081055,16.554664611816406,12.56568717956543,4.019988059997559,2.1031718254089355,0.5551378389551122,0.24559333231364386,2.703913242248246,0.5154490631746429,0.40887078642845154,0.039052531123161316,ResNet50,None,Untrained,PyTorch
1.6289747641355585,0.2564096748828888,0.010206583887338638,0.1443362981081009,layer1.2.relu,17.93155288696289,14.874567985534668,17.8532772064209,14.604223251342773,3.881333589553833,2.3187448978424072,0.4820230619730382,0.23854849609575493,2.1646878976955644,0.37974439953550565,0.5883399248123169,0.05850633978843689,ResNet50,None,Untrained,PyTorch
1.495666771046324,0.35403531789779663,0.010382483713328838,0.145662322640419,layer2.0.relu,18.351272583007812,15.45221996307373,18.269107818603516,15.143820762634277,3.794949769973755,2.3761091232299805,0.4531465986560794,0.2364161719663876,2.000675503678639,0.3459882376837449,0.8219117522239685,0.08239325881004333,ResNet50,None,Untrained,PyTorch
1.3269143570017883,0.5294748544692993,0.010179959237575531,0.14433199167251587,layer2.1.relu,19.590551376342773,16.95577049255371,19.524620056152344,16.759675979614258,3.7710742950439453,2.568530797958374,0.41464256766011875,0.2322129196505094,1.8085100370070208,0.26915980467271006,1.2043602466583252,0.11958127468824387,ResNet50,None,Untrained,PyTorch
1.2643706314336054,0.7262584567070007,0.009435792453587055,0.1388527750968933,layer2.2.relu,19.973302841186523,17.446422576904297,19.915552139282227,17.293968200683594,3.7516534328460693,2.6374244689941406,0.39880373210870373,0.22502274446995105,1.7660342736224217,0.2556143358946143,1.6381858587265015,0.15766459703445435,ResNet50,None,Untrained,PyTorch
1.23513047246657,1.0696656703948975,0.009563557803630829,0.1399925798177719,layer2.3.relu,20.55913543701172,18.09419059753418,20.50733184814453,17.967626571655273,3.7640466690063477,2.7169883251190186,0.38797755821000435,0.2266447378777185,1.684340931090384,0.22550393739646607,2.375542402267456,0.22913073003292084,ResNet50,None,Untrained,PyTorch
