num_pcs,scores,ambient_dim,layer,architecture,task,kind,source
45,0.14000973819848458,256,layer3.1.relu,ResNet18,None,Untrained,PyTorch
66,0.14831794631219317,256,layer3.1.relu,ResNet18,None,Untrained,PyTorch
97,0.15706911477814514,256,layer3.1.relu,ResNet18,None,Untrained,PyTorch
142,0.16077127218505102,256,layer3.1.relu,ResNet18,None,Untrained,PyTorch
207,0.16438659734627906,256,layer3.1.relu,ResNet18,None,Untrained,PyTorch
1,0.01018528832151764,512,layer4.0.relu,ResNet18,None,Untrained,PyTorch
2,0.02494879632029086,512,layer4.0.relu,ResNet18,None,Untrained,PyTorch
3,0.038642454013191545,512,layer4.0.relu,ResNet18,None,Untrained,PyTorch
4,0.056629137973929,512,layer4.0.relu,ResNet18,None,Untrained,PyTorch
6,0.06504605236208781,512,layer4.0.relu,ResNet18,None,Untrained,PyTorch
9,0.08695376061896049,512,layer4.0.relu,ResNet18,None,Untrained,PyTorch
14,0.10517447198161699,512,layer4.0.relu,ResNet18,None,Untrained,PyTorch
21,0.12293819177857397,512,layer4.0.relu,ResNet18,None,Untrained,PyTorch
30,0.14127700907000335,512,layer4.0.relu,ResNet18,None,Untrained,PyTorch
45,0.15156232290720154,512,layer4.0.relu,ResNet18,None,Untrained,PyTorch
66,0.160858267407299,512,layer4.0.relu,ResNet18,None,Untrained,PyTorch
97,0.1675987873095903,512,layer4.0.relu,ResNet18,None,Untrained,PyTorch
142,0.17215993281804465,512,layer4.0.relu,ResNet18,None,Untrained,PyTorch
207,0.17497953679274542,512,layer4.0.relu,ResNet18,None,Untrained,PyTorch
304,0.17786547424154853,512,layer4.0.relu,ResNet18,None,Untrained,PyTorch
445,0.18103072305165033,512,layer4.0.relu,ResNet18,None,Untrained,PyTorch
1,0.008791813921028489,512,layer4.1.relu,ResNet18,None,Untrained,PyTorch
2,0.024846794667670417,512,layer4.1.relu,ResNet18,None,Untrained,PyTorch
3,0.04488240241799464,512,layer4.1.relu,ResNet18,None,Untrained,PyTorch
4,0.05006599208218874,512,layer4.1.relu,ResNet18,None,Untrained,PyTorch
6,0.06962417812420363,512,layer4.1.relu,ResNet18,None,Untrained,PyTorch
9,0.08834171403385559,512,layer4.1.relu,ResNet18,None,Untrained,PyTorch
14,0.10574763258305822,512,layer4.1.relu,ResNet18,None,Untrained,PyTorch
21,0.11757783081620737,512,layer4.1.relu,ResNet18,None,Untrained,PyTorch
30,0.13461780733151746,512,layer4.1.relu,ResNet18,None,Untrained,PyTorch
45,0.14946729302639966,512,layer4.1.relu,ResNet18,None,Untrained,PyTorch
66,0.1606670468825803,512,layer4.1.relu,ResNet18,None,Untrained,PyTorch
97,0.16900109793928308,512,layer4.1.relu,ResNet18,None,Untrained,PyTorch
142,0.17775612050767342,512,layer4.1.relu,ResNet18,None,Untrained,PyTorch
207,0.176147815896195,512,layer4.1.relu,ResNet18,None,Untrained,PyTorch
304,0.182411496033059,512,layer4.1.relu,ResNet18,None,Untrained,PyTorch
445,0.1879891601899251,512,layer4.1.relu,ResNet18,None,Untrained,PyTorch
1,0.010930745356891949,256,layer1.0.relu,ResNet50,None,Untrained,PyTorch
2,0.029406312379965858,256,layer1.0.relu,ResNet50,None,Untrained,PyTorch
3,0.032161619168937144,256,layer1.0.relu,ResNet50,None,Untrained,PyTorch
4,0.0359207742809788,256,layer1.0.relu,ResNet50,None,Untrained,PyTorch
6,0.06001415961219686,256,layer1.0.relu,ResNet50,None,Untrained,PyTorch
9,0.07341264276646811,256,layer1.0.relu,ResNet50,None,Untrained,PyTorch
14,0.09211119676152164,256,layer1.0.relu,ResNet50,None,Untrained,PyTorch
21,0.11014697149578388,256,layer1.0.relu,ResNet50,None,Untrained,PyTorch
30,0.11877261815900556,256,layer1.0.relu,ResNet50,None,Untrained,PyTorch
45,0.13099993315962222,256,layer1.0.relu,ResNet50,None,Untrained,PyTorch
66,0.13839534178233434,256,layer1.0.relu,ResNet50,None,Untrained,PyTorch
97,0.142196584374382,256,layer1.0.relu,ResNet50,None,Untrained,PyTorch
142,0.14904669245833757,256,layer1.0.relu,ResNet50,None,Untrained,PyTorch
207,0.15364721931259223,256,layer1.0.relu,ResNet50,None,Untrained,PyTorch
1,0.010790580500638587,256,layer1.1.relu,ResNet50,None,Untrained,PyTorch
2,0.02796204891122729,256,layer1.1.relu,ResNet50,None,Untrained,PyTorch
3,0.03443317328057079,256,layer1.1.relu,ResNet50,None,Untrained,PyTorch
4,0.036144679863918,256,layer1.1.relu,ResNet50,None,Untrained,PyTorch
6,0.053273486295328736,256,layer1.1.relu,ResNet50,None,Untrained,PyTorch
9,0.07056608545903818,256,layer1.1.relu,ResNet50,None,Untrained,PyTorch
14,0.0910490381402875,256,layer1.1.relu,ResNet50,None,Untrained,PyTorch
21,0.10233257365498258,256,layer1.1.relu,ResNet50,None,Untrained,PyTorch
30,0.11777354360626346,256,layer1.1.relu,ResNet50,None,Untrained,PyTorch
45,0.13025335552073636,256,layer1.1.relu,ResNet50,None,Untrained,PyTorch
66,0.1400456057067699,256,layer1.1.relu,ResNet50,None,Untrained,PyTorch
97,0.14292050677987606,256,layer1.1.relu,ResNet50,None,Untrained,PyTorch
142,0.14892451973143483,256,layer1.1.relu,ResNet50,None,Untrained,PyTorch
207,0.1536308473817332,256,layer1.1.relu,ResNet50,None,Untrained,PyTorch
1,0.010079558118777966,256,layer1.2.relu,ResNet50,None,Untrained,PyTorch
2,0.025117512413794875,256,layer1.2.relu,ResNet50,None,Untrained,PyTorch
3,0.030361831749881336,256,layer1.2.relu,ResNet50,None,Untrained,PyTorch
4,0.03155769953870615,256,layer1.2.relu,ResNet50,None,Untrained,PyTorch
6,0.055316017389449544,256,layer1.2.relu,ResNet50,None,Untrained,PyTorch
9,0.08333138462431629,256,layer1.2.relu,ResNet50,None,Untrained,PyTorch
14,0.0957762115689191,256,layer1.2.relu,ResNet50,None,Untrained,PyTorch
21,0.11011385713866996,256,layer1.2.relu,ResNet50,None,Untrained,PyTorch
30,0.11981932839395029,256,layer1.2.relu,ResNet50,None,Untrained,PyTorch
45,0.13000344991416682,256,layer1.2.relu,ResNet50,None,Untrained,PyTorch
66,0.13783948986102057,256,layer1.2.relu,ResNet50,None,Untrained,PyTorch
97,0.14373237527751614,256,layer1.2.relu,ResNet50,None,Untrained,PyTorch
142,0.14750410889116627,256,layer1.2.relu,ResNet50,None,Untrained,PyTorch
207,0.14988955112139948,256,layer1.2.relu,ResNet50,None,Untrained,PyTorch
1,0.007877314754087783,512,layer2.0.relu,ResNet50,None,Untrained,PyTorch
2,0.022165468421265547,512,layer2.0.relu,ResNet50,None,Untrained,PyTorch
3,0.03894324328092253,512,layer2.0.relu,ResNet50,None,Untrained,PyTorch
4,0.041495466450737206,512,layer2.0.relu,ResNet50,None,Untrained,PyTorch
6,0.045560654500844386,512,layer2.0.relu,ResNet50,None,Untrained,PyTorch
9,0.07746650132463224,512,layer2.0.relu,ResNet50,None,Untrained,PyTorch
14,0.0906338659331636,512,layer2.0.relu,ResNet50,None,Untrained,PyTorch
21,0.10287848998582806,512,layer2.0.relu,ResNet50,None,Untrained,PyTorch
30,0.11566476444413526,512,layer2.0.relu,ResNet50,None,Untrained,PyTorch
45,0.12178773108627257,512,layer2.0.relu,ResNet50,None,Untrained,PyTorch
66,0.1285425997362966,512,layer2.0.relu,ResNet50,None,Untrained,PyTorch
97,0.1335920915549539,512,layer2.0.relu,ResNet50,None,Untrained,PyTorch
142,0.1344145382564444,512,layer2.0.relu,ResNet50,None,Untrained,PyTorch
207,0.14075818120615338,512,layer2.0.relu,ResNet50,None,Untrained,PyTorch
304,0.14337396161481505,512,layer2.0.relu,ResNet50,None,Untrained,PyTorch
445,0.14549325183450088,512,layer2.0.relu,ResNet50,None,Untrained,PyTorch
1,0.006890092352825528,512,layer2.1.relu,ResNet50,None,Untrained,PyTorch
2,0.02042572728617546,512,layer2.1.relu,ResNet50,None,Untrained,PyTorch
3,0.02870389519407281,512,layer2.1.relu,ResNet50,None,Untrained,PyTorch
4,0.042210082609269596,512,layer2.1.relu,ResNet50,None,Untrained,PyTorch
6,0.04975840640166806,512,layer2.1.relu,ResNet50,None,Untrained,PyTorch
9,0.05716869792112828,512,layer2.1.relu,ResNet50,None,Untrained,PyTorch
14,0.07522682075418696,512,layer2.1.relu,ResNet50,None,Untrained,PyTorch
21,0.08760308084243146,512,layer2.1.relu,ResNet50,None,Untrained,PyTorch
30,0.09857936023865665,512,layer2.1.relu,ResNet50,None,Untrained,PyTorch
45,0.11911259040392295,512,layer2.1.relu,ResNet50,None,Untrained,PyTorch
66,0.12646837805948508,512,layer2.1.relu,ResNet50,None,Untrained,PyTorch
97,0.12967607374956644,512,layer2.1.relu,ResNet50,None,Untrained,PyTorch
142,0.13441851306496977,512,layer2.1.relu,ResNet50,None,Untrained,PyTorch
207,0.136703702210695,512,layer2.1.relu,ResNet50,None,Untrained,PyTorch
304,0.14361786703957038,512,layer2.1.relu,ResNet50,None,Untrained,PyTorch
445,0.1476329500035538,512,layer2.1.relu,ResNet50,None,Untrained,PyTorch
1,0.006709546853292266,512,layer2.2.relu,ResNet50,None,Untrained,PyTorch
2,0.01803837984758884,512,layer2.2.relu,ResNet50,None,Untrained,PyTorch
3,0.027419143680078178,512,layer2.2.relu,ResNet50,None,Untrained,PyTorch
4,0.03719157383908317,512,layer2.2.relu,ResNet50,None,Untrained,PyTorch
6,0.04595522729852003,512,layer2.2.relu,ResNet50,None,Untrained,PyTorch
9,0.06335597711348503,512,layer2.2.relu,ResNet50,None,Untrained,PyTorch
14,0.07567390714035654,512,layer2.2.relu,ResNet50,None,Untrained,PyTorch
21,0.09011291311210633,512,layer2.2.relu,ResNet50,None,Untrained,PyTorch
30,0.10709012100974893,512,layer2.2.relu,ResNet50,None,Untrained,PyTorch
45,0.11455913044774806,512,layer2.2.relu,ResNet50,None,Untrained,PyTorch
66,0.11939943586817325,512,layer2.2.relu,ResNet50,None,Untrained,PyTorch
97,0.1309639363031368,512,layer2.2.relu,ResNet50,None,Untrained,PyTorch
142,0.13476247476668335,512,layer2.2.relu,ResNet50,None,Untrained,PyTorch
207,0.13621425329144657,512,layer2.2.relu,ResNet50,None,Untrained,PyTorch
304,0.14032949844992298,512,layer2.2.relu,ResNet50,None,Untrained,PyTorch
445,0.14272790812482794,512,layer2.2.relu,ResNet50,None,Untrained,PyTorch
1,0.005807058842604555,512,layer2.3.relu,ResNet50,None,Untrained,PyTorch
2,0.015588512150045267,512,layer2.3.relu,ResNet50,None,Untrained,PyTorch
3,0.022308269152650058,512,layer2.3.relu,ResNet50,None,Untrained,PyTorch
4,0.023925208221644807,512,layer2.3.relu,ResNet50,None,Untrained,PyTorch
6,0.037614663680916316,512,layer2.3.relu,ResNet50,None,Untrained,PyTorch
9,0.05345399463226164,512,layer2.3.relu,ResNet50,None,Untrained,PyTorch
14,0.06672957669592976,512,layer2.3.relu,ResNet50,None,Untrained,PyTorch
21,0.07896706856818504,512,layer2.3.relu,ResNet50,None,Untrained,PyTorch
30,0.0912144870797437,512,layer2.3.relu,ResNet50,None,Untrained,PyTorch
45,0.09956063607186083,512,layer2.3.relu,ResNet50,None,Untrained,PyTorch
66,0.10652971237755615,512,layer2.3.relu,ResNet50,None,Untrained,PyTorch
97,0.11149193527588194,512,layer2.3.relu,ResNet50,None,Untrained,PyTorch
142,0.11958140182612048,512,layer2.3.relu,ResNet50,None,Untrained,PyTorch
207,0.12404806878206664,512,layer2.3.relu,ResNet50,None,Untrained,PyTorch
304,0.129189300962671,512,layer2.3.relu,ResNet50,None,Untrained,PyTorch
445,0.1348918691896564,512,layer2.3.relu,ResNet50,None,Untrained,PyTorch
1,0.005228678879620962,1000,layer3.0.relu,ResNet50,None,Untrained,PyTorch
2,0.01376471440907545,1000,layer3.0.relu,ResNet50,None,Untrained,PyTorch
3,0.020544315257383587,1000,layer3.0.relu,ResNet50,None,Untrained,PyTorch
4,0.02730177296895593,1000,layer3.0.relu,ResNet50,None,Untrained,PyTorch
6,0.033212026421385855,1000,layer3.0.relu,ResNet50,None,Untrained,PyTorch
9,0.054800984351009975,1000,layer3.0.relu,ResNet50,None,Untrained,PyTorch
14,0.06245991792869839,1000,layer3.0.relu,ResNet50,None,Untrained,PyTorch
21,0.07453465157064926,1000,layer3.0.relu,ResNet50,None,Untrained,PyTorch
30,0.08450875581079005,1000,layer3.0.relu,ResNet50,None,Untrained,PyTorch
45,0.08901383010433135,1000,layer3.0.relu,ResNet50,None,Untrained,PyTorch
66,0.09145889570090748,1000,layer3.0.relu,ResNet50,None,Untrained,PyTorch
97,0.09374948638770413,1000,layer3.0.relu,ResNet50,None,Untrained,PyTorch
142,0.10188293569871511,1000,layer3.0.relu,ResNet50,None,Untrained,PyTorch
207,0.1080817256639316,1000,layer3.0.relu,ResNet50,None,Untrained,PyTorch
304,0.11221186156637132,1000,layer3.0.relu,ResNet50,None,Untrained,PyTorch
445,0.11463991065589356,1000,layer3.0.relu,ResNet50,None,Untrained,PyTorch
652,0.11349214273917213,1000,layer3.0.relu,ResNet50,None,Untrained,PyTorch
955,0.11636648936219583,1000,layer3.0.relu,ResNet50,None,Untrained,PyTorch
1,0.004966501715991794,1000,layer3.1.relu,ResNet50,None,Untrained,PyTorch
2,0.010290130579768698,1000,layer3.1.relu,ResNet50,None,Untrained,PyTorch
3,0.013966515178087356,1000,layer3.1.relu,ResNet50,None,Untrained,PyTorch
4,0.02028254330819448,1000,layer3.1.relu,ResNet50,None,Untrained,PyTorch
6,0.02334352561592811,1000,layer3.1.relu,ResNet50,None,Untrained,PyTorch
9,0.038816055230780466,1000,layer3.1.relu,ResNet50,None,Untrained,PyTorch
14,0.05516750588692193,1000,layer3.1.relu,ResNet50,None,Untrained,PyTorch
21,0.06844827981014635,1000,layer3.1.relu,ResNet50,None,Untrained,PyTorch
30,0.07675143104965058,1000,layer3.1.relu,ResNet50,None,Untrained,PyTorch
45,0.08617958987938287,1000,layer3.1.relu,ResNet50,None,Untrained,PyTorch
66,0.09656665766079325,1000,layer3.1.relu,ResNet50,None,Untrained,PyTorch
97,0.09971673483308459,1000,layer3.1.relu,ResNet50,None,Untrained,PyTorch
142,0.1043259380274435,1000,layer3.1.relu,ResNet50,None,Untrained,PyTorch
207,0.1113703926967683,1000,layer3.1.relu,ResNet50,None,Untrained,PyTorch
304,0.11644086673928973,1000,layer3.1.relu,ResNet50,None,Untrained,PyTorch
445,0.11925240663982482,1000,layer3.1.relu,ResNet50,None,Untrained,PyTorch
652,0.12153306424984396,1000,layer3.1.relu,ResNet50,None,Untrained,PyTorch
955,0.11875758597531462,1000,layer3.1.relu,ResNet50,None,Untrained,PyTorch
1,0.004931279046703736,1000,layer3.2.relu,ResNet50,None,Untrained,PyTorch
2,0.00976066309254084,1000,layer3.2.relu,ResNet50,None,Untrained,PyTorch
3,0.014449225896851414,1000,layer3.2.relu,ResNet50,None,Untrained,PyTorch
4,0.020140550156886056,1000,layer3.2.relu,ResNet50,None,Untrained,PyTorch
6,0.02313847058808498,1000,layer3.2.relu,ResNet50,None,Untrained,PyTorch
9,0.04072138816519808,1000,layer3.2.relu,ResNet50,None,Untrained,PyTorch
14,0.05654584044669878,1000,layer3.2.relu,ResNet50,None,Untrained,PyTorch
21,0.06890587134484438,1000,layer3.2.relu,ResNet50,None,Untrained,PyTorch
30,0.07656734050196985,1000,layer3.2.relu,ResNet50,None,Untrained,PyTorch
45,0.08691142951406858,1000,layer3.2.relu,ResNet50,None,Untrained,PyTorch
66,0.0971143088832202,1000,layer3.2.relu,ResNet50,None,Untrained,PyTorch
97,0.1027794526691823,1000,layer3.2.relu,ResNet50,None,Untrained,PyTorch
142,0.10892993323285345,1000,layer3.2.relu,ResNet50,None,Untrained,PyTorch
207,0.10700294197300184,1000,layer3.2.relu,ResNet50,None,Untrained,PyTorch
304,0.11023160827637274,1000,layer3.2.relu,ResNet50,None,Untrained,PyTorch
445,0.11338537773771748,1000,layer3.2.relu,ResNet50,None,Untrained,PyTorch
652,0.11424160697835682,1000,layer3.2.relu,ResNet50,None,Untrained,PyTorch
955,0.11674804345015606,1000,layer3.2.relu,ResNet50,None,Untrained,PyTorch
1,0.0049047779086408136,1000,layer3.3.relu,ResNet50,None,Untrained,PyTorch
2,0.008181680062257201,1000,layer3.3.relu,ResNet50,None,Untrained,PyTorch
3,0.013889657718342776,1000,layer3.3.relu,ResNet50,None,Untrained,PyTorch
4,0.018158144044824295,1000,layer3.3.relu,ResNet50,None,Untrained,PyTorch
6,0.025540222380274577,1000,layer3.3.relu,ResNet50,None,Untrained,PyTorch
9,0.038940169354622106,1000,layer3.3.relu,ResNet50,None,Untrained,PyTorch
14,0.04872112830881067,1000,layer3.3.relu,ResNet50,None,Untrained,PyTorch
21,0.06211666483944215,1000,layer3.3.relu,ResNet50,None,Untrained,PyTorch
30,0.07161523100044338,1000,layer3.3.relu,ResNet50,None,Untrained,PyTorch
45,0.07573326347178068,1000,layer3.3.relu,ResNet50,None,Untrained,PyTorch
66,0.08848215307997581,1000,layer3.3.relu,ResNet50,None,Untrained,PyTorch
97,0.0942401090414326,1000,layer3.3.relu,ResNet50,None,Untrained,PyTorch
142,0.09881721367313259,1000,layer3.3.relu,ResNet50,None,Untrained,PyTorch
207,0.10347423948798833,1000,layer3.3.relu,ResNet50,None,Untrained,PyTorch
304,0.10651430266022022,1000,layer3.3.relu,ResNet50,None,Untrained,PyTorch
445,0.1096811984913962,1000,layer3.3.relu,ResNet50,None,Untrained,PyTorch
652,0.11142860028452979,1000,layer3.3.relu,ResNet50,None,Untrained,PyTorch
955,0.11062934691771474,1000,layer3.3.relu,ResNet50,None,Untrained,PyTorch
1,0.004943699610282712,1000,layer3.4.relu,ResNet50,None,Untrained,PyTorch
2,0.007011766534309957,1000,layer3.4.relu,ResNet50,None,Untrained,PyTorch
3,0.012117953014682768,1000,layer3.4.relu,ResNet50,None,Untrained,PyTorch
4,0.01839270701941045,1000,layer3.4.relu,ResNet50,None,Untrained,PyTorch
6,0.026099837847703936,1000,layer3.4.relu,ResNet50,None,Untrained,PyTorch
9,0.037382163701305454,1000,layer3.4.relu,ResNet50,None,Untrained,PyTorch
14,0.04149798607803672,1000,layer3.4.relu,ResNet50,None,Untrained,PyTorch
21,0.05675705144994018,1000,layer3.4.relu,ResNet50,None,Untrained,PyTorch
30,0.07092038371734555,1000,layer3.4.relu,ResNet50,None,Untrained,PyTorch
45,0.07889742599083359,1000,layer3.4.relu,ResNet50,None,Untrained,PyTorch
66,0.08942455466589155,1000,layer3.4.relu,ResNet50,None,Untrained,PyTorch
97,0.09596116836708982,1000,layer3.4.relu,ResNet50,None,Untrained,PyTorch
142,0.10224545898024476,1000,layer3.4.relu,ResNet50,None,Untrained,PyTorch
207,0.10391878313845428,1000,layer3.4.relu,ResNet50,None,Untrained,PyTorch
304,0.11151272519771231,1000,layer3.4.relu,ResNet50,None,Untrained,PyTorch
445,0.1139068129278122,1000,layer3.4.relu,ResNet50,None,Untrained,PyTorch
652,0.11888189781302085,1000,layer3.4.relu,ResNet50,None,Untrained,PyTorch
955,0.11658319122645232,1000,layer3.4.relu,ResNet50,None,Untrained,PyTorch
1,0.004868176313065452,1000,layer3.5.relu,ResNet50,None,Untrained,PyTorch
2,0.009118558569273147,1000,layer3.5.relu,ResNet50,None,Untrained,PyTorch
3,0.015007869896039902,1000,layer3.5.relu,ResNet50,None,Untrained,PyTorch
4,0.02050376677920029,1000,layer3.5.relu,ResNet50,None,Untrained,PyTorch
6,0.028394193388840985,1000,layer3.5.relu,ResNet50,None,Untrained,PyTorch
9,0.04143655856423281,1000,layer3.5.relu,ResNet50,None,Untrained,PyTorch
14,0.042769899856572,1000,layer3.5.relu,ResNet50,None,Untrained,PyTorch
21,0.06155612894595689,1000,layer3.5.relu,ResNet50,None,Untrained,PyTorch
30,0.06793809305991068,1000,layer3.5.relu,ResNet50,None,Untrained,PyTorch
45,0.07827034594016541,1000,layer3.5.relu,ResNet50,None,Untrained,PyTorch
66,0.08722893119909898,1000,layer3.5.relu,ResNet50,None,Untrained,PyTorch
97,0.09625676060929511,1000,layer3.5.relu,ResNet50,None,Untrained,PyTorch
142,0.09979873704708897,1000,layer3.5.relu,ResNet50,None,Untrained,PyTorch
207,0.10908028825858025,1000,layer3.5.relu,ResNet50,None,Untrained,PyTorch
304,0.115459993471449,1000,layer3.5.relu,ResNet50,None,Untrained,PyTorch
445,0.1174797413623849,1000,layer3.5.relu,ResNet50,None,Untrained,PyTorch
652,0.12153637712125426,1000,layer3.5.relu,ResNet50,None,Untrained,PyTorch
955,0.12551511858315348,1000,layer3.5.relu,ResNet50,None,Untrained,PyTorch
1,0.004743337658184275,1000,layer4.0.relu,ResNet50,None,Untrained,PyTorch
2,0.012003379808243286,1000,layer4.0.relu,ResNet50,None,Untrained,PyTorch
3,0.013973108718801674,1000,layer4.0.relu,ResNet50,None,Untrained,PyTorch
4,0.020882273938286528,1000,layer4.0.relu,ResNet50,None,Untrained,PyTorch
6,0.02830882707926944,1000,layer4.0.relu,ResNet50,None,Untrained,PyTorch
9,0.03495752006737426,1000,layer4.0.relu,ResNet50,None,Untrained,PyTorch
14,0.04494364574005654,1000,layer4.0.relu,ResNet50,None,Untrained,PyTorch
21,0.05780526005454148,1000,layer4.0.relu,ResNet50,None,Untrained,PyTorch
30,0.06985988500986344,1000,layer4.0.relu,ResNet50,None,Untrained,PyTorch
45,0.07631656744722738,1000,layer4.0.relu,ResNet50,None,Untrained,PyTorch
66,0.07702305038156128,1000,layer4.0.relu,ResNet50,None,Untrained,PyTorch
97,0.08772467240715,1000,layer4.0.relu,ResNet50,None,Untrained,PyTorch
142,0.0914247931812197,1000,layer4.0.relu,ResNet50,None,Untrained,PyTorch
207,0.09458717199352154,1000,layer4.0.relu,ResNet50,None,Untrained,PyTorch
304,0.0968250973336936,1000,layer4.0.relu,ResNet50,None,Untrained,PyTorch
445,0.0975984355342316,1000,layer4.0.relu,ResNet50,None,Untrained,PyTorch
652,0.10068451011345561,1000,layer4.0.relu,ResNet50,None,Untrained,PyTorch
955,0.10418091748083258,1000,layer4.0.relu,ResNet50,None,Untrained,PyTorch
1,0.0050264657024226,1000,layer4.1.relu,ResNet50,None,Untrained,PyTorch
