accuracy (top 1),accuracy (top 5),MRR,log likelihood,n_train,i_repeat,layer,architecture,task,kind,source
0.1252,0.3336,0.2385522931336443,-4.338848002094357,5,1,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.1592,0.3992,0.28839956460729094,-4.90566215412053,20,1,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.19,0.454,0.32624390400329184,-7.634937645355766,50,1,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0972,0.2684,0.1978922702628659,-4.245569353837722,1,2,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.138,0.35,0.25659974416157394,-4.266428818605234,5,2,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.168,0.4228,0.30031664155427873,-4.951345761268749,20,2,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.1808,0.4752,0.3227888434869899,-7.971162946727472,50,2,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0716,0.2472,0.1772158867059991,-4.258300571974038,1,3,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.1152,0.3376,0.23828431134395797,-4.281178649132926,5,3,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.1644,0.4276,0.2975982615305183,-4.958650170871769,20,3,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.19,0.4688,0.328128228115111,-7.205857473595401,50,3,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0688,0.2308,0.1690764063017005,-4.475170165381866,1,4,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.1296,0.3312,0.24416043241215107,-4.285788430748799,5,4,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.1656,0.4188,0.29720709711293436,-5.020568278513989,20,4,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.1824,0.46,0.32225254999502806,-7.563696082777258,50,4,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.078,0.234,0.1746023445013881,-4.290138944126135,1,5,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.1096,0.3372,0.23384558424675456,-4.2895690869015395,5,5,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.1704,0.4216,0.3005339380480599,-4.938956471460145,20,5,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.1832,0.4676,0.32559215273639086,-7.492051434141339,50,5,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0756,0.2288,0.1762542573138697,-4.36071707771852,1,6,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.1232,0.3296,0.23804653063732595,-4.429298918617921,5,6,layer1.1.relu,ResNet18,None,Untrained,PyTorch
