ID,inter-ID,intra-ID,intra-ID (std),layer,architecture,task,kind,source
9.134688520415398,6.9451903545679965,19.69603219530635,6.337110779437855,layer1.0.relu,ResNet18,None,Untrained,PyTorch
8.98503426762762,7.135894562911607,19.489402346901976,5.972872359838126,layer1.1.relu,ResNet18,None,Untrained,PyTorch
9.092696678980705,7.241313080758381,19.38041265653377,5.885178046283946,layer2.0.relu,ResNet18,None,Untrained,PyTorch
9.673180820493636,7.326929190475467,19.10663334111387,5.734429016079292,layer2.1.relu,ResNet18,None,Untrained,PyTorch
9.797982935368065,7.971639426558424,19.07395512650695,5.618218244423125,layer3.0.relu,ResNet18,None,Untrained,PyTorch
9.889935808436748,7.151856921914467,19.144438662566106,5.816971511839951,layer3.1.relu,ResNet18,None,Untrained,PyTorch
9.721959233022448,7.535057909950351,19.96446714121707,6.3676257566224885,layer4.0.relu,ResNet18,None,Untrained,PyTorch
9.664363735217346,7.576862231767023,20.10309996407317,6.583210456216862,layer4.1.relu,ResNet18,None,Untrained,PyTorch
8.609900936887518,6.645001494510195,18.213051401925615,5.749531822165307,layer1.0.relu,ResNet50,None,Untrained,PyTorch
8.731384188583688,7.475905660903395,19.320647089045575,6.100636382500562,layer1.1.relu,ResNet50,None,Untrained,PyTorch
8.827803954940503,7.632820380780767,18.653018220415973,5.98232008305722,layer1.2.relu,ResNet50,None,Untrained,PyTorch
9.004344498837293,8.223766987914741,18.139840365561266,5.328604803893462,layer2.0.relu,ResNet50,None,Untrained,PyTorch
9.264873621987773,8.494181933471168,18.30592413060505,5.740520269097913,layer2.1.relu,ResNet50,None,Untrained,PyTorch
9.299057542167619,8.384825110768677,17.98042353303856,5.5644699392292525,layer2.2.relu,ResNet50,None,Untrained,PyTorch
9.470697745984092,8.650625445798564,16.761482679879425,5.2797114852774225,layer2.3.relu,ResNet50,None,Untrained,PyTorch
9.764805945100083,8.941402105947198,16.812809436712655,5.713707790378797,layer3.0.relu,ResNet50,None,Untrained,PyTorch
9.924738314055045,8.772268935787041,16.186793134882805,5.2243816320591225,layer3.1.relu,ResNet50,None,Untrained,PyTorch
10.034345134895249,8.309824738909647,15.506846237434656,5.017540022944596,layer3.2.relu,ResNet50,None,Untrained,PyTorch
10.171757676551788,8.01918189694583,15.041621842723853,5.105680465945129,layer3.3.relu,ResNet50,None,Untrained,PyTorch
10.340760635719285,7.683051072213541,13.951770377224532,4.420085760401744,layer3.4.relu,ResNet50,None,Untrained,PyTorch
10.245760529526375,7.316771673241127,13.260182846198788,4.149940182273916,layer3.5.relu,ResNet50,None,Untrained,PyTorch
10.281434692382081,7.132151255608132,13.01256910491878,3.9167229283969083,layer4.0.relu,ResNet50,None,Untrained,PyTorch
10.446143076294735,6.4703989069993435,12.232689733741847,3.5425721535570145,layer4.1.relu,ResNet50,None,Untrained,PyTorch
10.528787539328725,6.210931992434648,12.463195611542904,3.5979552658888503,layer4.2.relu,ResNet50,None,Untrained,PyTorch
11.981195121463854,17.963864874493527,36.068724549344964,11.090108587979195,layer1.0.relu,ResNet18,Object Classification,Supervised,PyTorch
13.065216211074008,28.667406561640984,48.804234802711825,19.03285075886057,layer1.1.relu,ResNet18,Object Classification,Supervised,PyTorch
14.008287265728503,19.48937776196647,53.8556000084166,18.634964376977088,layer2.0.relu,ResNet18,Object Classification,Supervised,PyTorch
13.635767119529772,25.235214731876006,55.269000731315266,18.416453932119683,layer2.1.relu,ResNet18,Object Classification,Supervised,PyTorch
12.660170632127935,13.414574728314745,41.305921038980415,15.133596464562315,layer3.0.relu,ResNet18,Object Classification,Supervised,PyTorch
13.260043257525046,12.978152178280226,41.99791609386618,15.298125333058668,layer3.1.relu,ResNet18,Object Classification,Supervised,PyTorch
14.888642016810778,12.935514196835328,36.80318643402593,14.773190106220579,layer4.0.relu,ResNet18,Object Classification,Supervised,PyTorch
15.388697766419709,8.595612910193472,27.946250631468335,9.465537055762375,layer4.1.relu,ResNet18,Object Classification,Supervised,PyTorch
12.015495747248908,11.46198552307596,32.80291467602866,9.868910322483652,layer1.0.relu,ResNet50,Object Classification,Supervised,PyTorch
13.083621769964541,13.342120042722897,40.42990479797654,11.774393732676227,layer1.1.relu,ResNet50,Object Classification,Supervised,PyTorch
14.469847540101783,15.170740566045056,47.95859938976841,13.206973651613266,layer1.2.relu,ResNet50,Object Classification,Supervised,PyTorch
15.083112490620202,13.241609829620023,41.146326141787924,12.902547689395359,layer2.0.relu,ResNet50,Object Classification,Supervised,PyTorch
15.006133144723627,16.019050205949167,50.190941682765896,15.799761447928905,layer2.1.relu,ResNet50,Object Classification,Supervised,PyTorch
17.327292956183815,22.170733975174745,55.23169417883837,18.049038317087145,layer2.2.relu,ResNet50,Object Classification,Supervised,PyTorch
17.346434742888633,24.492495391186416,58.3053869983844,20.387870894611332,layer2.3.relu,ResNet50,Object Classification,Supervised,PyTorch
17.166298038796693,14.508730599174,50.81748391208302,18.223789385000124,layer3.0.relu,ResNet50,Object Classification,Supervised,PyTorch
17.151253864753418,16.77542855288662,50.87958277557702,17.851594209648475,layer3.1.relu,ResNet50,Object Classification,Supervised,PyTorch
16.39703345643746,17.0459494604826,51.60299958256109,19.211010839012044,layer3.2.relu,ResNet50,Object Classification,Supervised,PyTorch
15.934324618821575,16.121649492528746,50.54900854490786,20.12875073561409,layer3.3.relu,ResNet50,Object Classification,Supervised,PyTorch
15.791251042887053,15.575763073549826,49.67550404024747,17.796619534973445,layer3.4.relu,ResNet50,Object Classification,Supervised,PyTorch
