layer,score,model,benchmark,effective_dimensionality_dataset,effective_dimensionality_imagenet,region
encode_3,0.2915461526893841,resnet18-cpc-pool-1000components,bonner.Object2Vec.RSA,14.710525162623455,18.71966694707558,reliable
encode_5,0.23151055682492871,resnet18-cpc-pool-1000components,bonner.Object2Vec.RSA,11.898798466692378,31.493382648490073,reliable
encode_7,0.177919533561207,resnet18-cpc-pool-1000components,bonner.Object2Vec.RSA,5.361038545523874,48.15491878257849,reliable
encode_9,0.12199737133541999,resnet18-cpc-pool-1000components,bonner.Object2Vec.RSA,1.1722484282015866,1.2844446434222099,reliable
encode_1.conv,0.20293687817990044,resnet18-color-1000components,bonner.Object2Vec.RSA,17.113833081475047,219.04179192589476,reliable
encode_1,0.2202892849858123,resnet18-color-1000components,bonner.Object2Vec.RSA,16.546597920479677,61.298086322963854,reliable
encode_2,0.22479875786270181,resnet18-color-1000components,bonner.Object2Vec.RSA,24.96565350615135,251.07971206141698,reliable
encode_3,0.22979633450432774,resnet18-color-1000components,bonner.Object2Vec.RSA,24.13734533122361,380.69995413054227,reliable
encode_4,0.2309274902518891,resnet18-color-1000components,bonner.Object2Vec.RSA,24.72947642936824,455.4090071495477,reliable
encode_5,0.2343466771324108,resnet18-color-1000components,bonner.Object2Vec.RSA,23.142007248434,473.4736182023992,reliable
encode_6,0.18960708495060352,resnet18-color-1000components,bonner.Object2Vec.RSA,14.085959725491012,286.7022518978024,reliable
encode_7,0.17856888425065015,resnet18-color-1000components,bonner.Object2Vec.RSA,8.572496806701968,142.7110586286491,reliable
encode_8,0.1695244848810631,resnet18-color-1000components,bonner.Object2Vec.RSA,9.57986487195866,44.66078979718826,reliable
encode_9,0.19836023235902342,resnet18-color-1000components,bonner.Object2Vec.RSA,12.152692716619649,47.52870916822214,reliable
encode_3,0.2763876581400856,resnet18-color-pool-1000components,bonner.Object2Vec.RSA,11.624995468786974,16.615570969542535,reliable
encode_5,0.32833787207842413,resnet18-color-pool-1000components,bonner.Object2Vec.RSA,24.62822205995978,87.02656128311186,reliable
encode_7,0.20477316403846607,resnet18-color-pool-1000components,bonner.Object2Vec.RSA,45.326388011699564,44.26727228567773,reliable
encode_9,0.17963268367895893,resnet18-color-pool-1000components,bonner.Object2Vec.RSA,11.252337630087771,25.195234581408897,reliable
encode_1.conv,0.1731596153205728,resnet18-rp-1000components,bonner.Object2Vec.RSA,18.868264716234172,229.6537937375893,reliable
encode_1,0.19714455781393087,resnet18-rp-1000components,bonner.Object2Vec.RSA,22.663781699665105,109.36834834278908,reliable
encode_2,0.1976276369729173,resnet18-rp-1000components,bonner.Object2Vec.RSA,23.459649711658578,241.071677642991,reliable
encode_3,0.1985942261654308,resnet18-rp-1000components,bonner.Object2Vec.RSA,20.029841817154875,302.1750314544837,reliable
encode_4,0.22287530939217626,resnet18-rp-1000components,bonner.Object2Vec.RSA,28.64399422844202,307.7322784559674,reliable
encode_5,0.23462002985070596,resnet18-rp-1000components,bonner.Object2Vec.RSA,23.34940770076053,334.0072422877179,reliable
encode_6,0.23791632452052805,resnet18-rp-1000components,bonner.Object2Vec.RSA,27.596302097645545,208.9320169334805,reliable
encode_7,0.24232597086671387,resnet18-rp-1000components,bonner.Object2Vec.RSA,23.664710601054466,244.39873777644272,reliable
encode_8,0.2625270644338838,resnet18-rp-1000components,bonner.Object2Vec.RSA,23.807776845377,98.02895882962265,reliable
encode_9,0.2676577987729138,resnet18-rp-1000components,bonner.Object2Vec.RSA,23.359527087002927,85.33308128877756,reliable
encode_3,0.25241281989726805,resnet18-rp-pool-1000components,bonner.Object2Vec.RSA,13.563366407545267,16.844734377940828,reliable
encode_5,0.3091387410482044,resnet18-rp-pool-1000components,bonner.Object2Vec.RSA,25.585499384213232,55.269267297227366,reliable
encode_7,0.269964318613343,resnet18-rp-pool-1000components,bonner.Object2Vec.RSA,46.672503731950066,70.94600285103287,reliable
encode_9,0.29278603559199057,resnet18-rp-pool-1000components,bonner.Object2Vec.RSA,32.71194079054232,39.20426425248633,reliable
encode_1.conv,0.18185195358587342,resnet18-depth-1000components,bonner.Object2Vec.RSA,10.461381432690896,26.462377947425992,reliable
encode_1,0.18532535595008884,resnet18-depth-1000components,bonner.Object2Vec.RSA,16.667692534334858,33.02832994154075,reliable
encode_2,0.19287808503569176,resnet18-depth-1000components,bonner.Object2Vec.RSA,29.3391428023541,157.22201199997932,reliable
encode_3,0.2105348068427626,resnet18-depth-1000components,bonner.Object2Vec.RSA,26.56756853645129,409.02978729155285,reliable
encode_4,0.22621279496246574,resnet18-depth-1000components,bonner.Object2Vec.RSA,51.72132354313078,579.9050012060395,reliable
encode_5,0.24267702424497614,resnet18-depth-1000components,bonner.Object2Vec.RSA,32.191181865295775,594.9087999947268,reliable
encode_6,0.24466518477930757,resnet18-depth-1000components,bonner.Object2Vec.RSA,41.47879758318418,419.03877943324864,reliable
encode_7,0.24118789404799806,resnet18-depth-1000components,bonner.Object2Vec.RSA,34.7244540039696,467.2771034302559,reliable
encode_8,0.28995987426373515,resnet18-depth-1000components,bonner.Object2Vec.RSA,32.9275031705589,285.51753901854465,reliable
encode_9,0.29332714715685626,resnet18-depth-1000components,bonner.Object2Vec.RSA,34.940859728644476,264.6338453119538,reliable
encode_3,0.25814637497372284,resnet18-depth-pool-1000components,bonner.Object2Vec.RSA,15.116618965093634,22.323364457576773,reliable
encode_5,0.27616396695409434,resnet18-depth-pool-1000components,bonner.Object2Vec.RSA,27.662572166607998,68.52536781085438,reliable
encode_7,0.30370814537192253,resnet18-depth-pool-1000components,bonner.Object2Vec.RSA,58.59639867331748,98.34421680986134,reliable
encode_9,0.31396800830361304,resnet18-depth-pool-1000components,bonner.Object2Vec.RSA,52.186105367610814,122.08193681317401,reliable
encode_1,0.20361208248843557,resnet18-simclr-1000components,bonner.Object2Vec.RSA,15.580650141380936,36.30014911301305,reliable
encode_2,0.25335357390524005,resnet18-simclr-1000components,bonner.Object2Vec.RSA,21.22004050877271,187.04613350623086,reliable
encode_3,0.24165605321679678,resnet18-simclr-1000components,bonner.Object2Vec.RSA,25.21668721474895,455.95286137046094,reliable
encode_4,0.2660231914830133,resnet18-simclr-1000components,bonner.Object2Vec.RSA,36.6501622083954,588.3455846039001,reliable
encode_5,0.27069544823217834,resnet18-simclr-1000components,bonner.Object2Vec.RSA,30.08273675485547,598.8525468859698,reliable
encode_6,0.3085113470550107,resnet18-simclr-1000components,bonner.Object2Vec.RSA,26.749957281543853,325.97167842208177,reliable
encode_7,0.31767284842237986,resnet18-simclr-1000components,bonner.Object2Vec.RSA,21.662071681149882,291.9641502224902,reliable
encode_8,0.3379640969083255,resnet18-simclr-1000components,bonner.Object2Vec.RSA,23.81049288284383,219.40756765826475,reliable
encode_9,0.354973618076681,resnet18-simclr-1000components,bonner.Object2Vec.RSA,29.168857847668853,239.6122762606354,reliable
encode_3,0.3039887405752567,resnet18-simclr-pool-1000components,bonner.Object2Vec.RSA,14.486678049045448,22.400160713371285,reliable
encode_5,0.3319911299434951,resnet18-simclr-pool-1000components,bonner.Object2Vec.RSA,22.449105676577197,51.937854752454335,reliable
encode_7,0.3243427781985266,resnet18-simclr-pool-1000components,bonner.Object2Vec.RSA,40.697963925390255,69.21163805949905,reliable
encode_9,0.3452965346153422,resnet18-simclr-pool-1000components,bonner.Object2Vec.RSA,30.068062531997388,79.47379464229803,reliable
relu,0.20237039670443446,resnet18-deepcluster-1000components,bonner.Object2Vec.RSA,28.707598735287775,398.40280927087275,reliable
maxpool,0.2065428826471018,resnet18-deepcluster-1000components,bonner.Object2Vec.RSA,16.56394250086076,59.749077328200485,reliable
layer1.0.relu,0.2336662676653755,resnet18-deepcluster-1000components,bonner.Object2Vec.RSA,47.87888254343831,441.1618858801296,reliable
layer1.1.relu,0.24356106537278638,resnet18-deepcluster-1000components,bonner.Object2Vec.RSA,40.45401491151681,543.5727155926094,reliable
layer2.0.relu,0.2577001485980006,resnet18-deepcluster-1000components,bonner.Object2Vec.RSA,28.360914147795754,441.0188221812854,reliable
layer2.1.relu,0.23433925118390303,resnet18-deepcluster-1000components,bonner.Object2Vec.RSA,16.398671842003036,479.7574142711316,reliable
layer3.0.relu,0.24009762357546222,resnet18-deepcluster-1000components,bonner.Object2Vec.RSA,20.289877421548358,244.37194707028445,reliable
layer3.1.relu,0.2133486605065773,resnet18-deepcluster-1000components,bonner.Object2Vec.RSA,4.998870683933211,95.9114113773518,reliable
layer4.0.relu,0.21899887703774862,resnet18-deepcluster-1000components,bonner.Object2Vec.RSA,2.6698309235594664,44.15163714109454,reliable
layer4.1.relu,0.23783951850958177,resnet18-deepcluster-1000components,bonner.Object2Vec.RSA,38.13368232605881,507.2620781250756,reliable
layer1.1.relu,0.2946245365073304,resnet18-deepcluster-pool-1000components,bonner.Object2Vec.RSA,13.757652333764435,21.868170289304036,reliable
layer2.1.relu,0.30851949001050766,resnet18-deepcluster-pool-1000components,bonner.Object2Vec.RSA,25.050565077414877,65.93630184089452,reliable
layer3.1.relu,0.19337531743105152,resnet18-deepcluster-pool-1000components,bonner.Object2Vec.RSA,1.8854514740237114,3.905775525679766,reliable
layer4.1.relu,0.29996240604196295,resnet18-deepcluster-pool-1000components,bonner.Object2Vec.RSA,58.75938209080193,258.86559108848274,reliable
relu,0.18822823967228658,resnet18-cmc-1000components,bonner.Object2Vec.RSA,7.514854600589629,38.041532440081326,reliable
maxpool,0.20384591488227188,resnet18-cmc-1000components,bonner.Object2Vec.RSA,15.110128640126662,45.05246971559927,reliable
layer1.0.relu,0.23668633276858694,resnet18-cmc-1000components,bonner.Object2Vec.RSA,19.236866744633407,301.8381857339462,reliable
layer1.1.relu,0.23992620836440792,resnet18-cmc-1000components,bonner.Object2Vec.RSA,16.676846185517142,530.9538043697993,reliable
layer2.0.relu,0.24235492475381665,resnet18-cmc-1000components,bonner.Object2Vec.RSA,17.531792428858978,347.6800178206929,reliable
layer2.1.relu,0.2466304261398073,resnet18-cmc-1000components,bonner.Object2Vec.RSA,22.343408743471603,508.97528523727794,reliable
layer3.0.relu,0.2574914712508176,resnet18-cmc-1000components,bonner.Object2Vec.RSA,25.5936819507261,302.09893994736143,reliable
layer3.1.relu,0.22513173717857526,resnet18-cmc-1000components,bonner.Object2Vec.RSA,10.805393450747001,227.60181445936985,reliable
layer4.0.relu,0.21651455701653516,resnet18-cmc-1000components,bonner.Object2Vec.RSA,6.996395328744331,113.41927096104116,reliable
layer4.1.relu,0.3652322003804377,resnet18-cmc-1000components,bonner.Object2Vec.RSA,33.156591597273305,182.07863536414104,reliable
layer1.1.relu,0.2662191599276213,resnet18-cmc-pool-1000components,bonner.Object2Vec.RSA,11.809280601082296,24.605693493942866,reliable
layer2.1.relu,0.3010575017801337,resnet18-cmc-pool-1000components,bonner.Object2Vec.RSA,25.034480951404248,71.62714277715139,reliable
layer3.1.relu,0.1866317503579558,resnet18-cmc-pool-1000components,bonner.Object2Vec.RSA,16.71256136982707,36.66194700109613,reliable
layer4.1.relu,0.3587492877074928,resnet18-cmc-pool-1000components,bonner.Object2Vec.RSA,33.51150942749692,73.79407754805352,reliable
