r2,r2_ceiled,nat_ed,eco_ed,model_ed,data_ed,eco_alignment,eco_alignment_strength,model_alignment,model_alignment_strength,data_alignment,data_alignment_strength,ambient,n_samples,resolution
0.3652957102399422,0.624306163679098,2,2,5.2565819214561555,100,nat,1,nat,0.7129901098037483,,,100,1000,0.1
0.15759226869946874,0.2662532544857339,2,2,5.388568790741152,100,nat,1,nat,0.08411915638644696,,,100,1000,0.1
0.20213574016843924,0.3430535040725212,2,2,5.607383094486295,100,nat,1,nat,0.11742035060086042,,,100,1000,0.1
0.40539451566561246,0.6789487398562937,2,2,5.371841141456373,100,nat,1,nat,0.6558016001222022,,,100,1000,0.1
0.12604715388140098,0.21399892295795528,2,2,3.969568749573791,100,nat,1,nat,0.059475308567970675,,,100,1000,0.1
0.3500198272891971,0.5903941437669984,2,2,5.9085902744370555,100,nat,1,nat,0.4456326629312459,,,100,1000,0.1
0.4362061297913576,0.73428189781359,2,2,4.262180395993086,100,nat,1,nat,0.7130225697223225,,,100,1000,0.1
0.3359838523157995,0.5739680748257417,2,2,5.987088376006957,100,nat,1,nat,0.22967591257056275,,,100,1000,0.1
0.2713323157842505,0.4557932655554684,2,2,4.551651854870824,100,nat,1,nat,0.2579595617381034,,,100,1000,0.1
0.23732342382527336,0.40600803259411894,2,2,3.152265257839133,100,nat,1,nat,0.4895860923408871,,,100,1000,0.1
0.16335511181040538,0.27589296086499765,2,2,3.3053892584827698,100,nat,1,nat,0.12290575132006021,,,100,1000,0.1
0.021974793635747898,0.03697945865527063,2,2,3.997256831696236,100,nat,1,nat,0.004769572747327588,,,100,1000,0.1
0.45672975870220484,0.7791631662439014,2,2,3.028030805335347,100,nat,1,nat,0.8994492963761072,,,100,1000,0.1
0.28698392732109973,0.4900820653525255,2,2,4.236048382358209,100,nat,1,nat,0.4164852332385678,,,100,1000,0.1
0.4027602742932415,0.6904105026438755,2,2,4.950392156837042,100,nat,1,nat,0.696307068622319,,,100,1000,0.1
0.3977714354047862,0.6672392412739174,2,2,5.907111400195376,100,nat,1,nat,0.8017420934013315,,,100,1000,0.1
0.24410171119496415,0.41021187048812063,2,2,4.501207966778673,100,nat,1,nat,0.22174110411458603,,,100,1000,0.1
0.1472231707219522,0.2504819304797967,2,2,3.3701532753528176,100,nat,1,nat,0.15195028301059288,,,100,1000,0.1
0.19977898675807715,0.3398887486853223,2,2,5.097519066370358,100,nat,1,nat,0.11531068867895011,,,100,1000,0.1
0.14575395798077292,0.24523198112171984,2,2,4.480914666127777,100,nat,1,nat,0.016442343908759982,,,100,1000,0.1
0.309413922565204,0.531412482899427,2,2,4.534192741688716,100,nat,1,nat,0.4875283455673951,,,100,1000,0.1
0.25153812989095686,0.4190090337118765,2,2,3.7555122553700704,100,nat,1,nat,0.3143758321305212,,,100,1000,0.1
0.34462913783001425,0.5916940007114446,2,2,4.059619886136662,100,nat,1,nat,0.5066502871182561,,,100,1000,0.1
0.13171852082828586,0.22588188693100722,2,2,5.638550139829062,100,nat,1,nat,0.02905009043755591,,,100,1000,0.1
0.2985987024431444,0.5141508796730656,2,2,5.8621160536702455,100,nat,1,nat,0.22217052283891248,,,100,1000,0.1
0.31098045828037507,0.5212722549246049,2,2,4.049423373075137,100,nat,1,nat,0.4090745172657708,,,100,1000,0.1
0.032770909200659476,0.05621038102410871,2,2,3.7319497271191207,100,nat,1,nat,0.06594454691153995,,,100,1000,0.1
0.2219524888198545,0.37460149685662125,2,2,5.930156963006046,100,nat,1,nat,0.10923349481189515,,,100,1000,0.1
0.11784195021555674,0.19755163289390182,2,2,3.4096888679028403,100,nat,1,nat,0.13285998201769023,,,100,1000,0.1
0.25318718402688634,0.4340500120356705,2,2,3.8845597091259454,100,nat,1,nat,0.28441189273353784,,,100,1000,0.1
0.23092470066089896,0.3846684356443337,2,2,4.66529174303134,100,nat,1,nat,0.19322263480643243,,,100,1000,0.1
